cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,0,2017-11-27,1,1,0,0,1.0,0.6699999999999999
0,0,2017-12-04,0,0,0,0,0.0,0.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
14,3,2018-03-12,1,1,3,0,0.77,0.0
10,7,2018-03-19,1,1,0,1,0.88,1.0
2,0,2018-03-26,0,1,0,0,0.0,1.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
6,3,2018-04-30,0,1,0,0,1.0,1.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
5,1,2018-06-04,0,2,0,0,1.0,1.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
2,0,2018-06-25,0,1,0,0,1.0,1.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
0,0,2018-07-09,0,0,0,0,0.0,0.0
4,1,2018-07-16,0,2,0,0,1.0,0.5
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
3,2,2018-08-06,0,1,0,0,1.0,1.0
10,7,2018-08-13,0,2,0,0,1.0,0.875
0,0,2018-08-20,0,0,0,0,0.0,0.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
4,3,2018-09-03,0,1,0,0,1.0,1.0
27,21,2018-09-10,3,5,2,1,0.9,0.884
16,32,2018-09-17,0,3,0,0,1.0,1.0
9,2,2018-09-24,3,1,2,0,0.75,0.0
4,4,2018-10-01,0,1,0,0,1.0,1.0
35,25,2018-10-08,1,5,3,2,0.8019999999999999,0.7
29,20,2018-10-15,2,3,2,0,0.7666666666666666,0.9633333333333334
0,0,2018-10-22,0,0,0,0,0.0,0.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
9,4,2018-11-12,1,3,1,0,0.5,0.6666666666666666
8,3,2018-11-19,0,3,0,1,0.8333333333333334,1.0
10,3,2018-11-26,0,2,0,0,0.9,0.835
35,42,2018-12-03,4,5,4,0,0.964,0.654
9,12,2018-12-10,0,1,0,0,0.86,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
8,2,2018-12-31,0,2,0,0,1.0,1.0
10,3,2019-01-07,3,1,1,2,0.5,0.88
20,9,2019-01-14,1,4,4,0,0.6775,0.4575
7,2,2019-01-21,0,3,0,0,1.0,0.6666666666666666
29,40,2019-01-28,1,4,0,0,0.875,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
7,4,2019-03-04,0,2,0,0,1.0,1.0
13,8,2019-03-11,0,2,0,0,0.785,0.835
