cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2018-07-09,0,1,0,0,1.0,1.0
2,1,2018-07-16,0,1,0,0,1.0,1.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
2,1,2018-08-06,0,1,0,0,1.0,1.0
0,0,2018-08-13,0,0,0,0,0.0,0.0
0,0,2018-08-20,0,0,0,0,0.0,0.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
4,4,2018-09-10,0,1,0,0,1.0,1.0
0,0,2018-09-17,0,0,0,0,0.0,0.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
11,16,2018-10-08,0,1,0,0,0.89,1.0
0,0,2018-10-15,0,0,0,0,0.0,0.0
0,0,2018-10-22,0,0,0,0,0.0,0.0
9,5,2018-10-29,0,1,0,0,0.88,1.0
3,0,2018-11-05,0,1,0,0,1.0,1.0
9,3,2018-11-12,1,4,0,0,0.625,1.0
0,0,2018-11-19,0,0,0,0,0.0,0.0
2,1,2018-11-26,0,1,0,0,1.0,1.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
9,12,2018-12-10,0,1,0,0,0.86,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
16,12,2019-01-21,1,3,1,0,0.89,0.9433333333333334
2,0,2019-01-28,0,1,0,0,0.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
3,1,2019-03-04,0,1,0,0,1.0,1.0
2,0,2019-03-11,0,1,0,0,1.0,1.0
