cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2018-04-23,0,1,0,0,1.0,1.0
7,4,2018-04-30,0,1,0,4,1.0,1.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
7,4,2018-06-04,0,2,0,0,1.0,1.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
19,38,2018-06-18,0,2,0,0,0.85,1.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
9,7,2018-07-09,0,3,0,0,0.6666666666666666,1.0
7,6,2018-07-16,0,2,0,0,1.0,1.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
11,7,2018-08-06,0,3,0,0,1.0,1.0
10,4,2018-08-13,0,3,0,0,0.89,1.0
7,2,2018-08-20,0,2,0,0,0.375,1.0
16,10,2018-08-27,0,4,0,0,0.875,1.0
16,6,2018-09-03,1,5,0,0,0.934,1.0
18,17,2018-09-10,0,3,0,0,0.7366666666666667,1.0
40,34,2018-09-17,1,8,1,0,0.89625,0.89625
15,10,2018-09-24,0,3,0,0,0.9166666666666666,1.0
35,42,2018-10-01,0,7,0,0,0.9285714285714286,1.0
45,60,2018-10-08,0,6,3,0,0.8283333333333333,0.7783333333333333
22,8,2018-10-15,2,6,0,2,0.7999999999999999,1.0
3,0,2018-10-22,0,1,0,0,0.5,1.0
26,18,2018-10-29,0,4,3,0,0.7825,0.9175
11,3,2018-11-05,1,4,0,0,0.625,1.0
14,3,2018-11-12,0,5,0,0,0.7,1.0
20,6,2018-11-19,0,8,0,1,0.9375,1.0
27,11,2018-11-26,0,7,0,1,0.9714285714285714,1.0
17,9,2018-12-03,0,5,0,0,1.0,0.8
2,1,2018-12-10,0,1,0,0,1.0,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
16,2,2018-12-31,0,5,0,0,1.0,1.0
4,0,2019-01-07,0,1,0,0,0.5,1.0
17,21,2019-01-14,2,2,0,1,0.855,1.0
17,12,2019-01-21,0,4,0,0,0.6675,0.9375
12,4,2019-01-28,0,3,1,0,0.5,0.6666666666666666
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
2,0,2019-02-18,0,1,0,0,0.0,1.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
23,11,2019-03-04,0,7,0,1,1.0,0.9528571428571428
22,22,2019-03-11,6,4,0,2,0.6425000000000001,1.0
26,48,2019-03-18,4,4,0,2,0.8674999999999999,1.0
21,9,2019-03-25,1,6,0,0,0.9166666666666666,1.0
2,0,2019-04-01,0,1,0,0,1.0,1.0
