cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,3,2013-05-20,0,1,0,0,1.0,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
2,0,2013-07-01,0,1,0,0,1.0,1.0
9,6,2013-07-08,0,2,0,2,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
3,2,2013-08-26,0,1,0,0,1.0,1.0
8,4,2013-09-02,0,1,0,0,1.0,0.86
0,0,2013-09-09,0,0,0,0,0.0,0.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
9,6,2013-10-14,2,1,0,6,0.86,1.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
5,4,2013-11-11,0,1,0,0,1.0,1.0
20,11,2013-11-18,1,5,0,1,1.0,0.934
7,2,2013-11-25,0,2,0,1,0.5,1.0
6,2,2013-12-02,0,2,1,1,0.75,0.5
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
2,1,2014-01-13,0,1,0,0,1.0,1.0
10,4,2014-01-20,0,3,0,0,1.0,1.0
6,3,2014-01-27,0,1,0,0,0.8,1.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
18,8,2014-02-10,0,4,0,1,1.0,0.9175
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
17,9,2014-03-10,0,3,0,0,0.8666666666666667,0.5833333333333334
0,0,2014-03-17,0,0,0,0,0.0,0.0
10,5,2014-03-24,3,1,0,1,0.62,1.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
5,3,2014-04-07,0,2,0,0,1.0,1.0
3,0,2014-04-14,1,1,0,0,0.0,1.0
