cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,2,2013-02-18,0,1,2,0,0.0,0.78
15,28,2013-02-25,0,1,0,0,0.88,1.0
10,3,2013-03-04,0,3,0,0,1.0,0.6666666666666666
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
37,23,2013-03-25,0,8,0,5,0.875,1.0
13,9,2013-04-01,0,2,0,0,1.0,0.835
10,6,2013-04-08,0,2,0,0,0.625,1.0
2,1,2013-04-15,0,1,0,0,1.0,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
43,69,2013-05-13,2,6,2,1,0.9033333333333332,0.8233333333333333
22,40,2013-05-20,0,2,0,0,0.75,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
119,216,2013-06-03,30,13,2,16,0.9146153846153846,0.9284615384615384
157,157,2013-06-10,7,28,5,6,0.9464285714285714,0.9739285714285713
81,117,2013-06-17,3,14,3,6,0.945,0.9235714285714286
12,10,2013-06-24,0,3,0,0,1.0,1.0
31,18,2013-07-01,0,8,1,0,0.8125,0.875
116,148,2013-07-08,7,18,3,7,0.9227777777777776,0.9044444444444444
25,16,2013-07-15,1,5,0,1,0.934,0.828
28,24,2013-07-22,1,5,0,0,0.95,0.96
36,58,2013-07-29,0,7,0,0,0.9285714285714286,1.0
47,59,2013-08-05,1,10,0,9,1.0,0.8859999999999999
2,1,2013-08-12,0,1,0,0,1.0,1.0
74,64,2013-08-19,2,14,2,0,0.9642857142857144,0.9414285714285714
68,108,2013-08-26,2,12,0,1,0.9583333333333334,0.875
32,42,2013-09-02,0,5,1,0,0.8939999999999999,0.9
14,9,2013-09-09,0,4,0,0,0.9175,1.0
21,12,2013-09-16,1,6,0,0,0.805,1.0
39,127,2013-09-23,0,5,3,0,0.6459999999999999,0.988
11,6,2013-09-30,0,3,0,0,1.0,0.6666666666666666
11,8,2013-10-07,0,3,0,0,1.0,1.0
20,20,2013-10-14,4,2,0,8,0.6799999999999999,1.0
20,4,2013-10-21,2,4,1,1,0.4175,0.95
10,9,2013-10-28,0,1,0,4,1.0,1.0
2,1,2013-11-04,0,1,0,0,1.0,1.0
29,28,2013-11-11,0,5,0,0,0.9420000000000001,1.0
15,10,2013-11-18,0,3,0,0,1.0,0.9533333333333333
2,1,2013-11-25,0,1,0,0,1.0,1.0
19,9,2013-12-02,0,3,0,1,0.8333333333333334,1.0
4,1,2013-12-09,0,2,0,0,1.0,1.0
3,2,2013-12-16,0,1,0,0,1.0,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
8,6,2014-01-13,0,2,0,0,1.0,1.0
28,34,2014-01-20,0,4,0,1,1.0,0.9375
43,29,2014-01-27,1,8,0,2,0.85,1.0
5,6,2014-02-03,0,1,0,0,1.0,1.0
27,33,2014-02-10,0,4,0,0,1.0,1.0
7,3,2014-02-17,0,3,0,0,1.0,1.0
16,6,2014-02-24,0,4,0,0,0.9175,1.0
112,136,2014-03-03,4,19,1,3,0.8484210526315789,0.9563157894736845
85,155,2014-03-10,0,14,3,0,0.8821428571428571,0.9492857142857142
8,5,2014-03-17,0,3,0,0,1.0,1.0
22,7,2014-03-24,1,6,3,0,0.9366666666666666,0.8333333333333334
6,2,2014-03-31,0,3,0,0,0.6666666666666666,1.0
21,14,2014-04-07,0,4,0,0,1.0,1.0
10,4,2014-04-14,0,2,0,0,0.5,1.0
21,11,2014-04-21,0,7,0,0,1.0,1.0
69,63,2014-04-28,7,12,2,4,0.7958333333333334,0.9883333333333332
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
38,23,2014-05-26,0,12,0,3,0.875,1.0
34,19,2014-06-02,0,10,0,4,0.9670000000000001,1.0
16,10,2014-06-09,1,5,0,1,0.9,1.0
8,6,2014-06-16,0,2,0,1,1.0,1.0
5,2,2014-06-23,0,2,0,0,0.5,1.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
8,0,2014-07-14,5,1,0,0,1.0,0.29000000000000004
5,1,2014-07-21,0,2,0,0,1.0,1.0
32,9,2014-07-28,1,5,0,1,1.0,0.934
25,19,2014-08-04,0,3,0,0,1.0,0.89
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
6,1,2014-08-25,0,2,0,0,1.0,1.0
9,6,2014-09-01,0,2,0,0,1.0,1.0
4,0,2014-09-08,0,2,0,0,1.0,1.0
3,1,2014-09-15,0,1,0,1,1.0,1.0
10,6,2014-09-22,0,2,0,0,1.0,0.915
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
8,5,2014-10-27,0,2,0,0,0.5,1.0
4,2,2014-11-03,0,1,0,0,0.5,1.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
4,0,2014-12-01,0,1,0,0,0.0,1.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
3,0,2015-01-12,0,1,0,0,0.0,1.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
2,1,2015-04-13,0,1,0,1,1.0,1.0
4,0,2015-04-20,0,1,0,0,1.0,1.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
2,1,2015-05-04,0,1,0,0,1.0,1.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
3,0,2015-06-01,0,1,0,0,0.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
