cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2013-05-27,0,1,0,0,1.0,1.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
2,1,2013-07-22,0,1,0,0,1.0,1.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
3,1,2013-09-23,0,1,0,0,1.0,1.0
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
15,13,2013-12-16,1,2,0,0,0.6699999999999999,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
3,1,2013-12-30,0,1,1,0,0.0,0.5
0,0,2014-01-06,0,0,0,0,0.0,0.0
8,4,2014-01-13,0,2,0,0,1.0,1.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
2,0,2014-01-27,0,1,0,0,1.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
32,32,2014-02-10,0,6,0,0,1.0,1.0
22,23,2014-02-17,1,3,1,1,0.9166666666666666,0.9333333333333332
29,93,2014-02-24,0,2,0,0,0.915,1.0
28,41,2014-03-03,1,3,0,0,0.9433333333333334,0.9533333333333333
16,4,2014-03-10,0,4,1,0,0.6875,0.875
0,0,2014-03-17,0,0,0,0,0.0,0.0
4,1,2014-03-24,0,1,0,1,1.0,1.0
4,2,2014-03-31,0,2,0,0,1.0,1.0
10,6,2014-04-07,0,2,0,0,1.0,1.0
18,17,2014-04-14,0,3,0,0,0.89,1.0
28,45,2014-04-21,0,4,3,0,0.5,0.8574999999999999
16,8,2014-04-28,0,4,0,0,0.75,0.9375
3,0,2014-05-05,0,1,0,0,0.0,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
11,18,2014-05-19,0,1,0,0,1.0,0.75
4,3,2014-05-26,0,1,0,0,1.0,1.0
30,22,2014-06-02,1,4,2,0,0.75,0.815
0,0,2014-06-09,0,0,0,0,0.0,0.0
28,45,2014-06-16,2,4,0,0,1.0,0.625
2,0,2014-06-23,0,1,0,0,0.0,1.0
14,10,2014-06-30,0,3,0,2,1.0,0.8333333333333334
7,7,2014-07-07,0,2,0,0,1.0,1.0
36,83,2014-07-14,1,4,0,0,0.97,1.0
6,1,2014-07-21,1,2,0,0,0.5,0.75
31,51,2014-07-28,0,4,0,0,0.855,0.9175
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
27,35,2014-09-08,0,6,0,0,1.0,0.8183333333333334
14,9,2014-09-15,1,3,0,0,1.0,0.9166666666666666
19,50,2014-09-22,0,2,0,0,0.89,1.0
21,15,2014-09-29,0,5,0,0,1.0,0.8
23,17,2014-10-06,3,3,1,2,0.9166666666666666,0.6699999999999999
5,1,2014-10-13,0,2,0,0,1.0,0.25
18,16,2014-10-20,0,4,0,0,0.9175,0.9175
48,35,2014-10-27,2,7,0,2,0.9285714285714286,0.9
36,78,2014-11-03,5,3,8,0,0.8066666666666666,0.7966666666666667
29,35,2014-11-10,0,5,9,0,0.8,0.924
9,3,2014-11-17,0,3,0,0,1.0,1.0
10,3,2014-11-24,0,4,0,0,0.75,1.0
12,6,2014-12-01,0,2,0,0,0.25,1.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
3,1,2014-12-22,0,1,0,1,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
2,1,2015-03-09,0,1,0,0,1.0,1.0
