cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,5,2014-07-21,0,1,0,0,0.83,1.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
15,8,2014-08-04,4,2,4,0,0.75,0.455
10,16,2014-08-11,0,1,1,0,0.75,0.83
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
10,12,2014-09-08,2,1,0,0,0.75,1.0
6,4,2014-09-15,0,1,0,0,0.75,1.0
4,0,2014-09-22,0,1,0,0,1.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
13,19,2014-10-06,0,1,4,0,0.75,0.56
0,0,2014-10-13,0,0,0,0,0.0,0.0
2,0,2014-10-20,0,1,0,0,1.0,0.0
2,1,2014-10-27,0,1,0,0,1.0,1.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
16,12,2014-11-10,3,3,0,0,0.8333333333333334,0.6666666666666666
3,1,2014-11-17,0,1,1,0,0.0,0.5
