cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2017-06-05,0,1,0,0,1.0,1.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
2,0,2017-07-17,0,1,0,0,1.0,0.0
25,18,2017-07-24,0,7,2,0,0.9285714285714286,0.7142857142857143
14,4,2017-07-31,1,5,0,0,0.7340000000000001,0.8
15,10,2017-08-07,0,3,0,0,1.0,0.6666666666666666
4,1,2017-08-14,0,1,1,0,0.6699999999999999,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
2,1,2017-09-04,0,1,0,0,1.0,1.0
2,0,2017-09-11,0,1,0,0,1.0,0.0
5,3,2017-09-18,0,1,0,0,0.75,1.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
7,5,2017-10-09,0,2,0,0,1.0,1.0
2,0,2017-10-16,0,1,0,0,1.0,1.0
15,10,2017-10-23,0,4,0,0,1.0,0.75
7,5,2017-10-30,0,2,0,0,1.0,1.0
25,15,2017-11-06,2,4,0,1,0.875,0.75
20,17,2017-11-13,0,3,0,0,0.8333333333333334,1.0
3,1,2017-11-20,0,1,0,0,1.0,1.0
14,7,2017-11-27,0,5,1,0,0.9,0.8
12,9,2017-12-04,1,2,0,0,0.875,0.875
2,0,2017-12-11,0,1,0,0,1.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
11,2,2018-01-08,0,3,1,0,0.6666666666666666,0.6933333333333334
10,6,2018-01-15,0,3,0,0,1.0,0.8333333333333334
0,0,2018-01-22,0,0,0,0,0.0,0.0
5,2,2018-01-29,0,2,0,0,1.0,0.5
25,11,2018-02-05,0,5,0,0,1.0,0.966
8,6,2018-02-12,0,2,0,0,1.0,1.0
16,16,2018-02-19,0,2,0,0,1.0,0.75
0,0,2018-02-26,0,0,0,0,0.0,0.0
3,2,2018-03-05,0,1,0,0,1.0,1.0
3,2,2018-03-12,0,1,0,0,1.0,1.0
8,2,2018-03-19,0,3,0,0,1.0,0.5
7,3,2018-03-26,0,2,0,0,0.875,0.5
0,0,2018-04-02,0,0,0,0,0.0,0.0
19,17,2018-04-09,9,2,8,0,0.73,0.665
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
2,1,2018-05-14,0,1,0,0,1.0,1.0
21,19,2018-05-21,0,3,0,0,1.0,0.4166666666666667
2,0,2018-05-28,0,1,0,0,1.0,1.0
5,3,2018-06-04,0,1,0,0,1.0,0.75
0,0,2018-06-11,0,0,0,0,0.0,0.0
2,1,2018-06-18,0,1,0,0,1.0,1.0
5,4,2018-06-25,0,1,0,0,1.0,1.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
12,6,2018-07-09,0,4,0,0,0.5,1.0
13,7,2018-07-16,0,4,0,0,0.9175,1.0
19,11,2018-07-23,0,6,1,0,0.6666666666666666,0.6666666666666666
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
29,35,2018-08-13,1,6,0,0,0.9666666666666668,0.8333333333333334
4,4,2018-08-20,0,1,0,0,1.0,1.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
2,0,2018-09-03,1,1,0,0,0.0,1.0
12,4,2018-09-10,0,2,0,0,1.0,0.22
0,0,2018-09-17,0,0,0,0,0.0,0.0
15,7,2018-09-24,0,4,0,0,0.825,1.0
10,5,2018-10-01,0,3,0,0,1.0,1.0
35,58,2018-10-08,0,5,4,0,0.926,0.8160000000000001
50,47,2018-10-15,10,8,4,4,0.95875,0.90625
48,80,2018-10-22,0,9,0,0,0.8888888888888888,0.8333333333333334
6,3,2018-10-29,0,2,0,0,1.0,0.75
69,57,2018-11-05,5,14,4,1,0.8428571428571429,0.8578571428571429
51,50,2018-11-12,1,8,3,0,0.95375,0.715
10,4,2018-11-19,0,3,0,0,1.0,1.0
8,3,2018-11-26,0,2,0,1,1.0,1.0
9,3,2018-12-03,0,3,0,0,1.0,0.6666666666666666
3,2,2018-12-10,0,1,0,0,1.0,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
39,47,2018-12-31,0,6,0,0,0.97,0.9333333333333332
45,89,2019-01-07,2,5,0,1,1.0,0.85
12,3,2019-01-14,1,2,1,0,0.93,0.335
17,14,2019-01-21,1,3,0,0,1.0,0.8233333333333333
13,4,2019-01-28,0,3,0,0,1.0,0.5833333333333334
17,16,2019-02-04,1,3,1,0,0.89,0.6266666666666666
15,13,2019-02-11,0,3,4,0,0.8333333333333334,0.8333333333333334
10,10,2019-02-18,0,2,0,1,1.0,1.0
