cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,1,2017-03-27,0,1,1,0,0.0,0.89
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
2,1,2017-06-05,0,1,0,0,1.0,1.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
3,2,2017-06-26,0,1,0,0,1.0,1.0
19,14,2017-07-03,0,6,0,0,0.9166666666666666,1.0
7,2,2017-07-10,0,3,0,0,0.6666666666666666,0.8333333333333334
9,6,2017-07-17,0,3,0,0,1.0,1.0
38,25,2017-07-24,1,10,0,0,0.733,1.0
24,12,2017-07-31,0,7,2,0,0.7628571428571428,0.7385714285714285
29,25,2017-08-07,0,8,0,0,0.95875,1.0
18,14,2017-08-14,1,4,0,0,0.6675,1.0
13,7,2017-08-21,0,4,0,1,0.9375,1.0
55,104,2017-08-28,1,10,0,1,0.95,0.938
47,50,2017-09-04,0,10,0,0,1.0,0.96
28,14,2017-09-11,0,9,0,0,0.9444444444444444,1.0
37,31,2017-09-18,0,10,0,0,0.975,0.9420000000000001
30,22,2017-09-25,0,8,0,0,1.0,0.9375
10,7,2017-10-02,0,3,0,0,0.6666666666666666,1.0
24,28,2017-10-09,0,5,0,0,1.0,1.0
59,44,2017-10-16,2,13,1,1,0.8976923076923077,0.9869230769230768
124,145,2017-10-23,3,23,18,0,0.9691304347826086,0.9739130434782608
128,145,2017-10-30,2,20,7,3,0.9445,0.9265
54,26,2017-11-06,1,11,0,1,0.9545454545454546,1.0
124,134,2017-11-13,1,25,0,3,0.92,0.992
88,76,2017-11-20,0,19,0,2,1.0,0.9605263157894736
51,46,2017-11-27,0,14,0,1,0.9285714285714286,1.0
36,22,2017-12-04,0,10,0,0,0.975,1.0
20,11,2017-12-11,0,8,0,0,0.875,1.0
62,36,2017-12-18,1,17,0,1,0.9411764705882352,0.9411764705882352
0,0,2017-12-25,0,0,0,0,0.0,0.0
36,11,2018-01-01,1,11,0,0,0.879090909090909,0.9090909090909092
38,46,2018-01-08,1,11,0,0,0.97,1.0
93,86,2018-01-15,0,24,0,1,0.9929166666666666,0.9583333333333334
31,28,2018-01-22,0,9,0,0,1.0,1.0
45,27,2018-01-29,0,12,0,3,1.0,1.0
74,91,2018-02-05,0,19,0,0,1.0,1.0
31,30,2018-02-12,0,8,0,1,1.0,1.0
56,45,2018-02-19,0,16,0,0,0.791875,1.0
8,6,2018-02-26,0,2,0,0,1.0,1.0
8,5,2018-03-05,0,3,0,0,1.0,1.0
4,1,2018-03-12,1,2,0,0,1.0,0.5
6,4,2018-03-19,0,2,0,0,1.0,1.0
5,2,2018-03-26,0,2,0,1,1.0,1.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
9,6,2018-04-09,0,1,0,0,0.71,1.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
4,2,2018-04-23,0,2,0,0,1.0,1.0
6,8,2018-04-30,0,1,0,0,1.0,1.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
17,11,2018-05-21,0,4,1,0,0.75,0.875
7,2,2018-05-28,0,3,0,0,1.0,1.0
7,5,2018-06-04,0,2,0,0,1.0,1.0
10,3,2018-06-11,0,4,0,0,1.0,1.0
13,6,2018-06-18,0,4,0,0,1.0,1.0
9,2,2018-06-25,0,3,0,0,1.0,1.0
14,4,2018-07-02,0,5,0,0,1.0,1.0
65,40,2018-07-09,3,19,0,0,0.8289473684210527,1.0
50,50,2018-07-16,0,11,0,0,0.97,0.879090909090909
65,40,2018-07-23,2,17,1,1,0.8705882352941177,0.9805882352941178
26,10,2018-07-30,1,10,0,0,0.9,1.0
34,27,2018-08-06,0,10,0,1,0.8,1.0
20,13,2018-08-13,0,6,0,0,0.9666666666666668,1.0
23,10,2018-08-20,0,8,0,0,1.0,1.0
16,10,2018-08-27,0,5,0,0,0.95,1.0
29,21,2018-09-03,0,8,0,0,0.975,1.0
6,3,2018-09-10,0,3,0,0,1.0,1.0
5,3,2018-09-17,0,2,0,0,1.0,1.0
6,0,2018-09-24,1,1,0,0,0.8,1.0
26,6,2018-10-01,0,8,0,1,0.875,0.875
