cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2013-08-26,0,1,0,0,1.0,1.0
25,34,2013-09-02,2,3,2,0,0.82,0.9433333333333334
17,8,2013-09-09,0,3,0,2,1.0,1.0
21,34,2013-09-16,0,2,0,6,1.0,1.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
7,4,2013-09-30,0,1,0,0,0.33,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
13,14,2013-10-14,0,2,0,1,1.0,1.0
7,12,2013-10-21,0,1,0,0,1.0,1.0
16,22,2013-10-28,0,2,0,0,1.0,0.9
40,96,2013-11-04,2,6,0,3,0.805,1.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
2,1,2013-11-25,0,1,1,0,0.0,0.0
4,3,2013-12-02,0,1,0,0,1.0,1.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
4,0,2013-12-30,0,1,0,0,0.0,1.0
3,2,2014-01-06,0,1,0,0,1.0,1.0
6,2,2014-01-13,1,3,0,1,0.6666666666666666,1.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
3,2,2014-03-31,0,1,0,0,1.0,1.0
