cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,4,2013-10-14,0,1,0,4,1.0,1.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
5,2,2013-11-11,0,2,0,0,1.0,0.5
7,5,2013-11-18,0,1,0,0,1.0,1.0
3,2,2013-11-25,0,1,0,0,1.0,1.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
5,3,2014-01-27,0,1,0,1,1.0,1.0
2,1,2014-02-03,0,1,0,0,1.0,1.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
5,0,2014-03-10,0,2,0,0,0.5,1.0
4,3,2014-03-17,0,1,0,0,1.0,1.0
2,1,2014-03-24,0,1,0,0,1.0,1.0
2,1,2014-03-31,0,1,0,1,1.0,1.0
7,5,2014-04-07,0,1,0,0,1.0,0.83
0,0,2014-04-14,0,0,0,0,0.0,0.0
6,4,2014-04-21,0,2,0,0,1.0,1.0
17,8,2014-04-28,0,5,0,1,1.0,1.0
8,1,2014-05-05,0,2,0,0,1.0,1.0
35,26,2014-05-12,3,5,0,3,0.9,0.948
5,4,2014-05-19,0,1,0,0,1.0,1.0
2,0,2014-05-26,0,1,0,0,0.0,1.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
2,0,2014-06-09,0,1,0,0,0.0,1.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
2,1,2014-08-18,0,1,0,0,1.0,1.0
17,5,2014-08-25,0,4,0,0,1.0,1.0
9,3,2014-09-01,1,4,0,0,0.75,1.0
