cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,5,2013-08-26,1,2,0,0,1.0,0.835
13,5,2013-09-02,1,2,0,2,0.93,1.0
4,0,2013-09-09,0,1,0,0,1.0,1.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
9,2,2013-09-23,1,2,0,0,0.71,1.0
13,8,2013-09-30,0,3,0,0,0.6666666666666666,1.0
16,7,2013-10-07,0,4,0,0,0.9175,1.0
10,6,2013-10-14,0,4,0,0,1.0,1.0
19,41,2013-10-21,0,3,0,0,0.6666666666666666,1.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
12,7,2013-11-04,0,4,0,0,0.75,1.0
12,4,2013-11-11,0,4,1,0,0.75,0.9175
18,7,2013-11-18,0,5,0,0,0.7340000000000001,0.934
9,3,2013-11-25,0,3,1,0,0.5833333333333334,0.6666666666666666
3,1,2013-12-02,0,1,0,0,1.0,1.0
3,1,2013-12-09,0,1,0,0,0.5,1.0
2,0,2013-12-16,0,1,0,0,1.0,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
3,2,2013-12-30,0,1,0,0,1.0,1.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
7,4,2014-03-17,0,2,0,0,1.0,1.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
3,2,2014-03-31,0,1,0,0,1.0,1.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
9,5,2014-04-21,0,3,0,0,1.0,1.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
2,1,2014-05-05,0,1,0,0,1.0,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
5,2,2014-09-08,1,1,0,0,0.5,1.0
13,9,2014-09-15,0,2,0,1,1.0,0.5
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
3,2,2014-11-17,0,1,0,0,1.0,1.0
