cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,0,2017-07-24,1,2,0,0,0.835,1.0
10,1,2017-07-31,1,4,0,1,0.875,1.0
6,0,2017-08-07,1,2,0,0,0.75,1.0
4,0,2017-08-14,2,2,0,0,0.0,1.0
2,0,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
5,1,2017-09-04,0,2,0,1,1.0,1.0
3,1,2017-09-11,0,1,0,1,1.0,1.0
8,1,2017-09-18,1,3,0,1,0.8333333333333334,1.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
0,0,2017-10-16,0,0,0,0,0.0,0.0
0,0,2017-10-23,0,0,0,0,0.0,0.0
2,0,2017-10-30,0,1,0,0,1.0,1.0
10,1,2017-11-06,2,2,0,1,0.665,1.0
0,0,2017-11-13,0,0,0,0,0.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
26,6,2017-11-27,4,5,0,6,0.904,1.0
4,0,2017-12-04,0,1,0,0,1.0,1.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
6,1,2018-01-08,2,2,0,1,0.665,1.0
3,0,2018-01-15,1,1,0,0,0.5,1.0
2,1,2018-01-22,0,1,0,1,1.0,1.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
14,0,2018-02-05,1,3,0,0,0.9433333333333334,1.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
20,4,2018-02-19,2,4,0,4,0.875,1.0
4,1,2018-02-26,0,2,0,1,1.0,1.0
41,7,2018-03-05,2,14,0,7,0.9164285714285716,1.0
19,5,2018-03-12,1,8,0,5,0.875,1.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
2,0,2018-03-26,0,1,0,0,1.0,1.0
3,1,2018-04-02,0,1,0,1,1.0,1.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
15,4,2018-04-23,4,3,0,4,0.8333333333333334,1.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
4,0,2018-05-28,1,1,0,0,0.6699999999999999,1.0
2,1,2018-06-04,0,1,0,1,1.0,1.0
4,0,2018-06-11,0,2,0,0,1.0,1.0
2,0,2018-06-18,0,1,0,0,1.0,1.0
6,1,2018-06-25,0,2,0,1,1.0,1.0
3,2,2018-07-02,0,1,0,2,1.0,1.0
2,0,2018-07-09,0,1,0,0,1.0,1.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
6,1,2018-07-23,1,2,0,1,0.835,1.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
5,2,2018-08-13,0,2,0,2,1.0,1.0
2,0,2018-08-20,0,1,0,0,1.0,1.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
7,2,2018-09-03,0,3,0,2,1.0,1.0
2,0,2018-09-10,0,1,0,0,1.0,1.0
7,2,2018-09-17,1,2,0,2,0.875,1.0
10,2,2018-09-24,1,5,0,2,0.8,1.0
12,1,2018-10-01,1,6,0,1,0.8333333333333334,1.0
21,3,2018-10-08,4,6,0,3,0.8216666666666667,1.0
16,2,2018-10-15,0,7,0,2,1.0,1.0
23,2,2018-10-22,0,6,0,2,1.0,1.0
14,2,2018-10-29,1,6,0,2,0.9166666666666666,1.0
29,4,2018-11-05,2,9,0,4,0.9633333333333334,1.0
14,0,2018-11-12,3,4,0,0,0.7525,1.0
5,2,2018-11-19,0,2,0,2,1.0,1.0
2,0,2018-11-26,0,1,0,0,1.0,1.0
18,2,2018-12-03,1,8,0,2,0.9375,1.0
4,1,2018-12-10,0,2,0,1,1.0,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
8,0,2019-01-07,0,1,0,0,1.0,1.0
2,0,2019-01-14,0,1,0,0,1.0,1.0
8,1,2019-01-21,1,2,0,1,0.9,1.0
3,0,2019-01-28,0,1,0,0,1.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
8,3,2019-02-11,0,1,0,3,1.0,1.0
4,0,2019-02-18,1,1,0,0,0.6699999999999999,1.0
