cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2013-12-30,0,1,0,0,1.0,1.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
2,1,2014-02-17,0,1,0,0,1.0,1.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
5,4,2014-05-19,0,1,0,0,1.0,1.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
2,0,2014-06-09,0,1,0,0,1.0,0.0
9,5,2014-06-16,1,2,2,0,0.75,0.835
0,0,2014-06-23,0,0,0,0,0.0,0.0
3,1,2014-06-30,0,1,0,0,1.0,1.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
11,4,2014-08-04,0,4,0,0,0.75,1.0
3,0,2014-08-11,0,1,0,0,1.0,0.0
10,9,2014-08-18,1,1,3,0,0.5700000000000001,0.6699999999999999
0,0,2014-08-25,0,0,0,0,0.0,0.0
14,11,2014-09-01,0,4,0,0,1.0,1.0
22,15,2014-09-08,3,3,2,0,0.8366666666666666,0.8333333333333334
2,1,2014-09-15,0,1,0,0,1.0,1.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
2,1,2014-09-29,0,1,0,0,1.0,1.0
2,1,2014-10-06,0,1,0,1,1.0,1.0
5,1,2014-10-13,0,2,0,0,1.0,1.0
6,3,2014-10-20,0,2,1,0,0.5,0.5
7,5,2014-10-27,0,1,3,0,0.6699999999999999,0.25
16,12,2014-11-03,0,4,0,0,1.0,0.9275
7,6,2014-11-10,0,2,0,0,1.0,1.0
8,8,2014-11-17,0,2,0,0,1.0,1.0
6,4,2014-11-24,0,2,1,0,0.5,0.5
7,2,2014-12-01,0,3,1,0,0.6666666666666666,0.8333333333333334
0,0,2014-12-08,0,0,0,0,0.0,0.0
19,9,2014-12-15,0,4,2,0,0.9175,0.75
10,1,2014-12-22,1,3,0,1,0.6666666666666666,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
4,2,2015-01-05,0,2,0,0,1.0,1.0
20,7,2015-01-12,1,4,1,1,0.75,0.915
47,93,2015-01-19,8,6,6,3,0.6366666666666667,0.8583333333333334
5,1,2015-01-26,1,2,0,0,1.0,0.5
15,2,2015-02-02,2,3,0,2,0.86,1.0
23,28,2015-02-09,3,4,1,0,0.6875,0.9775
0,0,2015-02-16,0,0,0,0,0.0,0.0
4,0,2015-02-23,0,2,0,0,1.0,0.0
12,6,2015-03-02,0,3,0,3,0.6666666666666666,1.0
25,20,2015-03-09,1,5,0,3,0.934,0.95
