cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
2,1,2017-09-11,0,1,0,1,1.0,1.0
6,5,2017-09-18,0,1,0,1,1.0,1.0
7,6,2017-09-25,0,1,0,0,1.0,1.0
15,12,2017-10-02,1,4,0,1,1.0,0.9175
0,0,2017-10-09,0,0,0,0,0.0,0.0
9,4,2017-10-16,0,2,0,0,1.0,0.5
12,5,2017-10-23,0,3,0,5,1.0,1.0
9,8,2017-10-30,0,2,0,0,1.0,1.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
25,24,2017-11-13,0,6,0,4,1.0,1.0
3,0,2017-11-20,0,1,0,0,1.0,1.0
20,38,2017-11-27,1,4,0,1,1.0,0.75
3,1,2017-12-04,0,1,0,0,1.0,1.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
2,1,2018-04-30,0,1,0,0,1.0,1.0
7,2,2018-05-07,0,3,0,2,1.0,1.0
