cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2013-06-03,0,1,0,0,1.0,1.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
13,28,2013-06-17,1,1,0,0,0.88,1.0
6,4,2013-06-24,0,1,0,1,1.0,1.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
13,0,2013-07-08,2,2,0,0,0.9,0.915
12,8,2013-07-15,1,2,0,2,0.835,1.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
7,5,2013-07-29,0,2,0,0,1.0,1.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
7,6,2013-08-12,0,1,0,0,1.0,1.0
13,17,2013-08-19,1,1,1,0,0.9,0.6699999999999999
0,0,2013-08-26,0,0,0,0,0.0,0.0
3,0,2013-09-02,0,1,0,0,0.0,1.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
56,183,2013-09-16,3,6,0,0,0.9666666666666668,1.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
9,5,2013-09-30,0,2,0,2,1.0,1.0
22,58,2013-10-07,0,2,0,0,1.0,1.0
13,24,2013-10-14,0,1,0,4,1.0,1.0
11,12,2013-10-21,0,2,0,0,1.0,1.0
26,23,2013-10-28,0,6,0,0,1.0,0.8883333333333333
8,7,2013-11-04,0,2,0,0,1.0,0.875
7,4,2013-11-11,0,2,0,0,1.0,1.0
21,28,2013-11-18,0,4,0,0,1.0,0.965
16,21,2013-11-25,0,2,0,0,1.0,1.0
39,36,2013-12-02,1,6,0,0,0.93,0.75
20,10,2013-12-09,0,5,0,0,1.0,0.75
0,0,2013-12-16,0,0,0,0,0.0,0.0
6,2,2013-12-23,0,2,0,0,0.665,1.0
3,2,2013-12-30,0,1,0,0,1.0,1.0
8,4,2014-01-06,1,2,0,0,1.0,0.375
13,4,2014-01-13,1,4,0,0,1.0,0.75
20,9,2014-01-20,0,5,0,0,0.95,1.0
27,21,2014-01-27,0,5,0,0,0.8640000000000001,1.0
45,44,2014-02-03,0,10,0,0,0.975,0.8
28,35,2014-02-10,0,4,0,0,1.0,1.0
24,15,2014-02-17,2,4,0,4,0.9175,0.875
7,3,2014-02-24,0,2,0,0,1.0,1.0
24,12,2014-03-03,0,4,0,2,1.0,0.75
33,29,2014-03-10,1,7,0,1,0.9828571428571428,0.8214285714285714
28,27,2014-03-17,0,5,0,3,1.0,1.0
11,5,2014-03-24,0,3,0,0,1.0,1.0
12,6,2014-03-31,0,5,0,0,1.0,1.0
49,69,2014-04-07,3,8,0,1,1.0,0.8225
18,8,2014-04-14,1,5,0,2,1.0,0.9
51,50,2014-04-21,0,10,0,2,0.925,0.975
54,32,2014-04-28,2,13,0,3,0.9807692307692308,1.0
64,62,2014-05-05,0,11,1,0,0.9772727272727272,0.8736363636363635
80,113,2014-05-12,9,12,3,8,0.94,0.9508333333333332
10,7,2014-05-19,0,2,0,0,0.915,1.0
21,11,2014-05-26,0,7,0,1,0.8571428571428571,0.8571428571428571
19,6,2014-06-02,1,6,0,0,0.8333333333333334,1.0
2,0,2014-06-09,0,1,0,0,0.0,1.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
4,3,2014-06-23,0,1,0,0,1.0,1.0
4,3,2014-06-30,0,1,0,0,1.0,1.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
8,4,2014-07-21,0,1,0,0,0.86,1.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
2,0,2014-08-04,0,1,0,0,1.0,0.0
29,44,2014-08-11,0,5,0,1,1.0,1.0
15,8,2014-08-18,0,3,0,1,0.8333333333333334,1.0
34,52,2014-08-25,0,7,0,1,1.0,1.0
5,4,2014-09-01,0,1,0,0,1.0,1.0
26,15,2014-09-08,0,6,0,0,0.985,1.0
44,31,2014-09-15,3,7,0,5,0.8571428571428571,1.0
16,8,2014-09-22,2,4,0,0,1.0,0.9375
27,18,2014-09-29,0,9,1,0,0.8333333333333334,0.8888888888888888
11,6,2014-10-06,0,3,0,0,1.0,1.0
5,1,2014-10-13,0,2,0,0,0.75,1.0
6,3,2014-10-20,0,3,1,0,0.6666666666666666,0.6666666666666666
16,6,2014-10-27,0,4,0,0,0.8325,0.75
18,14,2014-11-03,0,3,0,0,1.0,0.8333333333333334
14,6,2014-11-10,1,5,0,0,0.8,0.7340000000000001
2,1,2014-11-17,0,1,0,0,1.0,1.0
23,10,2014-11-24,0,8,0,0,0.83375,1.0
18,14,2014-12-01,0,4,0,0,1.0,1.0
8,6,2014-12-08,0,1,0,0,1.0,1.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
2,0,2014-12-22,0,1,0,0,1.0,0.0
2,1,2014-12-29,0,1,0,0,1.0,1.0
7,2,2015-01-05,0,2,0,0,1.0,0.5
40,41,2015-01-12,1,9,0,1,0.9811111111111112,0.9677777777777778
35,25,2015-01-19,1,9,0,0,0.8888888888888888,0.9444444444444444
6,3,2015-01-26,0,2,0,0,1.0,1.0
4,4,2015-02-02,0,1,0,0,1.0,1.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
6,4,2015-02-16,0,1,0,0,1.0,1.0
10,8,2015-02-23,0,3,0,0,1.0,0.9166666666666666
18,23,2015-03-02,1,3,1,0,0.9433333333333334,0.9433333333333334
10,3,2015-03-09,0,3,0,1,1.0,1.0
20,5,2015-03-16,0,6,0,1,1.0,1.0
13,8,2015-03-23,0,5,0,1,1.0,1.0
6,1,2015-03-30,0,2,0,0,1.0,0.5
16,10,2015-04-06,0,5,0,0,1.0,0.934
2,1,2015-04-13,0,1,0,0,1.0,1.0
2,0,2015-04-20,0,1,0,0,1.0,0.0
9,8,2015-04-27,0,2,0,0,0.835,1.0
10,4,2015-05-04,0,3,0,0,1.0,1.0
11,7,2015-05-11,0,2,0,0,1.0,0.93
4,0,2015-05-18,0,2,0,0,0.5,1.0
2,1,2015-05-25,0,1,0,0,1.0,1.0
29,44,2015-06-01,0,3,0,0,0.9333333333333332,1.0
21,7,2015-06-08,0,3,0,0,1.0,0.9
11,2,2015-06-15,1,3,0,0,0.9433333333333334,1.0
3,2,2015-06-22,0,1,0,0,1.0,1.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
11,10,2015-07-13,0,2,0,0,1.0,0.875
20,15,2015-07-20,0,6,0,0,1.0,0.8883333333333333
19,8,2015-07-27,0,6,0,2,0.945,1.0
14,8,2015-08-03,0,4,0,0,1.0,1.0
2,1,2015-08-10,0,1,0,0,1.0,1.0
3,1,2015-08-17,0,1,0,0,1.0,1.0
2,1,2015-08-24,0,1,0,0,1.0,1.0
21,14,2015-08-31,1,6,0,2,1.0,0.9666666666666668
19,12,2015-09-07,0,4,0,0,0.9725,1.0
30,19,2015-09-14,0,4,0,1,0.965,0.9375
9,5,2015-09-21,0,2,0,0,0.835,1.0
35,24,2015-09-28,0,10,0,0,1.0,0.8
17,6,2015-10-05,0,7,0,1,0.7857142857142857,1.0
18,10,2015-10-12,0,6,0,0,0.8333333333333334,1.0
24,34,2015-10-19,0,5,0,0,1.0,0.8
18,8,2015-10-26,0,4,0,0,1.0,1.0
11,7,2015-11-02,0,3,0,1,1.0,1.0
35,78,2015-11-09,0,6,0,0,1.0,0.7833333333333333
45,43,2015-11-16,6,7,0,11,1.0,0.6228571428571428
5,0,2015-11-23,0,2,0,0,1.0,1.0
28,25,2015-11-30,1,4,1,0,0.815,0.9375
11,5,2015-12-07,0,4,0,0,1.0,1.0
2,1,2015-12-14,0,1,0,0,1.0,1.0
6,3,2015-12-21,0,2,0,0,1.0,1.0
