cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
13,1,2012-12-31,2,1,0,1,0.83,1.0
0,0,2013-01-07,0,0,0,0,0.0,0.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
10,4,2013-05-27,0,2,0,0,1.0,0.9
103,206,2013-06-03,18,8,7,7,0.91375,0.865
63,60,2013-06-10,6,11,2,1,0.9363636363636364,0.9290909090909091
181,311,2013-06-17,7,22,7,2,0.9281818181818182,0.7813636363636363
106,95,2013-06-24,0,18,3,3,0.8638888888888889,0.7872222222222223
58,125,2013-07-01,2,8,0,1,1.0,0.915
61,70,2013-07-08,1,10,1,3,0.966,0.875
59,46,2013-07-15,4,11,2,1,0.9154545454545456,0.879090909090909
77,115,2013-07-22,0,10,0,0,0.96,0.9
59,87,2013-07-29,0,11,0,0,0.9090909090909092,0.989090909090909
57,110,2013-08-05,1,8,0,1,0.9525,1.0
80,105,2013-08-12,3,14,0,10,0.9742857142857144,0.9007142857142857
120,176,2013-08-19,7,18,1,2,0.9516666666666668,0.8966666666666667
131,178,2013-08-26,2,22,4,1,0.9295454545454546,0.860909090909091
91,83,2013-09-02,1,19,0,2,0.8842105263157896,0.97
145,318,2013-09-09,7,19,2,3,0.9042105263157896,0.9842105263157894
180,183,2013-09-16,8,34,2,2,0.953235294117647,0.8811764705882353
207,168,2013-09-23,7,41,4,1,0.9558536585365852,0.8178048780487805
187,160,2013-09-30,2,38,1,3,0.9365789473684212,0.9044736842105264
130,89,2013-10-07,0,33,0,1,0.8772727272727273,0.9318181818181818
171,183,2013-10-14,0,32,0,6,0.980625,0.935
149,170,2013-10-21,2,26,0,2,0.9107692307692308,0.9946153846153846
228,483,2013-10-28,10,35,8,4,0.9371428571428572,0.9434285714285716
129,146,2013-11-04,0,24,0,4,0.9416666666666668,0.9916666666666668
39,42,2013-11-11,0,8,2,1,0.77625,0.9825
19,18,2013-11-18,0,4,0,0,1.0,0.75
64,80,2013-11-25,1,16,1,0,0.83125,0.78125
37,40,2013-12-02,0,8,0,0,0.84375,1.0
39,69,2013-12-09,1,7,0,0,0.95,0.9528571428571428
68,104,2013-12-16,6,10,5,2,0.937,0.826
8,6,2013-12-23,0,2,0,0,1.0,1.0
73,85,2013-12-30,0,14,0,0,0.9264285714285716,0.9878571428571428
12,6,2014-01-06,0,4,0,2,0.75,1.0
20,14,2014-01-13,0,5,0,0,0.934,1.0
33,29,2014-01-20,1,5,0,0,0.938,0.9
12,1,2014-01-27,2,2,0,0,0.89,1.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
2,1,2014-02-10,0,1,0,0,1.0,1.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
5,1,2014-03-17,0,2,0,0,1.0,1.0
12,2,2014-03-24,0,5,0,1,1.0,1.0
40,26,2014-03-31,2,10,1,0,0.975,0.9
4,2,2014-04-07,0,1,0,0,1.0,1.0
10,7,2014-04-14,0,3,0,0,1.0,1.0
45,26,2014-04-21,0,8,3,3,0.915,0.875
0,0,2014-04-28,0,0,0,0,0.0,0.0
10,6,2014-05-05,0,2,0,0,0.93,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
7,5,2014-07-07,0,1,0,0,0.83,1.0
2,0,2014-07-14,0,1,0,0,1.0,1.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
11,8,2014-09-01,0,3,1,0,0.9166666666666666,0.89
15,19,2014-09-08,0,3,0,0,1.0,1.0
25,16,2014-09-15,0,4,0,6,1.0,0.75
33,26,2014-09-22,1,7,1,1,0.9528571428571428,0.8099999999999999
0,0,2014-09-29,0,0,0,0,0.0,0.0
