cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,5,2015-06-01,0,2,0,1,1.0,1.0
15,11,2015-06-08,0,4,1,0,0.875,0.75
4,3,2015-06-15,0,1,0,0,1.0,1.0
9,1,2015-06-22,0,4,0,0,1.0,1.0
12,9,2015-06-29,0,3,0,0,0.89,1.0
7,7,2015-07-06,0,2,0,0,1.0,1.0
19,20,2015-07-13,0,4,0,0,1.0,1.0
9,6,2015-07-20,0,2,0,0,0.5,0.875
12,20,2015-07-27,0,2,0,0,1.0,1.0
15,9,2015-08-03,0,5,0,0,1.0,1.0
6,2,2015-08-10,0,3,0,0,1.0,1.0
28,22,2015-08-17,0,7,0,0,0.9828571428571428,1.0
6,1,2015-08-24,0,3,0,0,1.0,0.6666666666666666
10,5,2015-08-31,1,3,0,1,1.0,0.89
16,8,2015-09-07,0,4,0,0,0.9725,0.75
6,4,2015-09-14,0,2,0,0,1.0,1.0
9,6,2015-09-21,0,3,0,0,1.0,1.0
19,18,2015-09-28,0,4,0,0,1.0,1.0
3,2,2015-10-05,0,1,0,0,1.0,1.0
2,1,2015-10-12,0,1,0,0,1.0,1.0
34,21,2015-10-19,0,7,0,0,0.9857142857142858,1.0
10,12,2015-10-26,0,2,0,0,1.0,1.0
2,1,2015-11-02,0,1,0,0,1.0,1.0
13,9,2015-11-09,0,4,0,0,0.9375,1.0
14,17,2015-11-16,1,3,0,1,1.0,0.5
0,0,2015-11-23,0,0,0,0,0.0,0.0
35,52,2015-11-30,0,5,0,0,0.978,1.0
19,14,2015-12-07,0,5,0,0,1.0,0.9
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
34,33,2015-12-28,0,5,0,0,0.932,0.8
14,8,2016-01-04,0,5,0,0,1.0,1.0
10,8,2016-01-11,0,3,0,0,1.0,1.0
16,11,2016-01-18,0,5,0,0,1.0,1.0
3,2,2016-01-25,0,1,0,0,1.0,1.0
38,35,2016-02-01,0,8,0,0,1.0,0.8125
22,21,2016-02-08,0,4,0,0,0.7975000000000001,1.0
20,11,2016-02-15,1,5,0,1,0.95,1.0
8,8,2016-02-22,0,2,0,0,1.0,1.0
8,3,2016-02-29,0,2,0,0,0.875,1.0
5,3,2016-03-07,0,2,0,0,1.0,1.0
11,3,2016-03-14,0,4,0,0,0.75,1.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
6,6,2016-03-28,0,1,0,0,1.0,1.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
9,15,2016-04-11,0,1,0,0,0.83,1.0
15,10,2016-04-18,0,3,0,0,0.9333333333333332,1.0
7,3,2016-04-25,0,3,0,0,0.8333333333333334,1.0
21,15,2016-05-02,0,4,0,1,0.91,1.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
3,2,2016-12-26,0,1,0,0,1.0,1.0
