cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,5,2014-09-29,0,2,1,0,0.5,0.335
10,4,2014-10-06,0,3,2,1,0.7766666666666667,0.5
28,21,2014-10-13,1,6,3,0,0.7916666666666666,0.5966666666666667
10,4,2014-10-20,5,2,2,2,0.875,0.665
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
2,1,2014-11-10,0,1,0,0,1.0,1.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
5,0,2015-01-05,0,1,0,0,1.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
6,0,2015-01-19,2,2,0,0,0.5,0.5
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
4,1,2015-02-23,0,2,0,0,1.0,0.5
0,0,2015-03-02,0,0,0,0,0.0,0.0
3,2,2015-03-09,0,1,0,0,1.0,1.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
26,30,2015-04-06,0,3,0,0,1.0,1.0
2,1,2015-04-13,0,1,0,1,1.0,1.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
3,1,2015-05-11,0,1,0,0,0.5,1.0
