cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,2,2013-02-11,0,1,0,0,0.5,1.0
3,0,2013-02-18,0,1,0,0,1.0,1.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
17,9,2013-03-04,0,5,0,1,0.7,1.0
6,4,2013-03-11,0,1,0,0,1.0,1.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
9,3,2013-03-25,0,1,0,0,1.0,0.38
0,0,2013-04-01,0,0,0,0,0.0,0.0
13,40,2013-04-08,0,1,0,0,1.0,1.0
8,7,2013-04-15,0,2,0,0,0.875,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
2,0,2013-05-20,0,1,0,0,1.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
3,1,2013-06-03,0,1,0,1,1.0,1.0
6,0,2013-06-10,0,2,0,0,0.5,1.0
4,3,2013-06-17,0,1,0,0,1.0,1.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
2,0,2013-07-08,0,1,0,0,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
3,2,2013-09-23,0,1,0,0,1.0,1.0
2,0,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
2,1,2013-12-16,0,1,0,0,1.0,1.0
