cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,4,2014-06-23,0,1,0,0,1.0,1.0
6,5,2014-06-30,0,1,0,1,1.0,1.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
2,0,2014-07-21,0,1,0,0,1.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
6,4,2014-08-11,0,1,0,0,1.0,0.5
0,0,2014-08-18,0,0,0,0,0.0,0.0
12,8,2014-08-25,0,3,0,0,1.0,1.0
3,2,2014-09-01,0,1,0,0,1.0,1.0
2,1,2014-09-08,0,1,0,0,1.0,1.0
21,26,2014-09-15,4,3,0,2,1.0,0.9166666666666666
7,6,2014-09-22,0,1,0,2,1.0,1.0
3,2,2014-09-29,0,1,0,0,1.0,1.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
5,4,2014-10-27,0,1,0,0,1.0,1.0
9,1,2014-11-03,0,2,0,0,1.0,0.835
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
2,0,2014-11-24,0,1,0,0,1.0,0.0
