cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
18,44,2013-02-25,0,1,0,0,0.86,1.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
3,0,2013-03-11,0,1,0,0,1.0,1.0
3,2,2013-03-18,0,1,0,0,1.0,1.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
3,2,2013-04-01,0,1,0,2,1.0,1.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
3,1,2013-06-03,0,1,0,1,1.0,1.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
2,1,2013-06-17,0,1,0,1,1.0,1.0
4,2,2013-06-24,0,1,0,0,1.0,1.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
2,0,2013-07-08,0,1,0,0,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
4,1,2013-08-19,0,1,0,1,1.0,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
3,2,2013-09-09,0,1,0,0,1.0,1.0
4,0,2013-09-16,0,1,0,0,1.0,1.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
18,8,2013-09-30,0,3,0,2,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
3,2,2014-01-27,0,1,0,0,1.0,1.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
10,6,2014-03-31,0,1,0,0,0.89,1.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
3,1,2014-04-21,0,1,0,0,1.0,1.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
8,5,2014-07-21,1,1,0,0,0.83,1.0
12,7,2014-07-28,0,3,0,1,1.0,1.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
2,1,2014-10-20,0,1,0,0,1.0,1.0
