cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2015-08-31,0,1,0,0,1.0,1.0
26,83,2015-09-07,2,3,0,0,1.0,0.6333333333333333
36,69,2015-09-14,2,5,0,0,0.972,0.934
9,5,2015-09-21,0,2,0,0,1.0,1.0
8,12,2015-09-28,0,1,0,0,0.75,1.0
6,3,2015-10-05,0,2,0,0,1.0,1.0
4,3,2015-10-12,0,1,0,0,1.0,1.0
6,2,2015-10-19,0,3,0,0,1.0,1.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
5,6,2016-01-04,0,1,0,0,1.0,1.0
8,15,2016-01-11,0,1,0,0,1.0,1.0
0,0,2016-01-18,0,0,0,0,0.0,0.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
12,24,2016-02-29,0,1,0,0,0.88,1.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
7,8,2016-04-25,0,1,0,0,1.0,1.0
4,3,2016-05-02,0,1,0,0,1.0,1.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
2,0,2016-06-06,0,1,0,0,0.0,1.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
4,3,2016-06-27,0,1,0,0,1.0,1.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
6,0,2016-07-25,1,1,0,0,1.0,0.8
6,3,2016-08-01,0,1,0,0,1.0,0.8
5,4,2016-08-08,0,1,0,0,1.0,1.0
7,6,2016-08-15,0,1,0,0,1.0,0.5
19,36,2016-08-22,0,2,0,1,1.0,1.0
14,8,2016-08-29,0,5,0,0,0.8,1.0
3,0,2016-09-05,0,1,0,0,1.0,1.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
2,0,2016-10-24,0,1,0,0,1.0,1.0
2,1,2016-10-31,0,1,0,0,1.0,1.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
2,1,2016-11-21,0,1,0,0,1.0,1.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
2,0,2017-01-30,1,1,0,0,1.0,0.0
3,1,2017-02-06,0,1,0,0,1.0,1.0
