cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
48,7,2017-07-03,0,18,0,7,1.0,1.0
25,4,2017-07-10,0,10,0,4,1.0,1.0
4,0,2017-07-17,0,2,0,0,1.0,1.0
6,0,2017-07-24,0,2,0,0,1.0,1.0
15,2,2017-07-31,1,6,0,2,0.8333333333333334,1.0
3,0,2017-08-07,0,1,0,0,1.0,1.0
4,0,2017-08-14,0,2,0,0,1.0,1.0
7,0,2017-08-21,0,3,0,0,1.0,1.0
12,0,2017-08-28,0,4,0,0,1.0,1.0
24,6,2017-09-04,1,9,0,6,0.9811111111111112,1.0
13,0,2017-09-11,0,5,0,0,1.0,1.0
18,0,2017-09-18,1,5,0,0,0.95,1.0
15,3,2017-09-25,0,5,0,3,1.0,1.0
4,0,2017-10-02,0,2,0,0,1.0,1.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
16,4,2017-10-16,1,3,0,4,0.9433333333333334,1.0
15,0,2017-10-23,1,5,0,0,0.9,1.0
31,5,2017-10-30,1,9,0,5,0.9633333333333334,1.0
10,0,2017-11-06,0,5,0,0,1.0,1.0
16,7,2017-11-13,0,6,0,7,1.0,1.0
12,1,2017-11-20,0,4,0,1,1.0,1.0
30,7,2017-11-27,1,10,0,7,0.98,1.0
19,3,2017-12-04,0,7,0,3,1.0,1.0
10,2,2017-12-11,0,4,0,2,1.0,1.0
16,3,2017-12-18,0,6,0,3,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
16,4,2018-01-01,0,6,0,4,1.0,1.0
11,0,2018-01-08,2,4,0,0,0.5,1.0
15,2,2018-01-15,0,5,0,2,1.0,1.0
10,1,2018-01-22,0,4,0,1,1.0,1.0
9,2,2018-01-29,0,4,0,2,1.0,1.0
24,4,2018-02-05,0,8,0,4,1.0,1.0
2,1,2018-02-12,0,1,0,1,1.0,1.0
28,8,2018-02-19,0,8,0,8,1.0,1.0
9,3,2018-02-26,0,4,0,3,1.0,1.0
36,5,2018-03-05,0,16,0,5,1.0,1.0
9,1,2018-03-12,0,4,0,1,1.0,1.0
7,2,2018-03-19,0,3,0,2,1.0,1.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
13,0,2018-04-02,1,6,0,0,0.9166666666666666,1.0
2,0,2018-04-09,0,1,0,0,1.0,1.0
7,0,2018-04-16,1,3,0,0,0.6666666666666666,1.0
10,1,2018-04-23,0,5,0,1,1.0,1.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
2,0,2018-05-07,0,1,0,0,1.0,1.0
7,2,2018-05-14,1,2,0,2,0.875,1.0
2,0,2018-05-21,0,1,0,0,1.0,1.0
10,0,2018-05-28,1,4,0,0,0.875,1.0
4,1,2018-06-04,0,2,0,1,1.0,1.0
4,2,2018-06-11,0,2,0,2,1.0,1.0
13,3,2018-06-18,0,5,0,3,1.0,1.0
2,0,2018-06-25,0,1,0,0,1.0,1.0
13,3,2018-07-02,0,5,0,3,1.0,1.0
11,2,2018-07-09,1,5,0,2,0.9,1.0
7,1,2018-07-16,0,3,0,1,1.0,1.0
20,3,2018-07-23,1,8,0,3,0.95875,1.0
11,2,2018-07-30,0,4,0,2,1.0,1.0
7,2,2018-08-06,0,3,0,2,1.0,1.0
6,0,2018-08-13,0,3,0,0,1.0,1.0
9,0,2018-08-20,0,3,0,0,1.0,1.0
6,1,2018-08-27,0,3,0,1,1.0,1.0
46,13,2018-09-03,0,21,0,13,1.0,1.0
17,2,2018-09-10,0,6,0,2,1.0,1.0
44,6,2018-09-17,1,16,0,6,0.979375,1.0
25,3,2018-09-24,1,11,0,3,0.9090909090909092,1.0
65,14,2018-10-01,1,29,0,14,0.9655172413793104,1.0
64,10,2018-10-08,3,23,0,10,0.9421739130434784,1.0
40,7,2018-10-15,0,16,0,7,1.0,1.0
129,34,2018-10-22,1,51,0,34,0.9803921568627452,1.0
64,15,2018-10-29,0,27,0,15,1.0,1.0
81,14,2018-11-05,0,32,0,14,1.0,1.0
107,30,2018-11-12,1,44,0,30,0.9772727272727272,1.0
62,17,2018-11-19,1,25,0,17,0.99,1.0
58,12,2018-11-26,3,22,0,12,0.9318181818181818,1.0
69,11,2018-12-03,0,26,0,11,1.0,1.0
63,13,2018-12-10,1,23,0,13,0.9891304347826086,1.0
23,9,2018-12-17,0,11,0,9,1.0,1.0
9,2,2018-12-24,0,4,0,2,1.0,1.0
10,2,2018-12-31,0,3,0,2,1.0,1.0
8,2,2019-01-07,0,4,0,2,1.0,1.0
11,1,2019-01-14,0,5,0,1,1.0,1.0
12,1,2019-01-21,0,4,0,1,1.0,1.0
18,2,2019-01-28,0,7,0,2,1.0,1.0
15,5,2019-02-04,0,5,0,5,1.0,1.0
13,1,2019-02-11,1,5,0,1,0.934,1.0
6,1,2019-02-18,0,3,0,1,1.0,1.0
6,1,2019-02-25,0,3,0,1,1.0,1.0
8,1,2019-03-04,0,4,0,1,1.0,1.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
44,3,2019-03-18,1,9,0,3,0.9722222222222222,1.0
8,2,2019-03-25,1,3,0,2,0.6666666666666666,1.0
5,1,2019-04-01,0,2,0,1,1.0,1.0
