cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
23,38,2016-05-09,0,3,0,0,1.0,0.9433333333333334
13,5,2016-05-16,2,3,0,2,0.6666666666666666,1.0
4,2,2016-05-23,0,1,0,1,1.0,1.0
3,1,2016-05-30,0,1,0,0,1.0,1.0
12,20,2016-06-06,0,2,0,0,1.0,1.0
7,12,2016-06-13,0,1,0,0,1.0,1.0
12,8,2016-06-20,0,3,0,0,1.0,1.0
4,4,2016-06-27,0,1,0,0,1.0,1.0
13,40,2016-07-04,0,1,0,0,1.0,1.0
21,17,2016-07-11,0,5,0,0,1.0,0.9
10,14,2016-07-18,0,1,0,0,1.0,1.0
4,2,2016-07-25,0,1,0,0,1.0,1.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
2,0,2016-08-08,1,1,0,0,1.0,0.0
4,3,2016-08-15,0,1,0,0,1.0,1.0
6,6,2016-08-22,0,1,0,0,1.0,1.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
15,19,2016-10-31,1,2,0,0,0.95,1.0
