cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,4,2013-07-01,0,1,0,0,1.0,1.0
4,2,2013-07-08,0,1,0,2,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
3,2,2013-09-09,0,1,0,0,1.0,1.0
5,6,2013-09-16,0,1,0,0,1.0,1.0
19,25,2013-09-23,3,2,0,0,1.0,0.75
4,4,2013-09-30,0,1,0,0,1.0,1.0
8,8,2013-10-07,1,1,0,0,1.0,0.6699999999999999
3,2,2013-10-14,0,1,0,0,1.0,1.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
8,12,2013-10-28,0,1,0,0,1.0,0.8
9,6,2013-11-04,0,2,0,0,0.5,0.875
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
2,1,2013-11-25,0,1,0,0,1.0,1.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
6,1,2013-12-30,0,2,0,0,1.0,1.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
11,15,2014-01-13,0,1,0,0,0.62,1.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
22,14,2014-03-10,1,2,2,0,0.775,0.5
0,0,2014-03-17,0,0,0,0,0.0,0.0
3,1,2014-03-24,0,1,0,0,0.5,1.0
14,29,2014-03-31,1,1,1,0,0.83,0.88
17,15,2014-04-07,0,3,0,2,1.0,1.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
2,1,2014-04-28,0,1,0,0,1.0,1.0
4,1,2014-05-05,0,2,0,0,1.0,0.5
2,1,2014-05-12,0,1,0,0,1.0,1.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
5,4,2014-06-09,0,1,0,0,1.0,1.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
5,3,2014-06-23,0,1,0,0,1.0,1.0
19,21,2014-06-30,1,3,0,0,0.8333333333333334,0.6666666666666666
0,0,2014-07-07,0,0,0,0,0.0,0.0
6,1,2014-07-14,0,2,1,0,0.5,0.0
21,23,2014-07-21,0,3,1,0,0.8333333333333334,0.9166666666666666
17,11,2014-07-28,0,4,0,0,0.875,0.75
44,48,2014-08-04,7,6,2,1,0.9716666666666668,0.7633333333333333
17,18,2014-08-11,1,2,0,0,1.0,0.665
4,2,2014-08-18,0,2,0,0,1.0,1.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
21,35,2014-09-08,0,3,0,0,1.0,1.0
20,14,2014-09-15,0,2,0,0,0.875,1.0
2,0,2014-09-22,0,1,0,0,1.0,0.0
7,3,2014-09-29,0,3,0,0,1.0,1.0
17,33,2014-10-06,4,1,8,0,0.75,0.56
0,0,2014-10-13,0,0,0,0,0.0,0.0
7,3,2014-10-20,0,2,0,0,1.0,0.375
10,9,2014-10-27,0,3,0,0,1.0,1.0
4,0,2014-11-03,0,1,0,0,1.0,1.0
20,13,2014-11-10,0,5,1,4,0.8,0.8
4,4,2014-11-17,0,1,0,0,1.0,1.0
2,1,2014-11-24,0,1,0,0,1.0,1.0
6,6,2014-12-01,0,1,0,0,1.0,1.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
2,1,2014-12-29,0,1,0,0,1.0,1.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
8,5,2015-01-19,0,3,0,1,1.0,1.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
8,5,2015-02-09,0,2,0,0,1.0,1.0
3,1,2015-02-16,0,1,0,0,0.5,1.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
4,3,2015-03-02,0,1,0,0,1.0,1.0
22,45,2015-03-09,0,2,0,6,1.0,1.0
9,10,2015-03-16,0,2,0,0,1.0,1.0
3,2,2015-03-23,0,1,0,0,1.0,1.0
16,24,2015-03-30,0,2,0,2,1.0,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
4,3,2015-04-13,0,1,0,0,1.0,1.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
4,2,2015-04-27,0,1,0,0,1.0,0.6699999999999999
3,1,2015-05-04,0,1,0,1,1.0,1.0
3,0,2015-05-11,0,1,0,0,0.0,1.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
7,3,2015-05-25,0,2,0,2,1.0,1.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
17,15,2015-06-29,0,1,0,0,0.94,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
3,1,2015-07-20,0,1,0,0,1.0,1.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
0,0,2015-10-19,0,0,0,0,0.0,0.0
3,2,2015-10-26,0,1,0,0,1.0,1.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
4,2,2015-11-09,0,1,0,0,1.0,1.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
4,2,2015-11-23,0,1,0,0,1.0,1.0
3,2,2015-11-30,0,1,0,0,1.0,1.0
12,12,2015-12-07,0,2,0,0,0.875,1.0
4,3,2015-12-14,0,1,0,0,1.0,1.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
11,8,2015-12-28,0,3,0,0,1.0,1.0
18,18,2016-01-04,0,3,0,0,1.0,0.96
9,4,2016-01-11,1,3,0,0,1.0,0.6666666666666666
4,4,2016-01-18,0,1,0,0,1.0,1.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
2,0,2016-02-08,0,1,0,0,1.0,1.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
2,0,2016-02-22,0,1,0,0,1.0,1.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
3,2,2016-03-07,0,1,0,0,1.0,1.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
7,5,2016-04-25,0,1,0,0,1.0,1.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
4,2,2016-08-01,0,1,0,0,1.0,0.6699999999999999
0,0,2016-08-08,0,0,0,0,0.0,0.0
13,35,2016-08-15,0,1,0,0,1.0,1.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
12,18,2016-10-31,0,1,0,0,0.9,1.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
3,1,2016-11-14,0,1,0,0,1.0,1.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
2,1,2016-12-12,0,1,0,0,1.0,1.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
10,10,2016-12-26,0,2,0,1,1.0,1.0
6,8,2017-01-02,0,1,0,0,1.0,1.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
3,2,2017-06-12,0,1,0,0,1.0,1.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
0,0,2017-10-16,0,0,0,0,0.0,0.0
0,0,2017-10-23,0,0,0,0,0.0,0.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
0,0,2017-11-13,0,0,0,0,0.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
2,1,2017-12-18,0,1,0,0,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
2,0,2018-01-08,0,1,0,0,1.0,1.0
6,3,2018-01-15,0,1,0,0,1.0,1.0
