cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
13,12,2013-01-21,9,1,0,0,0.5700000000000001,1.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
17,56,2013-09-09,0,1,0,0,1.0,0.89
8,7,2013-09-16,0,1,0,4,1.0,1.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
12,10,2013-10-14,1,2,0,1,0.835,0.835
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
14,26,2014-01-06,2,1,0,2,0.88,1.0
22,83,2014-01-13,2,1,2,0,0.8200000000000001,0.91
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
11,15,2014-02-10,0,1,0,12,1.0,1.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
5,6,2014-07-07,0,1,0,0,1.0,1.0
