cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,2,2014-03-10,0,1,0,0,1.0,1.0
9,7,2014-03-17,0,2,0,0,1.0,1.0
9,4,2014-03-24,0,3,0,1,1.0,0.89
26,39,2014-03-31,3,5,1,4,0.978,0.972
25,8,2014-04-07,1,5,0,3,1.0,0.934
7,4,2014-04-14,0,2,0,1,1.0,1.0
13,8,2014-04-21,0,4,0,0,1.0,1.0
22,20,2014-04-28,1,5,0,0,0.95,1.0
30,27,2014-05-05,0,6,0,2,0.9716666666666668,1.0
14,5,2014-05-12,0,5,0,0,1.0,1.0
6,3,2014-05-19,0,3,0,0,1.0,1.0
10,3,2014-05-26,0,4,0,1,0.75,1.0
29,52,2014-06-02,0,4,0,2,0.95,1.0
20,5,2014-06-09,0,6,0,0,0.6666666666666666,0.8333333333333334
19,7,2014-06-16,1,7,0,1,1.0,0.9285714285714286
22,14,2014-06-23,0,6,0,0,1.0,1.0
42,37,2014-06-30,1,10,0,0,0.95,0.9
30,35,2014-07-07,0,6,1,0,0.985,0.945
52,24,2014-07-14,1,10,0,2,0.89,1.0
67,75,2014-07-21,1,13,2,0,0.9346153846153846,0.9892307692307692
29,23,2014-07-28,0,7,0,0,1.0,1.0
16,11,2014-08-04,0,4,0,0,0.9575,1.0
32,21,2014-08-11,2,8,1,0,0.865,0.96875
19,14,2014-08-18,0,5,0,0,0.9,1.0
6,1,2014-08-25,1,2,0,0,1.0,0.5
5,1,2014-09-01,0,2,0,0,1.0,1.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
2,1,2014-11-17,0,1,0,0,1.0,1.0
2,0,2014-11-24,0,1,0,0,1.0,1.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
3,2,2014-12-15,0,1,0,0,1.0,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
5,2,2014-12-29,0,2,0,0,0.5,1.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
14,7,2015-01-12,0,4,0,0,0.9575,1.0
10,5,2015-01-19,0,3,0,0,1.0,1.0
5,1,2015-01-26,0,2,0,0,1.0,1.0
5,6,2015-02-02,0,1,0,0,1.0,1.0
2,1,2015-02-09,0,1,0,0,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
19,12,2015-03-30,0,6,0,0,1.0,1.0
20,7,2015-04-06,1,7,0,1,0.9714285714285714,1.0
19,13,2015-04-13,0,6,0,6,1.0,1.0
4,2,2015-04-20,0,2,0,0,1.0,1.0
11,4,2015-04-27,0,4,0,0,1.0,1.0
38,20,2015-05-04,0,12,0,1,1.0,0.9166666666666666
11,3,2015-05-11,0,4,0,2,1.0,1.0
18,13,2015-05-18,0,4,0,0,0.9575,1.0
15,9,2015-05-25,0,5,0,0,1.0,1.0
22,9,2015-06-01,2,6,0,0,0.7783333333333333,0.9166666666666666
11,8,2015-06-08,0,3,0,1,1.0,1.0
12,2,2015-06-15,1,3,0,0,0.9433333333333334,1.0
20,10,2015-06-22,0,7,0,0,1.0,1.0
10,4,2015-06-29,0,4,0,0,1.0,1.0
14,6,2015-07-06,0,5,0,0,1.0,1.0
17,9,2015-07-13,0,6,0,0,0.9166666666666666,1.0
20,12,2015-07-20,0,6,0,0,1.0,1.0
26,9,2015-07-27,1,9,0,0,0.7966666666666666,1.0
23,7,2015-08-03,1,8,0,2,0.95875,1.0
20,8,2015-08-10,0,7,0,1,1.0,1.0
10,4,2015-08-17,1,4,0,0,1.0,0.75
6,3,2015-08-24,0,2,0,0,1.0,1.0
15,15,2015-08-31,1,3,0,1,0.9333333333333332,1.0
19,17,2015-09-07,0,4,0,6,1.0,1.0
6,3,2015-09-14,0,2,0,0,1.0,1.0
4,1,2015-09-21,0,2,0,0,1.0,1.0
21,13,2015-09-28,2,5,0,2,1.0,0.978
3,1,2015-10-05,0,1,0,1,1.0,1.0
9,2,2015-10-12,0,3,0,0,1.0,1.0
9,5,2015-10-19,1,2,2,0,0.75,0.5
22,10,2015-10-26,1,4,0,2,0.945,0.875
6,1,2015-11-02,0,2,0,0,0.75,0.5
13,8,2015-11-09,0,4,0,0,1.0,1.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
14,4,2015-11-23,0,6,0,0,1.0,1.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
11,3,2015-12-07,0,5,0,1,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
6,4,2015-12-21,0,2,0,1,1.0,1.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
4,0,2016-01-04,0,1,0,0,1.0,1.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
0,0,2016-01-18,0,0,0,0,0.0,0.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
3,1,2016-02-01,0,1,0,1,1.0,1.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
4,0,2016-02-15,0,2,0,0,1.0,1.0
12,6,2016-02-22,0,5,0,0,1.0,1.0
6,3,2016-02-29,0,2,0,0,1.0,1.0
28,20,2016-03-07,0,9,0,0,1.0,1.0
6,2,2016-03-14,0,2,0,0,0.5,0.75
30,17,2016-03-21,0,9,0,1,0.8888888888888888,1.0
43,19,2016-03-28,3,14,0,0,0.8857142857142858,0.9642857142857144
12,3,2016-04-04,0,6,0,0,1.0,1.0
11,6,2016-04-11,0,3,0,0,0.75,1.0
43,21,2016-04-18,0,11,0,2,0.9772727272727272,0.9090909090909092
35,38,2016-04-25,0,8,0,0,0.9225,1.0
15,6,2016-05-02,1,6,0,0,1.0,0.8333333333333334
47,26,2016-05-09,2,12,0,2,0.8958333333333334,0.9166666666666666
15,8,2016-05-16,0,4,0,0,0.9375,1.0
12,8,2016-05-23,0,3,0,0,1.0,0.8333333333333334
13,9,2016-05-30,0,2,0,0,1.0,1.0
11,6,2016-06-06,0,4,0,0,1.0,1.0
3,1,2016-06-13,0,1,0,0,0.5,1.0
7,7,2016-06-20,0,2,0,0,1.0,1.0
22,11,2016-06-27,0,8,0,1,1.0,0.9375
25,14,2016-07-04,0,8,0,0,0.9375,1.0
42,26,2016-07-11,0,13,0,0,1.0,1.0
42,27,2016-07-18,0,14,0,2,1.0,1.0
60,27,2016-07-25,1,16,0,4,0.9375,0.948125
67,43,2016-08-01,2,18,0,2,0.9583333333333334,0.8611111111111112
40,27,2016-08-08,0,11,0,0,0.97,0.97
0,0,2016-08-15,0,0,0,0,0.0,0.0
7,5,2016-08-22,0,2,0,0,1.0,1.0
4,2,2016-08-29,0,1,0,0,1.0,1.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
2,1,2016-09-26,0,1,0,0,1.0,1.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
7,4,2016-10-10,0,2,0,1,1.0,1.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
2,1,2016-11-07,0,1,0,0,1.0,1.0
9,3,2016-11-14,0,3,0,1,1.0,1.0
11,7,2016-11-21,0,3,0,0,1.0,1.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
12,4,2016-12-05,0,4,0,1,0.75,1.0
4,2,2016-12-12,0,1,0,0,1.0,1.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
5,2,2016-12-26,0,2,0,0,0.5,1.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
13,6,2017-01-09,1,4,0,0,1.0,0.75
0,0,2017-01-16,0,0,0,0,0.0,0.0
2,1,2017-01-23,0,1,0,0,1.0,1.0
4,1,2017-01-30,0,2,0,0,1.0,1.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
7,5,2017-08-28,0,2,0,0,1.0,1.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
2,0,2017-09-18,0,1,0,0,0.0,1.0
2,1,2017-09-25,0,1,0,0,1.0,1.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
4,3,2017-10-16,0,1,0,0,1.0,1.0
0,0,2017-10-23,0,0,0,0,0.0,0.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
2,0,2017-11-13,0,1,0,0,1.0,1.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
2,0,2017-12-11,0,1,0,0,1.0,1.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
0,0,2018-06-04,0,0,0,0,0.0,0.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
0,0,2018-07-09,0,0,0,0,0.0,0.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
0,0,2018-08-13,0,0,0,0,0.0,0.0
0,0,2018-08-20,0,0,0,0,0.0,0.0
