cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,2,2017-07-03,1,3,0,2,1.0,0.6666666666666666
2,0,2017-07-10,0,1,0,0,1.0,1.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
4,0,2017-08-14,1,1,0,0,1.0,0.6699999999999999
0,0,2017-08-21,0,0,0,0,0.0,0.0
4,1,2017-08-28,1,2,0,1,1.0,0.5
5,0,2017-09-04,0,2,0,0,1.0,1.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
11,1,2017-09-18,1,3,0,1,1.0,0.9433333333333334
3,1,2017-09-25,0,1,0,1,1.0,1.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
4,2,2017-10-09,0,2,0,2,1.0,1.0
0,0,2017-10-16,0,0,0,0,0.0,0.0
2,1,2017-10-23,0,1,0,1,1.0,1.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
18,1,2017-11-06,2,3,0,1,1.0,0.9166666666666666
0,0,2017-11-13,0,0,0,0,0.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
11,2,2017-12-04,0,3,0,2,1.0,1.0
8,1,2017-12-11,0,4,0,1,1.0,1.0
2,0,2017-12-18,0,1,0,0,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
2,0,2018-01-01,0,1,0,0,1.0,1.0
16,1,2018-01-08,0,2,0,1,1.0,1.0
11,2,2018-01-15,0,2,0,2,1.0,1.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
4,1,2018-01-29,0,1,0,1,1.0,1.0
18,1,2018-02-05,2,3,0,1,1.0,0.94
9,1,2018-02-12,0,3,0,1,1.0,1.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
2,0,2018-02-26,0,1,0,0,1.0,1.0
39,8,2018-03-05,1,16,0,8,1.0,0.9375
10,2,2018-03-12,1,4,0,2,1.0,0.75
7,1,2018-03-19,1,3,0,1,1.0,0.6666666666666666
0,0,2018-03-26,0,0,0,0,0.0,0.0
28,3,2018-04-02,3,7,0,3,1.0,0.9328571428571428
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
31,1,2018-04-23,4,3,0,1,1.0,0.7966666666666665
0,0,2018-04-30,0,0,0,0,0.0,0.0
7,1,2018-05-07,0,3,0,1,1.0,1.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
2,0,2018-05-21,0,1,0,0,1.0,1.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
2,0,2018-06-04,1,1,0,0,1.0,0.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
7,0,2018-06-25,2,1,0,0,1.0,0.6699999999999999
0,0,2018-07-02,0,0,0,0,0.0,0.0
2,1,2018-07-09,0,1,0,1,1.0,1.0
2,0,2018-07-16,0,1,0,0,1.0,1.0
11,0,2018-07-23,2,2,0,0,1.0,0.875
2,0,2018-07-30,0,1,0,0,1.0,1.0
5,1,2018-08-06,0,2,0,1,1.0,1.0
10,0,2018-08-13,0,3,0,0,1.0,1.0
2,1,2018-08-20,0,1,0,1,1.0,1.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
15,0,2018-09-03,0,6,0,0,1.0,1.0
27,3,2018-09-10,2,9,0,3,1.0,0.8522222222222222
30,4,2018-09-17,2,10,0,4,1.0,0.8800000000000001
17,1,2018-09-24,0,6,0,1,1.0,1.0
51,3,2018-10-01,1,12,0,3,1.0,0.9166666666666666
15,1,2018-10-08,2,7,0,1,1.0,0.7142857142857143
37,5,2018-10-15,0,12,0,5,1.0,1.0
48,2,2018-10-22,2,14,0,2,1.0,0.977857142857143
11,2,2018-10-29,0,4,0,2,1.0,1.0
54,8,2018-11-05,4,17,0,8,1.0,0.9341176470588236
32,3,2018-11-12,3,13,0,3,1.0,0.8269230769230769
8,0,2018-11-19,0,4,0,0,1.0,1.0
21,1,2018-11-26,3,7,0,1,1.0,0.8157142857142857
39,1,2018-12-03,3,10,0,1,1.0,0.97
37,5,2018-12-10,3,11,0,5,1.0,0.8763636363636365
23,0,2018-12-17,0,6,0,0,1.0,1.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
6,0,2019-01-07,1,1,0,0,1.0,0.8
12,2,2019-01-14,0,4,0,2,1.0,1.0
2,1,2019-01-21,0,1,0,1,1.0,1.0
16,1,2019-01-28,1,4,0,1,1.0,0.965
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
3,1,2019-03-04,0,1,0,1,1.0,1.0
