name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0-wiz-0,dhomeier,0.83,0.0,0.0,0.0,1.0,0.83,5,6,5,0,0,0,1,7
0-wiz-0,jorisvandenbossche,1.0,0.0,0.0,0.0,1.0,1.0,5,10540,1,0,0,0,1,2
0-wiz-0,jreback,0.75,0.0,0.0,0.0,1.0,0.75,5,28609,3,0,0,0,1,5
0-wiz-0,nbonnotte,1.0,0.0,0.0,0.0,1.0,1.0,5,84,4,0,0,0,1,5
0-wiz-0,yarikoptic,1.0,0.0,0.0,0.0,1.0,1.0,5,183,1,0,0,0,1,2
0Hughman0,chris-b1,1.0,0.0,1.0,0.0,1.0,1.0,1,1377,2,0,2,0,1,3
0anton,TomAugspurger,0.0,0.0,0.0,0.0,1.0,0.5,3,9311,0,0,0,0,1,3
0anton,kszucs,0.0,0.0,0.0,0.0,1.0,0.0,3,5,0,0,0,0,1,2
0anton,makmanalp,1.0,0.0,0.0,0.0,1.0,1.0,3,83,1,0,0,0,1,2
0phoff,Suor,0.5,0.0,0.5,0.0,1.0,1.0,5,4,2,0,2,0,1,5
0phoff,WillAyd,0.0,0.0,0.0,0.0,1.0,1.0,5,2735,0,0,0,0,1,2
0phoff,frol,1.0,0.0,1.0,0.0,1.0,1.0,5,29,1,0,1,0,1,2
0phoff,jreback,0.25,0.0,0.25,0.0,1.0,1.0,5,28609,1,0,1,0,2,5
0x0L,TomAugspurger,0.0,0.0,0.0,0.0,1.0,1.0,8,9311,0,0,0,0,1,2
0x0L,andyljones,1.0,0.0,0.0,0.0,1.0,1.0,8,3,6,0,0,0,1,7
0x0L,gfyoung,1.0,0.0,0.0,0.0,1.0,1.0,8,4256,6,0,0,0,1,5
0x0L,holymonson,0.5,0.0,0.0,0.0,1.0,1.0,8,21,6,0,0,0,1,7
0x0L,jreback,0.75,0.0,0.0,0.0,1.0,1.0,8,28609,37,0,0,0,2,15
0x0L,rambo-yuanbo,1.0,0.0,0.0,0.0,1.0,1.0,8,4,6,0,0,0,1,7
0x0L,shenker,1.0,0.0,0.0,0.0,1.0,1.0,8,12,1,0,0,0,1,2
11rohans,WillAyd,0.0,0.0,0.0,0.0,1.0,1.0,2,2735,0,0,0,0,1,2
11rohans,toobaz,1.0,0.0,0.0,0.0,1.0,1.0,2,746,2,0,0,0,1,3
121onto,TKlerx,0.6,0.0,0.0,0.0,1.0,1.0,13,9,3,0,0,0,1,6
121onto,TomAugspurger,0.4,0.0,0.0,0.0,1.0,0.8,13,9311,4,0,0,0,1,11
121onto,bolau,0.6,0.0,0.0,0.0,1.0,1.0,13,4,3,0,0,0,1,6
121onto,ddofer,0.4,0.0,0.4,0.0,1.0,1.0,13,4,2,0,2,0,1,6
121onto,jankatins,0.0,0.0,0.0,0.0,1.0,1.0,13,469,0,0,0,0,1,2
121onto,jorisvandenbossche,0.67,0.0,0.0,0.0,1.0,1.0,13,10540,4,0,0,0,1,7
121onto,jreback,0.39666666666666667,0.0,0.023333333333333334,0.0,1.0,1.0,13,28609,22,0,2,0,3,23
121onto,kakl,0.0,0.0,0.0,0.0,1.0,1.0,13,3,0,0,0,0,1,2
121onto,kynan,0.67,0.0,0.0,0.0,1.0,1.0,13,18,2,0,0,0,1,4
121onto,mattilyra,1.0,0.0,0.0,0.0,1.0,1.0,13,14,1,0,0,0,1,2
121onto,shoyer,0.5,0.0,0.5,0.0,1.0,1.0,13,2338,1,0,1,0,1,3
13ene,TomAugspurger,0.0,0.0,0.0,0.0,1.0,1.0,1,9311,0,0,0,0,1,2
1kastner,TomAugspurger,0.45999999999999996,0.04,0.0,0.0,1.0,0.8333333333333334,27,9311,7,1,0,0,3,12
1kastner,WillAyd,0.0,0.0,0.0,0.0,1.0,1.0,27,2735,0,0,0,0,1,3
1kastner,bkmrkr,0.12,0.38,0.0,0.12,0.88,0.0,27,23,1,3,0,1,1,9
1kastner,codecov[bot],0.7366666666666667,0.0,0.0,0.0,0.7866666666666666,1.0,27,10328,24,0,0,0,3,23
