name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0-wiz-0,jorisvandenbossche,2016-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0Hughman0,chris-b1,2017-05,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
0phoff,WillAyd,2019-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0phoff,jreback,2019-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0x0L,TomAugspurger,2018-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0x0L,andyljones,2017-02,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x0L,gfyoung,2018-07,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
0x0L,holymonson,2018-07,0.5,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,7
0x0L,jreback,2015-09,1.0,0.0,0.0,0.0,1.0,1.0,8,0,0,0,1,6
0x0L,jreback,2015-10,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
0x0L,jreback,2019-03,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
11rohans,WillAyd,2018-05,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
11rohans,toobaz,2018-05,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
121onto,TomAugspurger,2015-11,0.4,0.0,0.0,0.0,1.0,0.8,4,0,0,0,1,11
121onto,jankatins,2015-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
121onto,jorisvandenbossche,2015-11,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,7
121onto,jreback,2015-10,0.275,0.0,0.05,0.0,1.0,1.0,11,0,2,0,2,11
121onto,jreback,2015-11,0.62,0.0,0.0,0.0,1.0,1.0,5,0,0,0,1,9
121onto,kynan,2015-11,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
121onto,mattilyra,2015-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
13ene,TomAugspurger,2016-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,TomAugspurger,2017-11,0.75,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,5
1kastner,TomAugspurger,2018-10,0.5,0.0,0.0,0.0,1.0,1.0,4,0,0,0,2,6
1kastner,bkmrkr,2017-10,0.25,0.25,0.0,0.25,0.75,0.0,1,1,0,1,1,5
1kastner,codecov[bot],2017-09,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
1kastner,codecov[bot],2017-11,0.835,0.0,0.0,0.0,0.915,1.0,18,0,0,0,2,17
1kastner,gfyoung,2017-09,0.75,0.0,0.0,0.0,1.0,1.0,3,0,0,0,2,6
1kastner,gfyoung,2017-11,0.81,0.0,0.53,0.0,1.0,1.0,11,0,2,0,2,10
1kastner,jbrockmendel,2017-11,0.485,0.0,0.0375,0.0,0.9575,0.9775,42,0,3,0,4,38
1kastner,jorisvandenbossche,2017-09,0.5,0.0,0.12,0.0,1.0,1.0,4,0,1,0,1,6
1kastner,jorisvandenbossche,2017-11,0.125,0.0,0.125,0.0,1.0,0.5,1,0,1,0,2,7
1kastner,jreback,2017-06,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
1kastner,jreback,2017-09,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
1kastner,jreback,2017-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
1kastner,jreback,2017-11,0.66,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.9433333333333334,0.8533333333333334,65,4,2,2,3,30
1kastner,pep8speaks,2017-09,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,pep8speaks,2017-10,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
3553x,codecov[bot],2017-07,0.8,0.0,0.0,0.0,0.8,1.0,8,0,0,0,1,7
3553x,gfyoung,2017-07,0.8,0.0,0.0,0.0,0.8,1.0,28,0,0,0,1,12
3553x,jreback,2017-07,0.8,0.0,0.0,0.0,0.8,1.0,12,0,0,0,1,8
3553x,pep8speaks,2017-07,0.0,0.2,0.0,0.0,0.8,1.0,0,1,0,0,1,6
4a616d6573205265696c6c79,jreback,2017-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
4bic,codecov[bot],2018-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
4bic,jorisvandenbossche,2018-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
515hikaru,FHaase,2018-12,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
515hikaru,Geekly,2018-12,0.0,1.0,0.0,0.0,0.0,1.0,0,2,0,0,1,3
515hikaru,WillAyd,2018-12,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
515hikaru,datapythonista,2018-12,0.0,1.0,0.0,0.0,0.0,1.0,0,2,0,0,1,3
515hikaru,mroeschke,2018-12,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
5hirish,TomAugspurger,2018-10,0.5,0.0,0.0,0.0,1.0,1.0,6,0,0,0,2,8
5hirish,TomAugspurger,2018-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
5hirish,anjalibhavan,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,codecov[bot],2018-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,datapythonista,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
5hirish,gfyoung,2018-10,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
5hirish,jbrockmendel,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,jreback,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,2,5
5hirish,jreback,2018-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,pep8speaks,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
691175002,jreback,2016-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,TomAugspurger,2018-01,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,TomAugspurger,2018-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
77QingLiu,gfyoung,2018-07,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,jorisvandenbossche,2018-01,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,jorisvandenbossche,2018-02,0.5,0.0,0.5,0.0,1.0,1.0,2,0,2,0,1,4
77QingLiu,jreback,2018-01,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,ottothecow,2018-02,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
7stud,hayd,2013-09,0.5,0.0,0.0,0.17,0.5,0.6699999999999999,3,0,0,1,1,5
8one6,TomAugspurger,2017-08,0.0,0.5,0.0,0.0,1.0,0.5,0,1,0,0,2,4
8one6,gfyoung,2017-08,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
