name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
hector13,wesm,20101,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ghost,jreback,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jreback,surbas,20121,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ghost,surbas,20121,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
tgefell,wesm,20101,17,2,1,1,0.49,0.06,0.03,0.03,12,1,0.8,0.86
mpenning,wesm,20101,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
knm,wesm,20101,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
triplechess,wesm,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
triplechess,wesm,20110,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ghost,wesm,20110,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
tgefell,wesm,20110,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
ghost,wesm,20110,4,0,4,0,1.0,0.0,1.0,0.0,4,1,1.0,1.0
ghost,wesm,20110,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
CRP,lodagro,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ghost,wesm,20110,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
columW,wesm,20110,4,0,1,0,0.5,0.0,0.12,0.0,6,1,1.0,1.0
ivanistheone,wesm,20111,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
rkern,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
lodagro,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
wesm,yonatanf,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
lodagro,yonatanf,20111,0,2,0,0,0.0,1.0,0.0,0.0,3,1,0.0,1.0
BrenBarn,wesm,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dandavison,wesm,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
BrenBarn,dandavison,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
maaku,yarivm,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
wesm,yarivm,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
sebpiq,yarivm,20121,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
jreback,yarivm,20121,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jreback,maaku,20121,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
maaku,wesm,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
sebpiq,wesm,20121,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
jreback,wesm,20121,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
maaku,sebpiq,20121,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
jreback,sebpiq,20121,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,0.5
fonnesbeck,wesm,20111,84,2,0,0,0.75,0.02,0.0,0.0,22,1,0.88,1.0
keflavich,wesm,20111,50,0,2,0,0.71,0.0,0.03,0.0,19,1,1.0,1.0
snth,wesm,20111,36,0,0,0,0.86,0.0,0.0,0.0,17,1,1.0,1.0
fonnesbeck,keflavich,20111,28,1,0,0,0.7,0.03,0.0,0.0,13,1,0.88,1.0
fonnesbeck,snth,20111,21,0,0,0,0.88,0.0,0.0,0.0,11,1,0.88,1.0
keflavich,snth,20111,12,0,0,0,0.8,0.0,0.0,0.0,8,1,1.0,1.0
datakungfu,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
talltom,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
changhiskhan,wesm,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
changhiskhan,wesm,20111,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
wesm,xdong,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
