name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0-wiz-0,jorisvandenbossche,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0Hughman0,chris-b1,20170,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
0phoff,WillAyd,20190,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0phoff,jreback,20190,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0x0L,TomAugspurger,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x0L,andyljones,20170,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0x0L,gfyoung,20181,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
0x0L,holymonson,20181,0.75,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,6
0x0L,jreback,20151,0.53,0.03,0.0,0.03,0.8,0.83,16,1,0,1,1,11
0x0L,jreback,20190,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
0x0L,shenker,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
11rohans,WillAyd,20180,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
11rohans,toobaz,20180,0.5,0.0,0.0,0.5,0.0,0.5,1,0,0,1,1,3
121onto,TomAugspurger,20151,0.4,0.1,0.4,0.0,1.0,0.9,4,1,4,0,1,11
121onto,jankatins,20151,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
121onto,jorisvandenbossche,20151,0.8,0.0,0.8,0.0,1.0,1.0,4,0,4,0,1,6
121onto,jreback,20151,0.64,0.0,0.04,0.0,1.0,1.0,18,0,1,0,3,20
121onto,kynan,20151,0.0,0.5,0.0,0.0,1.0,0.5,0,1,0,0,1,3
121onto,mattilyra,20151,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
13ene,TomAugspurger,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,TomAugspurger,20171,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
1kastner,TomAugspurger,20181,0.75,0.0,0.0,0.0,1.0,0.75,2,0,0,0,2,5
1kastner,WillAyd,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1kastner,bkmrkr,20171,0.4,0.0,0.0,0.4,0.6,0.0,2,0,0,2,1,6
1kastner,codecov[bot],20171,0.6433333333333334,0.0,0.0,0.0,0.6433333333333334,1.0,28,0,0,0,3,22
1kastner,gfyoung,20171,0.625,0.0,0.1675,0.0,1.0,1.0,6,0,2,0,4,13
1kastner,jbrockmendel,20171,0.5800000000000001,0.0425,0.0125,0.0525,0.6075,0.9099999999999999,54,7,2,7,4,51
1kastner,jorisvandenbossche,20171,0.44333333333333336,0.02666666666666667,0.08333333333333333,0.22333333333333336,0.5,0.7233333333333333,12,2,1,6,3,19
1kastner,jreback,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,jreback,20171,0.40249999999999997,0.0,0.0,0.0025,0.5075000000000001,0.95,114,0,0,2,4,43
1kastner,pep8speaks,20171,0.0,0.035,0.0,0.0,0.9650000000000001,1.0,0,1,0,0,2,17
3553x,codecov[bot],20171,1.0,0.0,0.0,0.0,1.0,1.0,10,0,0,0,1,7
3553x,gfyoung,20171,0.83,0.0,0.0,0.0,1.0,1.0,25,0,0,0,1,11
3553x,jreback,20171,0.67,0.0,0.0,0.0,1.0,1.0,10,0,0,0,1,8
3553x,pep8speaks,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,6
4a616d6573205265696c6c79,jreback,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
4bic,codecov[bot],20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
4bic,jorisvandenbossche,20180,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
515hikaru,FHaase,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
515hikaru,Geekly,20181,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
515hikaru,WillAyd,20181,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
515hikaru,datapythonista,20181,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,2,0,0,0,1,4
515hikaru,mroeschke,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,TomAugspurger,20181,1.0,0.0,0.0,0.0,1.0,1.0,14,0,0,0,2,10
5hirish,anjalibhavan,20181,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
5hirish,codecov[bot],20181,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
5hirish,datapythonista,20181,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
5hirish,gfyoung,20181,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
5hirish,jbrockmendel,20181,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
5hirish,jreback,20181,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,2,0,0,0,3,11
5hirish,pep8speaks,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
691175002,jreback,20161,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,ShichenXie,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,TomAugspurger,20180,0.835,0.0,0.0,0.0,1.0,1.0,3,0,0,0,2,6
77QingLiu,WillAyd,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,andrewdalecramer,20180,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,gfyoung,20181,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,jorisvandenbossche,20180,0.67,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,6
77QingLiu,jreback,20180,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
77QingLiu,jreback,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,openclosure,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,ottothecow,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,rea725,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,tamsl,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,tyang209,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
77QingLiu,xuhuizhang,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
7stud,hayd,20131,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
8one6,TomAugspurger,20171,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,2,4
8one6,behzadnouri,20150,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
8one6,gfyoung,20171,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
8one6,hayd,20140,0.57,0.0,0.0,0.0,0.5700000000000001,1.0,12,0,0,0,1,10
8one6,jorisvandenbossche,20141,0.33,0.0,0.0,0.0,0.5,1.0,6,0,0,0,1,9
8one6,jreback,20140,0.27,0.25,0.0,0.055,0.28500000000000003,0.875,30,1,0,6,2,18
8one6,jreback,20141,0.5966666666666667,0.04,0.013333333333333334,0.05666666666666667,0.7233333333333333,0.8333333333333334,19,6,2,1,3,22
8one6,jreback,20150,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,12,0,0,0,1,11
8one6,jreback,20151,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
8one6,jreback,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,6
8one6,shoyer,20151,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
8one6,tlmaloney,20150,0.71,0.0,0.0,0.0,1.0,0.93,20,0,0,0,1,16
AHoke,jorisvandenbossche,20171,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AHoke,weakunix,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AKuederle,TomAugspurger,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AKuederle,WillAyd,20181,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
