name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
Altons,ghost,20111,1.0,1.0,3,0,0,0,1,8
Altons,mattharrison,20111,1.0,0.6699999999999999,7,4,4,0,1,10
Altons,wesm,20111,1.0,1.0,33,0,0,0,1,18
CRP,lodagro,20111,1.0,1.0,1,0,0,0,1,2
CRP,wesm,20111,0.6666666666666666,1.0,2,2,0,0,6,16
DataJunkie,wesm,20111,1.0,1.0,13,0,0,0,2,9
Komnomnomnom,wesm,20111,1.0,1.0,1,0,1,0,1,2
PhE,wesm,20111,1.0,1.0,0,0,0,0,1,4
adamklein,wesm,20111,1.0,1.0,5,0,0,0,1,7
aman-thakral,wesm,20111,1.0,1.0,3,0,2,0,3,9
andreas-h,wesm,20111,0.5,1.0,1,0,0,0,2,4
asqui,wesm,20111,1.0,1.0,6,0,0,0,1,7
bburan,wesm,20111,1.0,1.0,2,0,0,0,1,3
bergtholdt,wesm,20111,1.0,1.0,0,0,0,0,1,2
brentp,PhE,20111,1.0,1.0,0,0,0,0,1,2
brentp,wesm,20111,1.0,1.0,3,0,0,0,1,4
catawbasam,wesm,20111,1.0,0.0,0,1,0,0,1,2
changhiskhan,lbeltrame,20111,1.0,1.0,2,0,0,0,1,3
changhiskhan,wesm,20111,1.0,0.875,7,0,0,0,4,13
chrisjordansquire,wesm,20111,1.0,1.0,3,0,0,0,3,8
craustin,lodagro,20111,1.0,1.0,1,0,0,0,1,2
craustin,wesm,20111,1.0,0.95875,14,0,0,0,8,26
creeson,wesm,20111,1.0,1.0,2,0,2,0,3,9
daehyok,wesm,20111,0.5,0.5,0,1,0,0,2,6
datakungfu,wesm,20111,1.0,1.0,0,0,0,0,1,2
davclark,wesm,20111,0.0,1.0,0,0,0,0,1,3
dieterv77,wesm,20111,0.6666666666666666,1.0,0,3,0,0,3,8
evandavey,wesm,20111,1.0,1.0,2,0,2,0,1,6
fonnesbeck,keflavich,20111,0.88,1.0,28,1,0,0,1,13
fonnesbeck,snth,20111,0.88,1.0,21,0,0,0,1,11
fonnesbeck,wesm,20111,0.96,1.0,90,2,0,0,3,29
fperez,lodagro,20111,0.75,1.0,1,0,0,0,1,5
fperez,wesm,20111,0.875,1.0,6,0,1,0,2,11
ghost,mattharrison,20111,1.0,0.6699999999999999,1,0,0,0,1,4
ghost,wesm,20111,1.0,1.0,11,0,0,0,1,12
gregglind,timClicks,20111,1.0,1.0,1,0,0,0,1,3
gregglind,wesm,20111,0.75,0.75,6,4,3,1,2,12
hammer,wesm,20111,1.0,1.0,1,0,0,0,1,3
hatmatrix,wesm,20111,1.0,1.0,0,0,0,0,1,2
ivanistheone,wesm,20111,1.0,1.0,2,0,0,0,1,3
jankatins,lodagro,20111,0.0,0.0,1,0,0,1,1,2
jankatins,wesm,20111,0.5,0.875,2,0,0,1,2,8
joonro,wesm,20111,1.0,1.0,1,0,1,0,1,2
jseabold,wesm,20111,1.0,1.0,0,0,0,0,1,2
keflavich,snth,20111,1.0,1.0,12,0,0,0,1,8
keflavich,wesm,20111,1.0,1.0,50,0,2,0,1,19
lbeltrame,lodagro,20111,1.0,0.3333333333333333,1,1,0,0,3,10
lbeltrame,sjev,20111,1.0,1.0,1,0,0,0,1,2
lbeltrame,wesm,20111,1.0,1.0,18,0,0,0,5,20
lodagro,sjev,20111,1.0,1.0,2,0,0,0,1,5
lodagro,wesm,20111,0.6153846153846154,0.903846153846154,18,3,0,1,13,43
lodagro,yonatanf,20111,0.0,1.0,0,2,0,0,1,3
mattharrison,wesm,20111,0.6816666666666666,0.945,40,3,1,1,6,42
mcobzarenco,wesm,20111,1.0,1.0,2,0,0,0,1,3
michaeldhealy,wesm,20111,1.0,1.0,6,0,0,0,1,5
mwiebe,reckoner,20111,1.0,1.0,0,0,0,0,1,3
mwiebe,wesm,20111,1.0,1.0,8,0,0,0,1,6
natekupp,wesm,20111,1.0,1.0,0,0,0,0,1,7
psychstatistics,wesm,20111,1.0,1.0,0,0,0,0,1,4
ralphbean,wesm,20111,1.0,1.0,1,0,0,0,2,6
reckoner,wesm,20111,1.0,1.0,1,0,1,0,3,12
rkern,wesm,20111,1.0,1.0,0,0,0,0,1,3
rsamson,wesm,20111,1.0,1.0,3,0,3,0,4,10
salestial,wesm,20111,1.0,0.75,3,1,0,0,1,6
scottza,wesm,20111,1.0,1.0,0,0,0,0,1,2
seanjtaylor,wesm,20111,1.0,1.0,2,0,0,0,1,3
sjev,wesm,20111,1.0,0.9722222222222222,13,1,2,0,9,32
smc77,wesm,20111,1.0,0.5,0,1,0,0,1,3
snth,wesm,20111,1.0,1.0,36,0,0,0,1,17
solomon-negusse,wesm,20111,1.0,1.0,2,0,1,0,1,4
takluyver,wesm,20111,0.9558333333333334,0.8691666666666666,69,4,2,2,12,66
talltom,wesm,20111,1.0,1.0,0,0,0,0,1,3
timClicks,wesm,20111,1.0,0.875,3,0,1,0,2,7
toor-toor,wesm,20111,1.0,1.0,0,0,0,0,1,2
tvaught,wesm,20111,1.0,1.0,0,0,0,0,1,2
ukch,wesm,20111,1.0,1.0,1,0,0,0,3,6
vincentarelbundock,wesm,20111,1.0,1.0,1,0,1,0,1,3
wesm,xdong,20111,1.0,1.0,1,0,1,0,2,6
wesm,yarikoptic,20111,1.0,1.0,2,0,0,0,2,5
wesm,yonatanf,20111,1.0,1.0,0,0,0,0,1,4
