a1,a2,c,co_cmt_cnt,co_issue_cnt,date,ic,nc,pc
0-wiz-0,jorisvandenbossche,1,2,1,2016-08,0,0,0
0Hughman0,chris-b1,1,2,1,2017-05,0,0,1
0phoff,WillAyd,0,2,1,2019-02,0,0,0
0phoff,jreback,0,2,1,2019-02,0,0,0
0x0L,TomAugspurger,0,2,1,2018-07,0,0,0
0x0L,andyljones,1,2,1,2017-02,0,0,0
0x0L,gfyoung,6,5,1,2018-07,0,0,0
0x0L,holymonson,6,7,1,2018-07,0,0,0
0x0L,jreback,8,6,1,2015-09,0,0,0
0x0L,jreback,6,5,1,2015-10,0,0,0
0x0L,jreback,1,3,1,2019-03,0,0,0
11rohans,WillAyd,0,2,1,2018-05,0,0,0
11rohans,toobaz,2,3,1,2018-05,0,0,0
121onto,TomAugspurger,4,11,1,2015-11,0,0,0
121onto,jankatins,0,2,1,2015-11,0,0,0
121onto,jorisvandenbossche,4,7,1,2015-11,0,0,0
121onto,jreback,11,11,2,2015-10,0,0,2
121onto,jreback,5,9,1,2015-11,0,0,0
121onto,kynan,2,4,1,2015-11,0,0,0
121onto,mattilyra,1,2,1,2015-11,0,0,0
13ene,TomAugspurger,0,2,1,2016-07,0,0,0
1kastner,TomAugspurger,3,5,1,2017-11,0,0,0
1kastner,TomAugspurger,4,6,2,2018-10,0,0,0
1kastner,bkmrkr,1,5,1,2017-10,1,1,0
1kastner,codecov[bot],2,3,1,2017-09,0,0,0
1kastner,codecov[bot],18,17,2,2017-11,0,0,0
1kastner,gfyoung,3,6,2,2017-09,0,0,0
1kastner,gfyoung,11,10,2,2017-11,0,0,2
1kastner,jbrockmendel,42,38,4,2017-11,0,0,3
1kastner,jorisvandenbossche,4,6,1,2017-09,0,0,1
1kastner,jorisvandenbossche,1,7,2,2017-11,0,0,1
1kastner,jreback,1,2,1,2017-06,0,0,1
1kastner,jreback,0,3,1,2017-09,0,0,0
1kastner,jreback,2,3,1,2017-10,0,0,0
1kastner,jreback,65,30,3,2017-11,4,2,2
1kastner,pep8speaks,0,2,1,2017-09,0,0,0
1kastner,pep8speaks,0,3,1,2017-10,0,0,0
3553x,codecov[bot],8,7,1,2017-07,0,0,0
3553x,gfyoung,28,12,1,2017-07,0,0,0
3553x,jreback,12,8,1,2017-07,0,0,0
3553x,pep8speaks,0,6,1,2017-07,1,0,0
4a616d6573205265696c6c79,jreback,0,2,1,2017-02,0,0,0
4bic,codecov[bot],1,2,1,2018-03,0,0,0
4bic,jorisvandenbossche,2,3,1,2018-03,0,0,0
515hikaru,FHaase,0,2,1,2018-12,1,0,0
515hikaru,Geekly,0,3,1,2018-12,2,0,0
515hikaru,WillAyd,0,2,1,2018-12,0,0,0
515hikaru,datapythonista,0,3,1,2018-12,2,0,0
515hikaru,mroeschke,0,2,1,2018-12,1,0,0
5hirish,TomAugspurger,6,8,2,2018-10,0,0,0
5hirish,TomAugspurger,0,2,1,2018-11,0,0,0
5hirish,anjalibhavan,1,2,1,2018-10,0,0,0
5hirish,codecov[bot],1,2,1,2018-11,0,0,0
5hirish,datapythonista,2,3,1,2018-10,0,0,0
5hirish,gfyoung,0,2,1,2018-10,0,0,0
5hirish,jbrockmendel,1,2,1,2018-10,0,0,0
5hirish,jreback,3,5,2,2018-10,0,0,0
5hirish,jreback,1,2,1,2018-11,0,0,0
5hirish,pep8speaks,3,4,1,2018-10,0,0,0
691175002,jreback,2,3,1,2016-10,0,0,0
77QingLiu,TomAugspurger,1,2,1,2018-01,0,0,0
77QingLiu,TomAugspurger,0,2,1,2018-02,0,0,0
77QingLiu,gfyoung,2,3,1,2018-07,0,0,0
77QingLiu,jorisvandenbossche,1,2,1,2018-01,0,0,0
77QingLiu,jorisvandenbossche,2,4,1,2018-02,0,0,2
77QingLiu,jreback,1,2,1,2018-01,0,0,0
77QingLiu,ottothecow,0,2,1,2018-02,0,0,0
7stud,hayd,3,5,1,2013-09,0,1,0
8one6,TomAugspurger,0,4,2,2017-08,1,0,0
8one6,gfyoung,1,2,1,2017-08,0,0,1
8one6,hayd,12,10,1,2014-03,0,0,0
8one6,jorisvandenbossche,4,4,1,2014-09,0,0,0
8one6,jorisvandenbossche,0,3,1,2014-10,0,0,0
8one6,jreback,1,3,1,2014-02,0,0,0
8one6,jreback,30,15,1,2014-03,0,0,6
8one6,jreback,1,2,1,2014-07,0,0,0
8one6,jreback,9,7,1,2014-08,0,0,0
8one6,jreback,6,5,1,2014-09,0,0,0
8one6,jreback,3,6,1,2014-11,0,0,0
8one6,jreback,2,4,1,2015-06,0,0,0
8one6,jreback,2,4,1,2015-11,0,0,2
8one6,jreback,2,6,1,2017-03,0,0,2
8one6,shoyer,2,3,1,2015-11,0,0,2
AHoke,jorisvandenbossche,2,3,1,2017-11,0,0,0
AHoke,weakunix,0,2,1,2017-11,0,0,0
AKuederle,TomAugspurger,0,2,1,2017-12,0,0,0
AKuederle,WillAyd,2,4,1,2018-08,0,0,1
AKuederle,gfyoung,0,3,1,2018-08,1,0,0
AKuederle,jorisvandenbossche,0,2,1,2017-12,0,0,0
AKuederle,jreback,1,3,1,2018-08,0,0,0
ALShum,jreback,1,2,1,2014-11,0,0,0
AMFIRNAS,gfyoung,1,2,1,2017-07,0,0,0
AMFIRNAS,pavankat,1,2,1,2017-07,0,0,0
AP23,jreback,2,3,1,2013-09,0,0,0
AP23,jtratner,1,2,1,2013-09,0,0,0
ARF1,TomAugspurger,1,3,1,2015-05,0,0,0
ARF1,hayd,1,6,1,2015-04,0,0,0
ARF1,jorisvandenbossche,4,6,1,2015-04,0,0,4
ARF1,jorisvandenbossche,0,5,2,2015-05,1,0,0
ARF1,jreback,14,22,3,2015-04,3,0,9
ARF1,jreback,3,8,3,2015-05,0,0,2
ARF1,shoyer,17,25,4,2015-04,4,0,11
ARF1,shoyer,0,4,2,2015-05,0,0,0
ATPs,WillAyd,1,2,1,2018-08,0,0,0
AVI18794,jorisvandenbossche,1,2,1,2018-11,0,0,0
AaronCritchley,TomAugspurger,1,2,1,2018-02,0,0,1
AaronCritchley,TomAugspurger,0,4,1,2018-03,0,0,0
AaronCritchley,codecov[bot],1,2,1,2017-11,0,0,0
AaronCritchley,codecov[bot],0,2,1,2017-12,0,0,0
AaronCritchley,codecov[bot],0,2,1,2018-02,0,0,0
AaronCritchley,datapythonista,0,2,1,2018-09,0,0,0
AaronCritchley,jreback,2,3,1,2017-11,0,0,0
AaronCritchley,jreback,0,5,2,2017-12,0,0,0
AaronCritchley,jreback,0,5,1,2018-03,0,0,0
AaronCritchley,jreback,2,3,1,2018-04,0,0,0
AaronCritchley,jreback,0,2,1,2018-09,0,0,0
AaronCritchley,pep8speaks,1,2,1,2018-02,0,0,1
AaronCritchley,pep8speaks,0,2,1,2018-09,0,0,0
AaronCritchley,topper-123,0,2,1,2018-02,0,0,0
AaronNBrock,TomAugspurger,2,4,1,2018-03,0,0,1
AashitaK,brianhuey,9,11,1,2017-03,0,0,4
AashitaK,jorisvandenbossche,1,3,1,2017-03,0,0,0
AashitaK,jreback,10,12,1,2017-03,0,0,4
AbdealiJK,Make42,1,2,1,2017-11,0,0,0
AbdealiJK,TomAugspurger,2,6,2,2017-11,0,0,0
AbdealiJK,codecov[bot],6,5,1,2017-11,0,0,0
AbdealiJK,codecov[bot],1,3,1,2017-12,0,0,0
