period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,average_clustering,connectivity,global_centrality
2010-07-01,4,3,1.5,0.866,7.0,1,2,2.0,0.5,0,0.0,4,0.7,0.25,0.0,0.75,0.3333333333333333
2011-01-01,4,3,1.5,0.866,5.6667,1,2,2.0,0.5,0,0.0,4,0.7,0.25,0.0,0.75,0.3333333333333333
2011-07-01,45,59,2.622,6.343,9.8136,1,2,2.0,0.0596,0.0539,0.0203,45,0.5207,0.0219,0.3336856941508104,1.31,0.48088842975206597
2012-01-01,97,171,3.526,8.838,10.3977,1,4,4.0,0.0367,0.0682,0.1853,97,0.4657,0.0125,0.4913655038834378,1.76,0.44950810185185164
2012-07-01,160,346,4.325,11.727,9.0665,1,4,4.0,0.0272,0.0931,0.1002,160,0.4545,0.0078,0.5196407290071016,2.16,0.425068892317024
2013-01-01,226,553,4.894,14.104,34.4647,2,4,2.5,0.0218,0.0779,0.0378,226,0.4324,0.0057,0.5732370829305501,2.45,0.39854156378600836
2013-07-01,287,783,5.456,18.43,39.166,2,4,2.5,0.0191,0.0622,0.0345,287,0.4641,0.004,0.6642587550994078,2.73,0.4421548730989295
2014-01-01,361,925,5.125,19.101,24.8476,2,4,2.5,0.0142,0.0532,0.0565,361,0.4668,0.0031,0.6065268036824221,2.56,0.4681790123456777
2014-07-01,396,885,4.47,18.657,20.3367,3,4,2.0,0.0113,0.041,0.068,396,0.4498,0.003,0.5220003262957839,2.23,0.4598045185066476
2015-01-01,409,971,4.748,18.988,12.656,6,4,1.5,0.0116,0.0474,0.1514,409,0.4252,0.0029,0.592679884231341,2.37,0.4389157215173626
2015-07-01,489,1020,4.172,20.435,13.5755,6,4,1.5,0.0085,0.0287,0.1065,489,0.4416,0.0023,0.5083886330621072,2.09,0.46515273671952184
2016-01-01,484,1039,4.293,20.917,16.3571,4,4,2.0,0.0089,0.0296,0.0719,484,0.455,0.0023,0.5366674213241996,2.15,0.47472591220903343
2016-07-01,446,1027,4.605,19.702,14.111,5,4,1.6,0.0103,0.0368,0.0702,446,0.4243,0.0028,0.6085428324259182,2.3,0.4185708875142011
2017-01-01,570,1273,4.467,21.542,12.5625,8,5,1.5,0.0079,0.0297,0.1014,570,0.4187,0.0022,0.5938481276228205,2.23,0.4223980034655175
2017-07-01,608,1471,4.839,21.24,13.8538,12,5,1.3333333333333333,0.008,0.039,0.1363,608,0.3924,0.0021,0.5929797126051252,2.42,0.4002771075508407
2018-01-01,814,2153,5.29,22.245,8.9387,17,5,1.2941176470588236,0.0065,0.045,0.1803,814,0.3662,0.0017,0.6037118319947301,2.64,0.32357720256169575
2018-07-01,783,2181,5.571,21.399,12.873,23,6,1.2173913043478262,0.0071,0.0577,0.1749,783,0.3392,0.0018,0.6278697246977819,2.79,0.30852269630191737
2019-01-01,469,1204,5.134,17.164,11.9635,13,5,1.3076923076923077,0.011,0.071,0.1562,469,0.3596,0.0029,0.5602767344073066,2.57,0.30810063432926466
