period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,average_clustering,connectivity,global_centrality
2010-07-01,5,4,1.6,1.2,5.0,1,2,2.0,0.4,0,0.0,5,0.6571,0.2,0.0,0.8,0.375
2011-01-01,5,4,1.6,1.2,4.25,1,2,2.0,0.4,0,0.0,5,0.6571,0.2,0.0,0.8,0.375
2011-07-01,63,80,2.54,7.632,7.15,1,2,2.0,0.041,0.0322,0.0776,63,0.5143,0.0157,0.3168555511986803,1.27,0.48725286160249764
2012-01-01,121,230,3.802,10.307,7.5913,1,4,4.0,0.0317,0.0636,0.1761,121,0.4718,0.0097,0.5629629385146907,1.9,0.4553124999999996
2012-07-01,198,455,4.596,13.654,6.7934,2,4,2.5,0.0233,0.0797,0.0954,198,0.4555,0.0059,0.591890136453962,2.3,0.4394126791895366
2013-01-01,267,682,5.109,15.498,27.3651,3,4,2.0,0.0192,0.0725,0.1051,267,0.4285,0.0047,0.6318067799207204,2.55,0.39470150941263044
2013-07-01,322,916,5.689,20.022,32.8843,2,4,2.5,0.0177,0.0581,0.0363,322,0.4656,0.0035,0.6905578888107097,2.84,0.44426975669879026
2014-01-01,412,1099,5.335,21.066,20.4622,2,4,2.5,0.013,0.0501,0.0507,412,0.4749,0.0027,0.6437549465111675,2.67,0.4747061249538714
2014-07-01,466,1130,4.85,20.695,15.4858,3,5,2.3333333333333335,0.0104,0.0401,0.0843,466,0.4534,0.0025,0.5868034380173025,2.42,0.46232520137202526
2015-01-01,495,1234,4.986,21.364,9.6491,4,4,1.75,0.0101,0.0407,0.1189,495,0.436,0.0024,0.6292092542463035,2.49,0.43781450277827894
2015-07-01,579,1294,4.47,22.975,10.4467,5,5,1.8,0.0077,0.0264,0.1002,579,0.4508,0.002,0.5768467941107424,2.23,0.46560964707478814
2016-01-01,589,1351,4.587,23.673,12.3694,6,4,1.5,0.0078,0.0276,0.0736,589,0.4565,0.0019,0.5802558509858682,2.29,0.47697622132753686
2016-07-01,535,1318,4.927,22.354,10.8756,2,4,2.5,0.0092,0.0323,0.0641,535,0.4406,0.0024,0.6712721179342984,2.46,0.42104964767822806
2017-01-01,668,1619,4.847,24.458,9.638,9,5,1.4444444444444444,0.0073,0.0274,0.0914,668,0.4257,0.0018,0.6618461982439341,2.42,0.4295824351692248
2017-07-01,721,1934,5.365,24.688,10.2963,17,5,1.2352941176470589,0.0075,0.0388,0.1329,721,0.396,0.0017,0.6753784892332905,2.68,0.40835108024691724
2018-01-01,954,2804,5.878,26.13,6.73,13,5,1.3846153846153846,0.0062,0.0415,0.1794,954,0.388,0.0014,0.6844100558075811,2.94,0.3299707446193604
2018-07-01,938,2879,6.139,25.174,9.5148,29,5,1.1724137931034482,0.0066,0.0526,0.1727,938,0.3468,0.0014,0.6758124653073749,3.07,0.30425603485620756
2019-01-01,577,1606,5.567,19.505,8.7758,19,5,1.2105263157894737,0.0097,0.0699,0.1507,577,0.3536,0.0022,0.6023049062116984,2.78,0.3068409609696477
