period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-07-01,2,1,1.0,0.0,1.0,1,1,1.0,1.0,0,0.0,2,1.0,0.0,0.0,0.0,0.5,0.0
2011-01-01,3,2,1.333,0.471,3.0,1,2,2.0,0.6667,0,0.0,3,0.7778,0.3333,0.2222,0.0,0.67,0.25
2011-07-01,19,18,1.895,3.567,1.7222,1,3,3.0,0.1053,0,0.2159,19,0.5174,0.0581,0.0492,0.0,0.95,0.4593621399176953
2012-01-01,29,31,2.138,3.17,1.9032,1,4,4.0,0.0764,0.0497,0.3934,29,0.4084,0.0564,0.0312,0.11733716475095785,1.07,0.3514030612244898
2012-07-01,49,58,2.367,4.645,2.0345,2,4,2.5,0.0493,0.0493,0.4162,49,0.3922,0.0272,0.0147,0.21519139245847319,1.18,0.3385416666666668
2013-01-01,90,129,2.867,6.709,4.4574,3,4,2.0,0.0322,0.0715,0.2576,90,0.3864,0.0146,0.0064,0.3237274602791844,1.43,0.38982872532929363
2013-07-01,118,199,3.373,9.196,4.3819,2,4,2.5,0.0288,0.0709,0.1762,118,0.43,0.0107,0.0051,0.39131361496503936,1.69,0.41936347919253825
2014-01-01,146,218,2.986,9.464,3.6101,4,4,1.75,0.0206,0.0452,0.2051,146,0.4029,0.0084,0.0042,0.33009866691540823,1.49,0.43354736424890905
2014-07-01,146,209,2.863,9.17,3.4641,3,4,2.0,0.0197,0.0391,0.2735,146,0.4064,0.009,0.0047,0.30957061818907894,1.43,0.4255568767340466
2015-01-01,125,181,2.896,7.472,3.7514,4,5,2.0,0.0234,0.0618,0.2829,125,0.3648,0.0113,0.0038,0.34479434528839453,1.45,0.3535531564342694
2015-07-01,140,205,2.929,8.774,3.4,3,4,2.0,0.0211,0.0482,0.2651,140,0.3948,0.0094,0.0048,0.34890140469143116,1.46,0.41860324689888323
2016-01-01,139,188,2.705,8.919,2.8777,4,4,1.75,0.0196,0.0308,0.3031,139,0.3974,0.009,0.0052,0.27707614287558546,1.35,0.4423703003570679
2016-07-01,135,180,2.667,8.123,2.7389,4,4,1.75,0.0199,0.0454,0.3002,135,0.3765,0.01,0.0044,0.22132707752067096,1.33,0.33569094824385437
2017-01-01,145,189,2.607,7.711,2.3915,4,5,2.0,0.0181,0.0358,0.2927,145,0.3607,0.0098,0.004,0.2561281968212682,1.3,0.36184092078189284
2017-07-01,172,281,3.267,9.508,3.1566,4,4,1.75,0.0191,0.0603,0.2575,172,0.3823,0.008,0.0027,0.4063559016578942,1.63,0.3505067086168963
2018-01-01,252,429,3.405,10.683,2.7343,5,5,1.8,0.0136,0.0539,0.2693,252,0.3654,0.006,0.0014,0.4326338933216007,1.7,0.30679407205176784
2018-07-01,222,455,4.099,11.868,4.6044,3,5,2.3333333333333335,0.0185,0.0741,0.2052,222,0.3908,0.0066,0.0015,0.5273670004578174,2.05,0.367212656033524
2019-01-01,123,217,3.528,7.174,2.6221,3,4,2.0,0.0289,0.1228,0.3089,123,0.3619,0.0126,0.0027,0.436723736397387,1.76,0.2902781510346677
