"name1","name2","period","issue_num","p1","p2"
"hector13","wesm","20101","7","2","22"
"ghost","jreback","20121","13","2","2"
"jreback","surbas","20121","13","2","1"
"ghost","surbas","20121","13","2","1"
"tgefell","wesm","20101","22","012022","2212202"
"mpenning","wesm","20101","23","2","22"
"knm","wesm","20101","24","1","22"
"triplechess","wesm","20110","31","1","02"
"triplechess","wesm","20110","32","1","22"
"ghost","wesm","20110","35","0","1"
"tgefell","wesm","20110","36","22","222"
"ghost","wesm","20110","37","11","11"
"ghost","wesm","20110","38","1","1"
"CRP","lodagro","20111","39","2","2"
"ghost","wesm","20110","44","212","2"
"columW","wesm","20110","51","21","1222"
"ivanistheone","wesm","20111","58","2","22"
"rkern","wesm","20111","59","22","1"
"lodagro","wesm","20111","60","0","0022"
"wesm","yonatanf","20111","60","0022","11"
"lodagro","yonatanf","20111","60","0","11"
"BrenBarn","wesm","20120","60","02","2"
"dandavison","wesm","20120","60","0","2"
"BrenBarn","dandavison","20120","60","02","0"
"maaku","yarivm","20121","60","2","2"
"wesm","yarivm","20121","60","2","2"
"sebpiq","yarivm","20121","60","020","2"
"jreback","yarivm","20121","60","22","2"
"jreback","maaku","20121","60","22","2"
"maaku","wesm","20121","60","2","2"
"sebpiq","wesm","20121","60","020","2"
"jreback","wesm","20121","60","22","2"
"maaku","sebpiq","20121","60","2","020"
"jreback","sebpiq","20121","60","22","020"
"fonnesbeck","wesm","20111","77","22222220","22222211222222"
"keflavich","wesm","20111","77","22221","22222211222222"
"snth","wesm","20111","77","222","22222211222222"
"fonnesbeck","keflavich","20111","77","22222220","22221"
"fonnesbeck","snth","20111","77","22222220","222"
"keflavich","snth","20111","77","22221","222"
"datakungfu","wesm","20111","79","1","02"
"talltom","wesm","20111","82","1","22"
"changhiskhan","wesm","20120","85","1","22"
"changhiskhan","wesm","20111","86","21","22"
"wesm","xdong","20111","90","1","2"
"jreback","mdgoldberg","20170","92","2","21"
"reckoner","wesm","20111","99","1","21"
"timClicks","wesm","20111","105","1","1"
"chrisjordansquire","wesm","20111","117","22","12"
"smc77","wesm","20111","129","1","020"
"chrisjordansquire","wesm","20111","131","1","2"
"chrisjordansquire","wesm","20111","133","2","2"
"wesm","yarikoptic","20111","136","2","2"
"wesm","yarikoptic","20111","137","21","2"
"bergtholdt","wesm","20111","139","2","1"
"wesm","xdong","20111","143","212","1"
"toor-toor","wesm","20111","145","1","2"
"DataJunkie","wesm","20111","148","2","2"
"DataJunkie","wesm","20111","149","2222","222"
"andreas-h","wesm","20111","153","0","2"
"EmlynC","wesm","20120","167","2002","12"
"gregglind","wesm","20120","170","22","2222"
"salestial","wesm","20111","179","21","2202"
"Altons","wesm","20111","180","1112221","22222222222"
"ghost","wesm","20111","180","2","22222222222"
"mattharrison","wesm","20111","180","201","22222222222"
"Altons","ghost","20111","180","1112221","2"
"Altons","mattharrison","20111","180","1112221","201"
"ghost","mattharrison","20111","180","2","201"
"scottza","wesm","20111","182","1","2"
"psychstatistics","wesm","20111","183","11","22"
"michaeldhealy","wesm","20111","192","22","222"
"gregglind","wesm","20120","192","1","2"
"daehyok","wesm","20111","195","2","0"
"daehyok","wesm","20111","196","0","212"
"rsamson","wesm","20111","198","222","1"
"takluyver","wesm","20111","200","11222","122220"
"rsamson","wesm","20111","201","1","1"
"rsamson","wesm","20111","202","1","1"
"takluyver","wesm","20111","206","2","1"
"changhiskhan","wesm","20120","207","1","1"
"takluyver","wesm","20111","213","2","12"
"changhiskhan","wesm","20120","216","2","2"
"adamklein","wesm","20120","222","21","22"
"takluyver","wesm","20111","224","211","222"
"takluyver","wesm","20111","225","12","2222"
"takluyver","wesm","20111","226","1","0"
"takluyver","wesm","20111","228","2","1"
"PhE","wesm","20111","232","01","222"
"brentp","wesm","20111","232","2","222"
"brentp","PhE","20111","232","2","01"
"takluyver","wesm","20111","233","20222","020202"
"CRP","wesm","20111","235","0","22"
"adamklein","lodagro","20120","235","2","2"
"lodagro","wesm","20120","235","2","2"
"adamklein","wesm","20120","235","2","2"
"baldwint","kghose","20130","236","20","22"
"cpcloud","kghose","20130","236","2022200","22"
"jreback","kghose","20130","236","22222222","22"
"baldwint","cpcloud","20130","236","20","2022200"
"baldwint","jreback","20130","236","20","22222222"
"cpcloud","jreback","20130","236","2022200","22222222"
"jreback","njsmith","20131","236","02","21"
"dragoljub","njsmith","20131","236","2","21"
"dragoljub","jreback","20131","236","2","02"
"creeson","wesm","20111","238","1","122"
