name,year_week,issue_num,label
wesm,20117,1,2
wesm,201050,2,2
wesm,201152,3,2
wesm,201049,4,2
wesm,201050,5,2
wesm,201049,6,2
wesm,201039,7,2
hector13,201039,7,2
wesm,201049,7,2
wesm,201039,8,2
wesm,20119,8,2
wesm,201125,8,0
wesm,201039,9,2
wesm,201120,9,1
wesm,201125,10,2
wesm,201049,11,2
wesm,20117,11,2
wesm,201039,12,1
wesm,201049,12,2
wesm,201125,13,0
jreback,201249,13,2
ghost,201250,13,2
surbas,201250,13,1
wesm,20117,14,2
wesm,201049,15,2
wesm,201125,16,2
wesm,201127,17,2
wesm,201138,18,2
wesm,20112,19,2
wesm,201046,20,2
wesm,201050,20,2
wesm,201046,21,2
wesm,201050,22,2212202
tgefell,201050,22,012022
wesm,201051,23,22
mpenning,201051,23,2
wesm,201152,23,1
wesm,201051,24,22
knm,201051,24,1
wesm,201051,25,22
wesm,20111,26,2
wesm,20117,27,2
wesm,20112,28,1
wesm,20114,28,2
wesm,201122,29,0
wesm,201125,29,2
wesm,20112,30,0
wesm,201122,30,2
wesm,201124,30,2
wesm,20112,31,0
triplechess,20112,31,1
wesm,20117,31,2
wesm,20113,32,22
triplechess,20113,32,1
wesm,20117,33,2
wesm,20114,34,2
wesm,20117,34,2
wesm,20118,35,1
ghost,20118,35,0
wesm,20119,36,222
tgefell,20119,36,22
wesm,201111,37,11
ghost,201111,37,11
wesm,201112,38,1
ghost,201112,38,1
CRP,201142,39,2
lodagro,201143,39,2
lodagro,201210,39,0
cpcloud,201331,39,2
jreback,201410,39,2
wesm,201126,40,2
wesm,20121,41,2
wesm,201122,42,2
wesm,201125,43,2
ghost,201118,44,21
wesm,201118,44,2
ghost,201120,44,2
wesm,201122,45,2
wesm,201125,45,2
wesm,201126,46,2
wesm,201124,47,2
wesm,201124,48,2
wesm,201124,49,2
wesm,201122,50,2
wesm,201125,51,1222
columW,201125,51,21
wesm,201125,52,2
wesm,201125,53,2
wesm,201126,54,2
wesm,201126,55,1
