name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
kapilreddy,mrdoob,37,0,1,0,0.76,0.0,0.02,0.0,14,1,1.0,0.946,4,5550
mrdoob,pyrotechnick,6,1,0,0,0.43,0.07,0.0,0.0,9,1,0.946,0.941,5550,8
kapilreddy,pyrotechnick,6,1,0,0,0.43,0.07,0.0,0.0,9,1,1.0,0.941,4,8
Mugen87,pyrotechnick,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.92,0.941,3513,8
mrdoob,shravanimmy,1,0,1,0,0.14,0.0,0.14,0.0,8,1,0.946,1.0,5550,4
kapilreddy,shravanimmy,1,0,1,0,0.14,0.0,0.14,0.0,8,1,1.0,1.0,4,4
pyrotechnick,shravanimmy,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.941,1.0,8,4
Mugen87,shravanimmy,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.92,1.0,3513,4
mrdoob,Mugen87,6,0,0,0,0.86,0.0,0.0,0.0,8,1,0.946,0.92,5550,3513
kapilreddy,Mugen87,6,0,0,0,0.86,0.0,0.0,0.0,8,1,1.0,0.92,4,3513
gero3,mrdoob,16,0,0,0,0.67,0.0,0.0,0.0,10,1,0.86,0.946,195,5550
alteredq,mrdoob,2,2,0,2,0.17,0.17,0.0,0.17,8,1,0.775,0.946,148,5550
fabricasapiens,mrdoob,9,1,1,0,0.5,0.06,0.06,0.0,9,1,1.0,0.946,7,5550
mrdoob,pyrotechnick,54,2,2,0,0.6,0.02,0.02,0.0,21,1,0.946,0.941,5550,8
gero3,pyrotechnick,52,0,0,0,0.87,0.0,0.0,0.0,19,1,0.86,0.941,195,8
alteredq,pyrotechnick,0,4,0,0,0.0,0.13,0.0,0.0,17,1,0.775,0.941,148,8
fabricasapiens,pyrotechnick,28,0,2,0,0.62,0.0,0.04,0.0,18,1,1.0,0.941,7,8
alteredq,gero3,0,0,0,0,0.0,0.0,0.0,0.0,6,1,0.775,0.86,148,195
fabricasapiens,gero3,8,0,0,0,0.67,0.0,0.0,0.0,7,1,1.0,0.86,7,195
alteredq,fabricasapiens,0,2,0,0,0.0,0.33,0.0,0.0,5,1,0.775,1.0,148,7
