name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
kapilreddy,mrdoob,2010-11-01,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,pyrotechnick,2010-11-15,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
kapilreddy,mrdoob,2011-02-14,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
kapilreddy,mrdoob,2011-02-21,8,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
Mugen87,shravanimmy,2018-07-30,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
gero3,mrdoob,2010-11-22,16,0,0,0,0.67,0.0,0.0,0.0,10,1,1.0,0.83
alteredq,mrdoob,2010-11-22,1,1,0,1,0.17,0.17,0.0,0.17,7,1,0.0,0.83
fabricasapiens,mrdoob,2010-11-22,9,1,1,0,0.5,0.06,0.06,0.0,9,1,1.0,0.83
mrdoob,pyrotechnick,2010-11-22,54,2,2,0,0.6,0.02,0.02,0.0,21,1,0.83,1.0
gero3,pyrotechnick,2010-11-22,52,0,0,0,0.87,0.0,0.0,0.0,19,1,1.0,1.0
alteredq,pyrotechnick,2010-11-22,0,2,0,0,0.0,0.13,0.0,0.0,16,1,0.0,1.0
fabricasapiens,pyrotechnick,2010-11-22,28,0,2,0,0.62,0.0,0.04,0.0,18,1,1.0,1.0
alteredq,gero3,2010-11-22,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,1.0
fabricasapiens,gero3,2010-11-22,8,0,0,0,0.67,0.0,0.0,0.0,7,1,1.0,1.0
alteredq,fabricasapiens,2010-11-22,0,1,0,0,0.0,0.33,0.0,0.0,4,1,0.0,1.0
fabricasapiens,WaZz2,2011-05-16,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
mrdoob,rdad,2011-05-30,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
martindsq,mrdoob,2013-12-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
agnivade,mrdoob,2016-02-22,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,anilshanbhag,2011-06-06,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
anilshanbhag,mrdoob,2011-06-06,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
jsermeno,mrdoob,2011-06-06,9,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
alteredq,mrdoob,2011-06-06,3,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
anilshanbhag,jsermeno,2011-06-06,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,jsermeno,2011-06-06,3,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
jsermeno,rdad,2011-06-13,8,0,0,0,0.8,0.0,0.0,0.0,7,1,1.0,1.0
mrdoob,rdad,2011-06-13,4,0,0,0,0.8,0.0,0.0,0.0,6,1,1.0,1.0
jsermeno,mrdoob,2011-06-13,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,danbri,2011-11-21,5,1,0,1,0.42,0.08,0.0,0.08,7,1,0.6699999999999999,0.75
