name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
06wj,11zouzouzou,2018-07-16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
06wj,HypnosNova,2018-07-09,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,Mugen87,2017-05-29,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,Mugen87,2017-06-05,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
06wj,Mugen87,2018-07-09,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
06wj,Mugen87,2018-09-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
06wj,Mugen87,2018-10-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,TimJeskeSensape,2018-10-08,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,1,0,0,0,1,4
06wj,WestLangley,2018-04-23,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
06wj,WestLangley,2018-06-11,0.6,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,9
06wj,donmccurdy,2017-02-13,0.75,0.0,0.0,0.0,1.0,0.75,4,0,0,0,2,7
06wj,jcyuan,2018-07-09,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,linkenneth,2018-07-16,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,2,5
06wj,makc,2018-07-09,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,makc,2018-08-20,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
06wj,mrdoob,2017-02-13,0.415,0.0,0.0,0.0,1.0,1.0,15,0,0,0,2,11
06wj,mrdoob,2017-05-29,0.75,0.0,0.0,0.0,1.0,1.0,2,0,0,0,2,5
06wj,mrdoob,2017-06-05,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
06wj,mrdoob,2018-04-23,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
06wj,mrdoob,2018-06-11,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
06wj,mrdoob,2018-06-25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
06wj,mrdoob,2018-07-09,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,2,5
06wj,mrdoob,2018-09-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,pailhead,2017-02-13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
06wj,takahirox,2017-02-13,1.0,0.0,0.0,0.0,1.0,1.0,9,0,0,0,1,6
06wj,wwbbluesky,2018-09-03,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
06wj,xincept,2018-11-19,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0xor1,gero3,2013-01-21,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
0xor1,mrdoob,2013-01-21,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
1d2d3d,donmccurdy,2018-02-12,0.25,0.0,0.0,0.0,1.0,1.0,4,0,0,0,2,9
1d2d3d,donmccurdy,2018-02-19,0.75,0.0,0.0,0.0,1.0,0.75,3,0,0,0,1,5
1d2d3d,donmccurdy,2018-02-26,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
1d2d3d,donmccurdy,2018-03-05,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
1d2d3d,donmccurdy,2018-03-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
1d2d3d,mrdoob,2018-02-19,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
1d2d3d,mrdoob,2018-02-26,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1d2d3d,mrdoob,2018-03-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1d2d3d,takahirox,2018-02-12,0.5,0.0,0.0,0.0,1.0,0.5,4,0,0,0,2,7
34997593,mrdoob,2017-02-27,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
34997593,yomotsu,2017-02-27,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
39otrebla,Mugen87,2018-11-19,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
39otrebla,donmccurdy,2018-11-19,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
3xr,Mugen87,2018-12-17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
4zuko,Mugen87,2018-08-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
4zuko,mrdoob,2018-08-06,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
4zuko,takahirox,2018-08-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AUTOMAKHAN,jostschmithals,2017-03-06,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AUTOMAKHAN,mrdoob,2017-03-06,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AUTOMAKHAN,rkwright,2017-03-06,0.33,0.0,0.0,0.0,1.0,0.33,2,0,0,0,1,5
AVGP,Mugen87,2018-01-08,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AVGP,Mugen87,2018-01-15,0.5,0.0,0.0,0.5,0.0,0.5,2,0,0,2,1,5
AVGP,WestLangley,2018-01-15,0.33,0.0,0.0,0.33,0.0,0.6699999999999999,1,0,0,1,1,4
Aadjou,AVGP,2018-01-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Aadjou,Mugen87,2018-01-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
Aadjou,Mugen87,2018-01-15,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
Aadjou,Mugen87,2018-01-22,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Aadjou,WestLangley,2018-01-15,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
AaronMeyers,WestLangley,2014-11-03,0.6,0.0,0.0,0.0,1.0,0.8,6,0,0,0,1,7
AaronMeyers,dmtaub,2014-11-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronMeyers,mrdoob,2014-11-03,0.75,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,10
Adam4lexander,WestLangley,2018-03-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Adam4lexander,mrdoob,2018-02-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Age-of-the-Witch-Hunt,Mugen87,2018-06-18,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Age-of-the-Witch-Hunt,WestLangley,2018-06-18,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Aikyos,Mugen87,2017-10-30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Aikyos,kaisalmen,2017-10-30,0.0,0.33,0.0,0.0,1.0,0.6699999999999999,0,1,0,0,1,4
Alberto-Vivar,Hectate,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alberto-Vivar,WestLangley,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alberto-Vivar,looeee,2016-12-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alberto-Vivar,mrdoob,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,Mardonis,2017-04-24,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexanderPaule,jostschmithals,2017-03-27,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexanderPaule,kenrussell,2017-04-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AlexanderPaule,looeee,2017-03-27,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,looeee,2017-04-24,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,mrdoob,2017-04-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
