name,density,length
06wj_Mugen87,0.07042253521126761,5.0
06wj_mrdoob,0.09876543209876543,8.0
1d2d3d_donmccurdy,1.25,5.0
AndrewRayCode_mrdoob,0.060240963855421686,5.0
Astrak_WestLangley,0.05555555555555555,7.0
Astrak_mrdoob,0.07971014492753623,11.0
Benjamin-Dobell_mrdoob,0.16666666666666666,5.0
EerikKivistik_mrdoob,0.38461538461538464,5.0
FishOrBear_WestLangley,0.1076923076923077,7.0
GGAlanSmithee_mrdoob,0.22,11.0
Itee_Mugen87,0.22,11.0
Itee_WestLangley,0.08620689655172414,5.0
Itee_looeee,0.16326530612244897,8.0
Itee_mrdoob,0.1875,18.0
Kyle-Larson_mrdoob,0.35714285714285715,5.0
Makio64_mrdoob,0.03597122302158273,5.0
MasterJames_WestLangley,0.08333333333333333,10.0
MasterJames_mrdoob,0.1297709923664122,17.0
MiiBond_mrdoob,0.021367521367521368,5.0
Mugen87_RemusMar,0.14864864864864866,22.0
Mugen87_Usnul,0.2962962962962963,16.0
Mugen87_WestLangley,0.8360655737704918,102.0
Mugen87_oguzeroglu,0.3448275862068966,10.0
Mugen87_pailhead,0.28888888888888886,26.0
Mugen87_paulmasson,0.13513513513513514,5.0
Mugen87_sunag,0.09,9.0
Mugen87_takahirox,0.2782608695652174,32.0
Mugen87_tentone,0.25806451612903225,8.0
Mugen87_titansoftime,0.14705882352941177,5.0
Mugen87_yomboprime,0.06593406593406594,6.0
RemusMar_Usnul,0.03546099290780142,5.0
RemusMar_WestLangley,0.10843373493975904,18.0
Usnul_WestLangley,0.08187134502923976,14.0
WestLangley_Wilt,0.06299212598425197,8.0
WestLangley_XanderLuciano,0.08974358974358974,7.0
WestLangley_yomboprime,0.125,5.0
WestLangley_zz85,0.03819444444444445,11.0
aardgoose_Mugen87,0.1,9.0
aardgoose_WestLangley,0.11764705882352941,10.0
aardgoose_mrdoob,0.2,24.0
adrs2002_mrdoob,0.09523809523809523,8.0
alteredq_mrdoob,0.1509433962264151,16.0
andreasplesch_mrdoob,0.06060606060606061,6.0
arodic_Mugen87,0.25806451612903225,8.0
arodic_WestLangley,0.025454545454545455,7.0
arodic_mrdoob,0.06506849315068493,19.0
arturitu_mrdoob,0.12307692307692308,8.0
benaadams_WestLangley,0.040697674418604654,7.0
benaadams_mrdoob,0.043478260869565216,6.0
bhouston_GGAlanSmithee,0.11363636363636363,5.0
bhouston_MasterJames,0.1875,6.0
bhouston_Mugen87,0.08391608391608392,12.0
bhouston_WestLangley,0.2119205298013245,64.0
bhouston_crobi,0.0423728813559322,5.0
bhouston_donmccurdy,0.15555555555555556,14.0
bhouston_gero3,0.03875968992248062,10.0
bhouston_looeee,0.09302325581395349,8.0
bhouston_mrdoob,0.25878594249201275,81.0
bhouston_pailhead,0.09859154929577464,7.0
bhouston_sunag,0.2608695652173913,6.0
bhouston_takahirox,0.08108108108108109,6.0
bhouston_tschw,0.2,7.0
bhouston_zz85,0.03488372093023256,6.0
brianchirls_WestLangley,0.5,5.0
brianchirls_mrdoob,0.15151515151515152,10.0
cnspaha_Mugen87,0.4230769230769231,11.0
cnspaha_WestLangley,0.25,6.0
cnspaha_donmccurdy,0.20689655172413793,6.0
cnspaha_mrdoob,0.2653061224489796,13.0
crobi_mrdoob,0.061946902654867256,7.0
cx20_donmccurdy,0.10638297872340426,10.0
cx20_mrdoob,0.12280701754385964,7.0
cx20_takahirox,0.2127659574468085,10.0
danielribeiro_mrdoob,0.023696682464454975,5.0
danrossi_mrdoob,0.10185185185185185,11.0
daoshengmu_WestLangley,0.625,5.0
daoshengmu_mrdoob,0.035175879396984924,7.0
dmarcos_mrdoob,0.05263157894736842,9.0
donmccurdy_Itee,0.2777777777777778,5.0
donmccurdy_Mugen87,0.580952380952381,61.0
donmccurdy_RemusMar,0.1,10.0
donmccurdy_Usnul,0.2558139534883721,11.0
donmccurdy_WestLangley,0.49523809523809526,52.0
donmccurdy_emackey,0.07058823529411765,6.0
donmccurdy_fernandojsg,0.30434782608695654,14.0
donmccurdy_gkjohnson,0.17647058823529413,6.0
donmccurdy_haroldiedema,0.15384615384615385,6.0
donmccurdy_kaisalmen,0.16666666666666666,5.0
donmccurdy_looeee,0.4696969696969697,31.0
donmccurdy_makc,0.11475409836065574,7.0
donmccurdy_mrdoob,0.8018867924528302,85.0
donmccurdy_pailhead,0.12244897959183673,12.0
donmccurdy_takahirox,0.5754716981132075,61.0
donmccurdy_zellski,0.1875,6.0
dubejf_mrdoob,0.04878048780487805,6.0
erichlof_mrdoob,0.05,7.0
fernandojsg_Mugen87,0.11688311688311688,9.0
fernandojsg_WestLangley,0.11764705882352941,10.0
fernandojsg_mrdoob,0.19852941176470587,27.0
fernandojsg_takahirox,0.11428571428571428,8.0
gero3_WestLangley,0.0660377358490566,14.0
gero3_mrdoob,0.09703504043126684,36.0
gero3_zz85,0.03205128205128205,5.0
ghost_WestLangley,0.04591836734693878,9.0
ghost_mrdoob,0.04610951008645533,16.0
gkjohnson_Mugen87,0.24390243902439024,10.0
gkjohnson_WestLangley,0.18181818181818182,6.0
gkjohnson_mrdoob,0.23809523809523808,10.0
greggman_Mugen87,0.17857142857142858,5.0
greggman_WestLangley,0.03680981595092025,6.0
greggman_looeee,0.05154639175257732,5.0
greggman_mrdoob,0.033707865168539325,6.0
haroldiedema_Mugen87,0.25,11.0
haroldiedema_WestLangley,0.16216216216216217,6.0
