cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
5,1,2017-09-25,0,1,0,1,1.0,1.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
3,1,2017-10-09,0,1,0,0,1.0,0.5
2,1,2017-10-16,0,1,0,0,1.0,1.0
0,0,2017-10-23,0,0,0,0,0.0,0.0
6,2,2017-10-30,0,1,0,2,1.0,1.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
7,1,2017-11-13,2,2,0,1,0.835,0.75
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
9,6,2017-12-11,1,1,0,2,1.0,0.86
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
9,13,2018-03-26,0,1,0,1,1.0,1.0
