cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,4,2015-08-31,2,1,2,0,0.33,0.75
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
3,1,2015-10-19,0,1,0,0,0.5,1.0
7,8,2015-10-26,0,1,0,0,0.8,1.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
0,0,2016-01-18,0,0,0,0,0.0,0.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
20,21,2016-04-04,0,3,0,0,0.8866666666666667,1.0
10,12,2016-04-11,0,1,0,0,1.0,0.5
0,0,2016-04-18,0,0,0,0,0.0,0.0
21,44,2016-04-25,4,1,8,0,0.6699999999999999,0.73
3,0,2016-05-02,1,1,0,0,1.0,0.0
