cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,3,2017-12-11,0,1,0,0,1.0,1.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
2,1,2018-03-12,0,1,0,0,1.0,1.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
4,1,2018-04-09,0,1,0,1,1.0,1.0
2,0,2018-04-16,0,1,0,0,1.0,1.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
2,1,2018-05-07,0,1,1,0,0.0,0.0
3,1,2018-05-14,0,1,0,0,1.0,1.0
2,0,2018-05-21,1,1,0,0,0.0,1.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
10,5,2018-06-04,0,3,1,0,0.6666666666666666,0.5
2,0,2018-06-11,0,1,0,0,1.0,0.0
14,13,2018-06-18,7,2,6,3,0.785,0.8
0,0,2018-06-25,0,0,0,0,0.0,0.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
0,0,2018-07-09,0,0,0,0,0.0,0.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
0,0,2018-08-13,0,0,0,0,0.0,0.0
0,0,2018-08-20,0,0,0,0,0.0,0.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
0,0,2018-09-17,0,0,0,0,0.0,0.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
2,0,2018-10-08,0,1,0,0,1.0,0.0
