cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2017-10-02,0,1,0,0,1.0,1.0
4,2,2017-10-09,0,1,0,0,1.0,1.0
0,0,2017-10-16,0,0,0,0,0.0,0.0
8,2,2017-10-23,0,3,1,0,0.6666666666666666,0.5
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
4,2,2017-11-13,0,1,0,0,0.5,1.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
6,2,2017-11-27,0,2,0,0,0.5,1.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
23,15,2017-12-11,0,5,0,0,0.934,0.972
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
11,7,2018-01-01,1,4,0,0,0.75,1.0
8,2,2018-01-08,0,2,1,0,0.5,0.9
2,1,2018-01-15,0,1,0,0,1.0,1.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
12,4,2018-02-12,1,2,0,2,0.93,0.835
7,1,2018-02-19,0,3,0,0,0.6666666666666666,1.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
8,10,2018-03-05,0,2,1,0,0.5,0.5
10,10,2018-03-12,0,2,0,0,1.0,0.9
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
13,11,2018-04-16,0,4,0,1,1.0,1.0
3,0,2018-04-23,0,1,0,0,0.0,1.0
2,1,2018-04-30,0,1,0,0,1.0,1.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
2,1,2018-05-21,0,1,1,0,0.0,0.0
2,0,2018-05-28,0,1,0,0,0.0,1.0
0,0,2018-06-04,0,0,0,0,0.0,0.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
2,1,2018-07-09,0,1,1,0,0.0,0.0
4,2,2018-07-16,0,1,0,0,1.0,1.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
11,4,2018-07-30,2,4,0,1,1.0,0.625
4,3,2018-08-06,0,1,0,0,1.0,1.0
0,0,2018-08-13,0,0,0,0,0.0,0.0
3,0,2018-08-20,1,1,0,0,0.0,1.0
2,1,2018-08-27,0,1,0,0,1.0,1.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
0,0,2018-09-17,0,0,0,0,0.0,0.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
2,1,2018-10-08,0,1,0,0,1.0,1.0
8,3,2018-10-15,0,1,0,0,0.4300000000000001,1.0
9,5,2018-10-22,0,3,0,0,1.0,1.0
2,1,2018-10-29,0,1,0,0,1.0,1.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
0,0,2018-11-12,0,0,0,0,0.0,0.0
2,1,2018-11-19,0,1,0,0,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
2,1,2018-12-31,0,1,0,0,1.0,1.0
2,1,2019-01-07,0,1,0,0,1.0,1.0
