cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,4,2017-01-02,0,2,0,0,1.0,1.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
5,1,2017-01-16,2,1,0,0,1.0,0.33
0,0,2017-01-23,0,0,0,0,0.0,0.0
9,0,2017-01-30,3,1,0,0,1.0,0.62
16,12,2017-02-06,0,3,2,2,0.75,0.7799999999999999
15,6,2017-02-13,1,4,0,2,0.875,0.9175
2,1,2017-02-20,0,1,0,0,1.0,1.0
21,12,2017-02-27,1,4,0,3,1.0,0.875
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
4,4,2017-03-20,0,1,0,0,1.0,1.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
10,13,2017-04-17,0,2,0,1,1.0,1.0
2,0,2017-04-24,0,1,0,0,1.0,1.0
2,1,2017-05-01,0,1,1,0,0.0,0.0
18,13,2017-05-08,1,3,0,4,0.8333333333333334,1.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
4,1,2017-05-29,1,1,0,1,0.6699999999999999,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
17,23,2017-06-19,1,2,0,0,1.0,0.915
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
2,0,2017-08-07,0,1,0,0,1.0,1.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
3,1,2017-09-11,0,1,0,0,0.5,1.0
10,8,2017-09-18,5,1,2,2,0.6,0.8
0,0,2017-09-25,0,0,0,0,0.0,0.0
3,0,2017-10-02,0,1,0,0,1.0,1.0
7,2,2017-10-09,0,2,0,2,1.0,1.0
6,2,2017-10-16,2,2,0,2,1.0,0.75
23,17,2017-10-23,0,5,0,1,0.96,1.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
4,3,2017-11-06,0,1,0,0,1.0,1.0
10,7,2017-11-13,0,3,0,0,1.0,0.89
13,9,2017-11-20,0,3,0,1,1.0,1.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
11,4,2017-12-04,0,2,0,0,1.0,1.0
17,23,2017-12-11,0,3,0,1,1.0,1.0
26,43,2017-12-18,1,3,3,0,0.6766666666666666,0.5633333333333334
0,0,2017-12-25,0,0,0,0,0.0,0.0
14,5,2018-01-01,0,5,0,0,0.9,0.7
5,1,2018-01-08,0,1,0,0,1.0,0.75
7,3,2018-01-15,0,1,0,0,0.6699999999999999,1.0
12,9,2018-01-22,0,2,0,0,1.0,1.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
35,17,2018-02-12,5,7,2,0,0.9557142857142856,0.6428571428571429
23,26,2018-02-19,0,4,0,0,0.9175,0.9575
6,3,2018-02-26,0,1,0,0,1.0,0.8
17,18,2018-03-05,1,3,0,0,1.0,0.8333333333333334
12,11,2018-03-12,0,2,0,0,1.0,0.835
2,1,2018-03-19,0,1,0,0,1.0,1.0
2,0,2018-03-26,0,1,0,0,1.0,1.0
2,1,2018-04-02,0,1,0,0,1.0,1.0
2,0,2018-04-09,1,1,0,0,0.0,1.0
29,31,2018-04-16,1,5,0,0,1.0,0.7759999999999999
2,1,2018-04-23,0,1,0,0,1.0,1.0
6,4,2018-04-30,0,2,0,0,1.0,1.0
6,1,2018-05-07,0,2,0,0,0.5,1.0
19,17,2018-05-14,2,4,3,0,0.65,0.7075
0,0,2018-05-21,0,0,0,0,0.0,0.0
8,7,2018-05-28,1,2,1,6,0.5,0.75
0,0,2018-06-04,0,0,0,0,0.0,0.0
6,2,2018-06-11,0,1,0,0,1.0,0.6
14,6,2018-06-18,2,2,3,0,0.785,0.4
7,1,2018-06-25,0,3,0,0,1.0,0.3333333333333333
0,0,2018-07-02,0,0,0,0,0.0,0.0
8,5,2018-07-09,0,2,0,0,0.835,1.0
10,5,2018-07-16,0,3,0,1,1.0,0.8333333333333334
4,2,2018-07-23,0,2,0,0,1.0,1.0
9,1,2018-07-30,0,3,0,0,1.0,1.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
2,0,2018-08-13,0,1,0,0,0.0,1.0
2,1,2018-08-20,0,1,1,0,0.0,0.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
3,1,2018-09-17,0,1,0,0,1.0,0.5
17,11,2018-09-24,1,3,1,0,0.5833333333333334,0.9166666666666666
4,1,2018-10-01,0,2,0,0,1.0,1.0
0,0,2018-10-08,0,0,0,0,0.0,0.0
0,0,2018-10-15,0,0,0,0,0.0,0.0
0,0,2018-10-22,0,0,0,0,0.0,0.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
0,0,2018-11-12,0,0,0,0,0.0,0.0
2,0,2018-11-19,0,1,0,0,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
6,4,2019-01-07,0,1,0,2,1.0,1.0
2,1,2019-01-14,0,1,0,0,1.0,1.0
