cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2017-11-13,0,1,0,0,1.0,1.0
2,0,2017-11-20,1,1,0,0,0.0,1.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
2,1,2017-12-11,0,1,0,0,1.0,1.0
11,24,2017-12-18,0,1,0,0,1.0,0.86
0,0,2017-12-25,0,0,0,0,0.0,0.0
7,3,2018-01-01,0,2,0,0,1.0,1.0
2,1,2018-01-08,0,1,0,1,1.0,1.0
2,0,2018-01-15,1,1,0,0,0.0,1.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
4,0,2018-05-28,0,1,0,0,0.6699999999999999,1.0
0,0,2018-06-04,0,0,0,0,0.0,0.0
3,1,2018-06-11,0,1,1,0,0.5,0.0
6,3,2018-06-18,0,2,0,0,1.0,1.0
3,0,2018-06-25,0,1,0,0,1.0,1.0
