cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,8,2017-02-20,0,1,0,8,1.0,1.0
3,0,2017-02-27,1,1,0,0,1.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
2,1,2017-03-13,0,1,1,0,0.0,0.0
8,2,2017-03-20,0,2,0,0,0.75,0.5
8,3,2017-03-27,0,2,1,0,0.875,0.5
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
5,2,2017-05-01,1,1,0,1,1.0,0.6699999999999999
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
3,0,2017-06-26,1,1,0,0,0.5,1.0
