cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2016-01-25,1,1,0,0,1.0,0.5
0,0,2016-02-01,0,0,0,0,0.0,0.0
3,2,2016-02-08,0,1,0,0,1.0,1.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
3,2,2016-04-18,0,1,0,0,1.0,1.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
6,4,2016-09-05,0,1,0,0,0.5,1.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
5,2,2016-09-19,0,1,0,0,1.0,1.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
2,1,2016-10-17,0,1,0,1,1.0,1.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
4,2,2016-11-21,0,1,0,0,1.0,1.0
6,3,2016-11-28,1,1,0,0,0.5,1.0
6,4,2016-12-05,0,1,0,0,1.0,1.0
8,2,2016-12-12,0,2,2,0,0.0,0.665
0,0,2016-12-19,0,0,0,0,0.0,0.0
2,0,2016-12-26,0,1,0,0,1.0,1.0
2,1,2017-01-02,0,1,0,0,1.0,1.0
22,15,2017-01-09,2,5,0,4,0.98,0.8
4,2,2017-01-16,0,2,0,1,1.0,1.0
3,1,2017-01-23,0,1,0,1,1.0,1.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
3,0,2017-02-06,0,1,0,0,1.0,1.0
12,2,2017-02-13,0,3,0,0,1.0,1.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
5,0,2017-02-27,0,2,0,0,1.0,1.0
9,4,2017-03-06,0,2,0,3,1.0,1.0
19,16,2017-03-13,2,4,0,4,0.95,1.0
14,5,2017-03-20,1,4,0,2,1.0,0.9175
16,10,2017-03-27,0,4,0,1,1.0,1.0
11,6,2017-04-03,0,3,0,1,1.0,1.0
23,13,2017-04-10,0,7,0,0,1.0,1.0
19,10,2017-04-17,2,5,0,2,0.8,0.96
4,2,2017-04-24,0,1,0,0,1.0,1.0
26,7,2017-05-01,0,9,0,0,1.0,1.0
2,1,2017-05-08,0,1,0,0,1.0,1.0
16,6,2017-05-15,0,5,0,0,0.8,1.0
7,2,2017-05-22,0,3,0,0,0.8333333333333334,1.0
4,2,2017-05-29,0,2,0,0,1.0,1.0
13,4,2017-06-05,1,4,0,0,0.75,0.75
10,5,2017-06-12,0,3,0,0,1.0,0.6
12,5,2017-06-19,0,4,0,2,1.0,1.0
12,5,2017-06-26,0,4,0,3,1.0,1.0
11,3,2017-07-03,2,5,0,0,1.0,0.8
4,3,2017-07-10,0,1,0,0,1.0,1.0
6,2,2017-07-17,0,2,0,0,1.0,1.0
9,5,2017-07-24,0,3,0,0,1.0,1.0
21,10,2017-07-31,0,6,0,2,1.0,1.0
17,8,2017-08-07,2,3,0,2,1.0,0.8066666666666666
12,2,2017-08-14,1,6,0,0,1.0,0.8333333333333334
12,2,2017-08-21,0,5,0,0,1.0,1.0
40,18,2017-08-28,0,11,0,4,1.0,1.0
31,15,2017-09-04,2,11,0,1,0.9090909090909092,0.9090909090909092
43,22,2017-09-11,2,11,0,9,0.879090909090909,0.9918181818181818
17,8,2017-09-18,0,5,0,0,1.0,1.0
24,13,2017-09-25,0,6,0,7,1.0,1.0
35,20,2017-10-02,0,12,0,5,1.0,1.0
16,8,2017-10-09,0,6,0,1,1.0,1.0
28,15,2017-10-16,0,8,1,4,0.9375,0.95875
13,4,2017-10-23,0,4,0,1,1.0,1.0
33,16,2017-10-30,0,9,0,1,0.75,1.0
14,3,2017-11-06,0,6,0,2,0.8333333333333334,1.0
16,7,2017-11-13,1,5,0,3,1.0,0.934
13,2,2017-11-20,0,3,0,0,1.0,1.0
26,16,2017-11-27,1,6,0,2,0.7999999999999999,1.0
39,16,2017-12-04,1,10,1,3,0.9,0.963
41,24,2017-12-11,4,10,2,1,0.975,0.96
13,4,2017-12-18,0,5,0,3,0.6,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
11,7,2018-01-01,0,4,0,0,1.0,1.0
26,12,2018-01-08,2,6,0,0,0.9666666666666668,0.9033333333333332
15,4,2018-01-15,0,6,0,0,0.8333333333333334,1.0
18,7,2018-01-22,0,6,0,0,0.9166666666666666,0.8333333333333334
26,17,2018-01-29,0,7,0,2,1.0,1.0
28,14,2018-02-05,0,9,0,5,1.0,1.0
19,6,2018-02-12,1,5,1,0,0.95,0.7
26,6,2018-02-19,0,9,0,3,0.8888888888888888,1.0
35,16,2018-02-26,1,12,0,3,0.9725,0.875
25,3,2018-03-05,1,9,0,1,0.8888888888888888,0.83
29,13,2018-03-12,1,9,1,0,0.8888888888888888,0.7966666666666666
22,4,2018-03-19,1,7,0,0,0.8571428571428571,0.7142857142857143
31,14,2018-03-26,0,10,0,1,1.0,0.9
19,6,2018-04-02,0,6,0,1,0.8333333333333334,1.0
29,5,2018-04-09,1,10,0,1,0.95,0.757
0,0,2018-04-16,0,0,0,0,0.0,0.0
5,2,2018-04-23,0,2,0,0,1.0,1.0
17,7,2018-04-30,1,6,0,2,1.0,0.9583333333333334
14,26,2018-05-07,2,1,0,2,1.0,0.88
12,3,2018-05-14,0,4,0,0,1.0,0.9175
22,14,2018-05-21,0,6,0,0,1.0,1.0
6,2,2018-05-28,0,2,0,0,0.835,1.0
5,1,2018-06-04,0,2,0,1,0.5,1.0
32,12,2018-06-11,0,9,0,1,1.0,1.0
17,15,2018-06-18,0,4,0,0,0.75,1.0
16,6,2018-06-25,0,5,0,1,1.0,1.0
29,7,2018-07-02,1,6,0,2,1.0,0.8333333333333334
19,11,2018-07-09,0,6,0,0,1.0,0.945
4,1,2018-07-16,1,1,0,0,1.0,0.5
23,7,2018-07-23,0,7,0,4,1.0,1.0
19,8,2018-07-30,0,5,0,3,1.0,1.0
33,13,2018-08-06,4,7,0,5,1.0,0.7857142857142857
19,7,2018-08-13,0,4,0,1,1.0,0.9575
33,22,2018-08-20,2,8,2,0,0.975,0.9375
15,7,2018-08-27,0,5,0,0,1.0,1.0
33,24,2018-09-03,0,9,0,0,0.9077777777777778,1.0
6,1,2018-09-10,0,3,0,0,1.0,1.0
4,2,2018-09-17,0,2,0,1,1.0,1.0
9,2,2018-09-24,0,4,0,0,1.0,1.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
20,9,2018-10-08,0,7,0,1,1.0,0.9285714285714286
8,5,2018-10-15,0,3,0,0,1.0,1.0
21,4,2018-10-22,2,8,0,0,1.0,0.875
13,4,2018-10-29,0,6,0,1,1.0,1.0
3,2,2018-11-05,0,1,0,0,1.0,1.0
16,4,2018-11-12,4,5,0,1,1.0,0.634
22,9,2018-11-19,0,7,0,0,0.8571428571428571,0.9528571428571428
27,22,2018-11-26,0,7,0,1,0.9285714285714286,1.0
9,6,2018-12-03,0,2,0,0,1.0,0.915
16,6,2018-12-10,1,5,0,1,1.0,0.95
22,10,2018-12-17,1,8,0,2,1.0,0.875
10,4,2018-12-24,0,3,0,0,1.0,1.0
11,6,2018-12-31,0,4,0,2,1.0,1.0
21,5,2019-01-07,2,7,0,1,0.9285714285714286,0.8571428571428571
