cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,2,2016-05-30,1,1,0,0,0.5,1.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
2,1,2016-06-20,0,1,0,0,1.0,1.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
2,0,2017-01-02,0,1,0,0,1.0,1.0
7,2,2017-01-09,0,2,0,1,1.0,0.75
10,7,2017-01-16,0,3,0,0,1.0,1.0
3,2,2017-01-23,0,1,0,0,1.0,1.0
15,16,2017-01-30,0,3,0,1,1.0,0.8733333333333334
22,25,2017-02-06,6,3,0,0,1.0,0.4233333333333333
24,21,2017-02-13,3,5,0,4,0.9,0.934
2,0,2017-02-20,0,1,0,0,1.0,1.0
30,25,2017-02-27,1,6,0,10,1.0,0.75
0,0,2017-03-06,0,0,0,0,0.0,0.0
7,5,2017-03-13,0,1,0,0,0.5,1.0
5,4,2017-03-20,0,1,0,0,1.0,1.0
8,6,2017-03-27,2,1,0,0,1.0,0.6699999999999999
0,0,2017-04-03,0,0,0,0,0.0,0.0
7,6,2017-04-10,0,1,0,0,1.0,1.0
13,4,2017-04-17,0,4,1,2,0.75,0.9175
0,0,2017-04-24,0,0,0,0,0.0,0.0
15,12,2017-05-01,0,4,0,0,0.75,0.75
28,10,2017-05-08,0,8,0,6,0.875,1.0
4,3,2017-05-15,0,1,0,0,1.0,1.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
4,1,2017-05-29,0,2,0,0,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
22,14,2017-06-12,1,4,1,1,0.965,0.835
13,18,2017-06-19,0,2,0,0,1.0,0.915
9,4,2017-06-26,1,2,0,0,1.0,0.5
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
