name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
kapilreddy,mrdoob,20101,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
mrdoob,pyrotechnick,20101,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
kapilreddy,pyrotechnick,20101,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
kapilreddy,mrdoob,20110,24,0,0,0,1.0,0.0,0.0,0.0,10,1,1.0,1.0
Mugen87,shravanimmy,20181,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
gero3,mrdoob,20101,16,0,0,0,0.67,0.0,0.0,0.0,10,1,1.0,0.83
alteredq,mrdoob,20101,1,1,0,1,0.17,0.17,0.0,0.17,7,1,0.0,0.83
fabricasapiens,mrdoob,20101,9,1,1,0,0.5,0.06,0.06,0.0,9,1,1.0,0.83
mrdoob,pyrotechnick,20101,54,2,2,0,0.6,0.02,0.02,0.0,21,1,0.83,1.0
gero3,pyrotechnick,20101,52,0,0,0,0.87,0.0,0.0,0.0,19,1,1.0,1.0
alteredq,pyrotechnick,20101,0,2,0,0,0.0,0.13,0.0,0.0,16,1,0.0,1.0
fabricasapiens,pyrotechnick,20101,28,0,2,0,0.62,0.0,0.04,0.0,18,1,1.0,1.0
alteredq,gero3,20101,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,1.0
fabricasapiens,gero3,20101,8,0,0,0,0.67,0.0,0.0,0.0,7,1,1.0,1.0
alteredq,fabricasapiens,20101,0,1,0,0,0.0,0.33,0.0,0.0,4,1,0.0,1.0
fabricasapiens,WaZz2,20110,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
mrdoob,rdad,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
martindsq,mrdoob,20131,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
agnivade,mrdoob,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Jairolaya12x,mrdoob,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
agnivade,Jairolaya12x,20160,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,anilshanbhag,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
anilshanbhag,mrdoob,20110,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
jsermeno,mrdoob,20110,20,0,0,0,1.0,0.0,0.0,0.0,9,1,1.0,1.0
alteredq,mrdoob,20110,4,0,0,0,0.5,0.0,0.0,0.0,6,1,0.5,1.0
anilshanbhag,jsermeno,20110,5,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
alteredq,jsermeno,20110,5,0,0,0,0.5,0.0,0.0,0.0,7,1,0.5,1.0
anilshanbhag,rdad,20110,4,0,0,0,0.8,0.0,0.0,0.0,6,1,1.0,1.0
mrdoob,rdad,20110,16,0,0,0,0.8,0.0,0.0,0.0,9,1,1.0,1.0
jsermeno,rdad,20110,20,0,0,0,0.8,0.0,0.0,0.0,10,1,1.0,1.0
alteredq,rdad,20110,4,1,0,0,0.4,0.1,0.0,0.0,7,1,0.5,1.0
alteredq,danbri,20111,11,4,0,2,0.37,0.13,0.0,0.07,11,1,0.6,0.83
alteredq,oosmoxiecode,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
bagg,mrdoob,20111,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
inear,mrdoob,20111,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
bagg,inear,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,remoe,20111,6,0,0,2,0.5,0.0,0.0,0.17,8,1,0.5,0.6699999999999999
mrdoob,remoe,20111,14,0,0,2,0.58,0.0,0.0,0.08,10,1,0.75,0.6699999999999999
alteredq,mrdoob,20111,4,0,0,1,0.5,0.0,0.0,0.12,6,1,0.5,0.75
mrdoob,yuriy-kornieiev,20120,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
remoe,yuriy-kornieiev,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
mrdoob,remoe,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
bhouston,crobi,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
andrevenancio,crobi,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
andrevenancio,bhouston,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
crobi,taoeffect,20131,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
bhouston,formigone,20140,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
alteredq,zz85,20111,11,16,8,0,0.25,0.36,0.18,0.0,15,1,0.5,1.0
mrdoob,zz85,20111,3,0,0,0,0.27,0.0,0.0,0.0,12,1,1.0,1.0
alteredq,mrdoob,20111,1,0,0,0,0.25,0.0,0.0,0.0,5,1,0.5,1.0
mrdoob,savalin,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
merbin2012,mrdoob,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
merbin2012,WestLangley,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,WestLangley,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
KrisKringle,mrdoob,20111,2,0,1,0,0.5,0.0,0.25,0.0,4,1,1.0,1.0
mrdoob,poudro,20111,5,0,3,0,0.5,0.0,0.3,0.0,7,1,1.0,1.0
KrisKringle,poudro,20111,5,0,3,0,0.5,0.0,0.3,0.0,7,1,1.0,1.0
gengshenghong,mrdoob,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,ghost,20111,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,0.6699999999999999
Anima-t3d,draivin,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0.6699999999999999,1.0
draivin,mrdoob,20111,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Anima-t3d,mrdoob,20111,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.6699999999999999,1.0
Jakobud,mrdoob,20111,21,5,1,4,0.4,0.1,0.02,0.08,17,1,0.75,0.69
gero3,mrdoob,20111,8,0,0,0,0.62,0.0,0.0,0.0,14,1,1.0,0.69
alteredq,mrdoob,20111,60,1,0,4,0.58,0.01,0.0,0.04,21,1,0.88,0.69
gero3,Jakobud,20111,2,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,0.75
alteredq,Jakobud,20111,15,1,0,1,0.47,0.03,0.0,0.03,12,1,0.88,0.75
alteredq,gero3,20111,7,0,0,0,0.88,0.0,0.0,0.0,9,1,0.88,1.0
mrdoob,zz85,20111,17,4,1,0,0.44,0.1,0.03,0.0,16,1,0.69,1.0
Jakobud,zz85,20111,5,1,1,0,0.42,0.08,0.08,0.0,7,1,0.75,1.0
gero3,zz85,20111,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,zz85,20111,14,1,0,0,0.58,0.04,0.0,0.0,11,1,0.88,1.0
mrdoob,ralfnap,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,0.0
mrdoob,romsson,20111,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
ralfnap,romsson,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
mrdoob,towerrounder,20111,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
ralfnap,towerrounder,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
romsson,towerrounder,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,RKonx,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
disolovyov,mrdoob,20111,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
