name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
06wj,11zouzouzou,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
06wj,HypnosNova,20181,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,2,4
06wj,Mugen87,20170,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
06wj,Mugen87,20181,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,3,9
06wj,TimJeskeSensape,20181,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,1,0,0,0,1,4
06wj,WestLangley,20180,0.55,0.0,0.25,0.0,1.0,1.0,16,0,1,0,2,13
06wj,donmccurdy,20170,0.5,0.0,0.0,0.0,1.0,0.75,4,0,0,0,2,8
06wj,donmccurdy,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,jcyuan,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
06wj,linkenneth,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,2,7
06wj,makc,20181,1.0,0.0,0.0,0.0,1.0,1.0,9,0,0,0,2,9
06wj,mrdoob,20170,0.5825,0.0,0.0,0.0,1.0,1.0,19,0,0,0,4,19
06wj,mrdoob,20180,0.75,0.0,0.5,0.0,1.0,1.0,6,0,1,0,2,9
06wj,mrdoob,20181,0.4,0.0,0.0,0.0,1.0,1.0,3,0,0,0,5,11
06wj,msimpson,20181,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
06wj,pailhead,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
06wj,takahirox,20170,1.0,0.0,0.0,0.0,1.0,1.0,9,0,0,0,1,6
06wj,wwbbluesky,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
06wj,xincept,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
0xor1,gero3,20130,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
0xor1,mrdoob,20130,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
11zouzouzou,HypnosNova,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
11zouzouzou,mrdoob,20181,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
1d2d3d,donmccurdy,20180,0.29,0.015,0.01,0.005,0.9550000000000001,0.96,76,4,3,1,2,26
1d2d3d,mrdoob,20180,0.45,0.05,0.05,0.0,0.91,1.0,20,2,2,0,1,15
1d2d3d,takahirox,20180,0.41,0.0,0.0,0.0,0.9550000000000001,0.5,9,0,0,0,2,14
34997593,mrdoob,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
34997593,yomotsu,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
39otrebla,Mugen87,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
39otrebla,donmccurdy,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
3xr,Mugen87,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
4zuko,Mugen87,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
4zuko,mrdoob,20181,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
4zuko,takahirox,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AUTOMAKHAN,jostschmithals,20170,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AUTOMAKHAN,mrdoob,20170,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AUTOMAKHAN,rkwright,20170,0.2,0.0,0.0,0.0,1.0,0.2,2,0,0,0,1,7
AVGP,Mugen87,20180,0.75,0.0,0.0,0.25,0.5,0.75,8,0,0,2,2,12
AVGP,WestLangley,20180,0.41500000000000004,0.0,0.0,0.165,0.5,0.585,2,0,0,1,2,7
Aadjou,AVGP,20180,0.33,0.0,0.0,0.0,0.6699999999999999,1.0,1,0,0,0,1,4
Aadjou,Mugen87,20180,0.33,0.0,0.0,0.0,0.6699999999999999,1.0,6,0,0,0,1,9
Aadjou,WestLangley,20180,0.33,0.17,0.0,0.17,0.6699999999999999,0.5,2,1,0,1,1,5
AaronMeyers,WestLangley,20141,0.6,0.0,0.0,0.0,1.0,0.8,6,0,0,0,1,7
AaronMeyers,dmtaub,20141,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronMeyers,mrdoob,20141,0.75,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,10
Adam4lexander,WestLangley,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Adam4lexander,mrdoob,20180,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Age-of-the-Witch-Hunt,Mugen87,20180,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Age-of-the-Witch-Hunt,WestLangley,20180,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Aikyos,Mugen87,20171,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,1,3
Aikyos,kaisalmen,20171,0.12,0.12,0.0,0.12,0.5,0.75,1,1,0,1,1,6
Alberto-Vivar,Hectate,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alberto-Vivar,WestLangley,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
