name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AndrewRayCode,caseygrun,20151,0.6699999999999999,0.5,3,0,0,1,1,5
AndrewRayCode,mrdoob,20151,0.6699999999999999,1.0,2,0,0,0,1,4
Astrak,MasterJames,20151,0.0,1.0,0,0,0,0,1,2
Astrak,RemusMar,20151,0.6699999999999999,1.0,8,0,0,0,1,7
Astrak,WestLangley,20151,0.0,1.0,0,0,0,0,1,2
Astrak,mrdoob,20151,0.39,0.6666666666666666,1,1,0,1,3,9
Crisium,GGAlanSmithee,20151,0.83,1.0,3,0,0,0,1,7
Crisium,WestLangley,20151,0.83,0.6699999999999999,7,2,0,1,1,9
Crisium,mrdoob,20151,0.83,1.0,20,1,2,0,1,13
DanielAChandler,dhritzkiv,20151,1.0,1.0,1,0,0,0,1,2
Druidhawk,mrdoob,20151,0.0,0.0,1,0,0,1,1,2
Druidhawk,princemio,20151,0.0,1.0,0,0,0,0,1,2
Druidhawk,tschw,20151,0.0,1.0,0,0,0,0,1,2
GGAlanSmithee,MusicalCreeper01,20151,1.0,1.0,0,0,0,0,1,2
GGAlanSmithee,WestLangley,20151,1.0,0.8066666666666666,5,1,2,0,3,12
GGAlanSmithee,kintel,20151,1.0,1.0,2,0,2,0,1,5
GGAlanSmithee,mrdoob,20151,1.0,0.9166666666666666,20,0,6,0,6,29
GGAlanSmithee,nn4e,20151,1.0,1.0,0,0,0,0,1,2
GGAlanSmithee,trusktr,20151,1.0,1.0,2,0,0,0,1,4
Immugio,WestLangley,20151,1.0,1.0,0,0,0,0,1,2
Javingka,MasterJames,20151,1.0,1.0,1,0,0,0,1,4
Javingka,WestLangley,20151,1.0,0.75,3,2,0,0,1,7
Javingka,mrdoob,20151,1.0,1.0,7,0,4,0,1,8
Kesshi,WestLangley,20151,1.0,1.0,12,0,0,0,1,7
Kesshi,mrdoob,20151,1.0,1.0,9,0,0,0,1,6
MallorLoU,mrdoob,20151,1.0,1.0,0,0,0,0,1,2
MasterJames,RemusMar,20151,1.0,0.6,3,0,0,0,1,6
MasterJames,StarPlugins,20151,1.0,0.6,3,2,0,0,1,7
MasterJames,Usnul,20151,1.0,0.6,3,0,0,0,1,6
MasterJames,WestLangley,20151,1.0,0.9583333333333334,12,0,0,0,6,25
MasterJames,mrdoob,20151,1.0,0.9766666666666666,32,0,1,0,6,41
MasterJames,njam,20151,1.0,0.6,6,0,0,0,1,8
MasterJames,shshaw,20151,1.0,1.0,1,0,0,0,1,2
MasterJames,tschw,20151,1.0,0.75,13,0,0,0,2,17
NicolasRannou,WestLangley,20151,1.0,0.83,0,2,0,0,1,8
NicolasRannou,tforgione,20151,1.0,1.0,2,0,2,0,1,5
PaulSos,satori99,20151,1.0,1.0,2,0,0,0,1,4
RemusMar,Usnul,20151,0.6,0.6,13,0,0,4,1,10
RemusMar,WestLangley,20151,0.8,0.875,12,0,0,0,2,13
RemusMar,simonThiele,20151,0.5,0.0,2,0,0,2,1,5
RemusMar,tiagopadua,20151,0.5,1.0,2,0,0,0,1,5
RemusMar,titansoftime,20151,0.5,0.6699999999999999,4,2,0,2,1,7
RemusMar,tormozok,20151,1.0,0.83,5,1,0,0,1,8
RemusMar,tschw,20151,0.6,1.0,3,0,0,0,1,6
RemusMar,zz85,20151,0.5,1.0,2,0,0,0,1,5
StarPlugins,WestLangley,20151,0.6,1.0,6,0,0,0,1,7
Usnul,WestLangley,20151,0.6,1.0,9,0,0,0,1,8
WestLangley,ZifRoot,20151,1.0,1.0,3,0,0,0,1,4
WestLangley,zz85,20151,1.0,0.5,3,0,0,0,1,5
antont,manthrax,20151,0.6699999999999999,1.0,4,0,0,0,1,7
antont,mrdoob,20151,0.6699999999999999,1.0,1,1,1,0,1,4
antont,repsac,20151,0.6699999999999999,0.0,1,1,0,1,1,4
arcanis,robhawkes,20151,0.0,1.0,0,0,0,0,1,2
arodic,Astrak,20151,1.0,0.6699999999999999,2,0,0,0,1,4
arodic,RemusMar,20151,1.0,1.0,4,0,0,0,1,5
arodic,mrdoob,20151,1.0,1.0,1,0,0,0,3,6
arodic,rfm1201,20151,1.0,1.0,1,0,0,0,1,2
arose,WestLangley,20151,1.0,0.5,1,0,0,0,1,3
arose,bhouston,20151,1.0,0.5,1,0,0,0,1,3
arose,ikerr,20151,1.0,1.0,0,0,0,0,1,2
arose,mrdoob,20151,1.0,1.0,3,0,0,0,1,4
arturitu,PaulSos,20151,1.0,1.0,4,0,2,0,1,6
arturitu,mrdoob,20151,1.0,1.0,8,0,2,0,1,10
arturitu,satori99,20151,1.0,1.0,1,0,0,0,1,4
beiller,manthrax,20151,0.8,1.0,3,0,0,0,1,6
beiller,please-wait,20151,0.8,0.0,1,1,0,1,1,6
beiller,repsac,20151,0.8,0.0,1,1,0,1,1,6
beiller,titansoftime,20151,0.8,1.0,6,0,0,0,1,7
benaadams,GGAlanSmithee,20151,1.0,1.0,2,0,0,0,1,4
benaadams,SET001,20151,1.0,1.0,1,0,0,0,1,2
benaadams,WestLangley,20151,1.0,1.0,0,0,0,0,1,2
benaadams,bhouston,20151,1.0,1.0,3,0,0,0,1,4
benaadams,gero3,20151,1.0,1.0,2,0,1,0,1,4
benaadams,mangust404,20151,1.0,1.0,6,0,0,0,1,5
benaadams,mrdoob,20151,1.0,1.0,6,0,2,0,3,14
benaadams,titansoftime,20151,1.0,1.0,2,0,0,0,1,4
benaadams,trusktr,20151,1.0,1.0,1,0,0,0,1,2
benforged,f4zop,20151,0.0,1.0,0,0,0,0,1,4
benforged,kenrussell,20151,0.0,0.75,1,0,0,1,1,5
benforged,mrdoob,20151,0.0,1.0,0,0,0,0,1,3
benforged,tschw,20151,0.0,1.0,0,0,0,0,1,2
bhouston,GGAlanSmithee,20151,0.9175,1.0,10,0,2,0,4,24
bhouston,MasterJames,20151,0.54,1.0,4,2,1,0,2,15
bhouston,Stracx,20151,0.0,1.0,0,0,0,0,1,2
bhouston,Usnul,20151,0.6699999999999999,1.0,2,0,0,0,1,4
bhouston,WestLangley,20151,0.6253846153846153,0.8461538461538461,67,6,6,2,13,82
bhouston,bsergean,20151,1.0,0.8,8,0,0,0,1,7
bhouston,charliestirk,20151,0.6699999999999999,1.0,2,1,0,0,1,5
bhouston,danielribeiro,20151,1.0,1.0,1,0,0,0,1,2
bhouston,dubejf,20151,0.0,1.0,0,0,0,0,1,2
bhouston,fernandojsg,20151,1.0,0.6699999999999999,2,0,0,0,1,4
bhouston,gero3,20151,1.0,1.0,28,0,10,0,1,16
bhouston,greggman,20151,0.0,0.0,1,0,0,1,1,2
bhouston,ikerr,20151,0.5,1.0,0,1,0,0,1,3
bhouston,kintel,20151,1.0,1.0,16,0,4,0,1,12
bhouston,kylegmaxwell,20151,0.6699999999999999,1.0,0,1,0,0,1,4
bhouston,linkedz,20151,1.0,1.0,1,0,0,0,1,2
bhouston,mattdesl,20151,1.0,1.0,1,0,0,0,1,2
bhouston,mrdoob,20151,0.693125,0.916875,83,8,10,3,16,110
bhouston,njam,20151,0.33,0.6,6,2,0,4,1,8
bhouston,nn4e,20151,1.0,1.0,1,0,0,0,1,2
bhouston,rimmartin,20151,0.6699999999999999,0.4,5,1,0,3,1,8
bhouston,threejsworker,20151,1.0,1.0,1,0,0,0,1,2
bhouston,trusktr,20151,1.0,1.0,3,0,0,0,1,4
bhouston,tschw,20151,0.52,0.75,31,4,0,12,2,25
bhouston,whatisor,20151,1.0,1.0,2,0,0,0,1,4
bsergean,whatisor,20151,0.8,1.0,4,1,0,0,1,7
caseygrun,mrdoob,20151,0.5,1.0,1,0,0,0,1,3
charliestirk,Usnul,20151,1.0,1.0,1,0,0,0,1,3
charliestirk,kylegmaxwell,20151,1.0,1.0,1,0,1,0,1,3
charliestirk,mrdoob,20151,1.0,0.5,1,1,0,0,1,4
charliestirk,rimmartin,20151,1.0,0.4,2,3,1,0,1,7
chilipeppr,RemusMar,20151,1.0,0.5,4,0,0,0,1,6
chilipeppr,jostschmithals,20151,1.0,0.0,0,0,0,0,1,3
chilipeppr,makc,20151,1.0,1.0,4,0,0,0,1,4
chilipeppr,mrdoob,20151,1.0,0.7,12,0,0,0,1,12
chilipeppr,simonThiele,20151,1.0,0.0,0,0,0,0,1,3
chilipeppr,tiagopadua,20151,1.0,1.0,2,0,0,0,1,3
chilipeppr,titansoftime,20151,1.0,0.6699999999999999,2,0,0,0,1,5
chilipeppr,zz85,20151,1.0,1.0,2,0,0,0,1,3
chrmi,eriadel,20151,0.0,1.0,0,1,0,0,1,2
chrmi,mrdoob,20151,0.0,0.5,1,0,0,1,1,3
danielribeiro,GGAlanSmithee,20151,1.0,1.0,0,0,0,0,1,2
danielribeiro,fernandojsg,20151,1.0,0.6699999999999999,2,0,0,0,1,4
danielribeiro,mrdoob,20151,1.0,1.0,2,0,0,0,1,3
danielribeiro,nn4e,20151,1.0,1.0,1,0,0,0,1,2
dhritzkiv,WestLangley,20151,1.0,1.0,16,0,0,0,1,8
dimarudol,NicolasRannou,20151,1.0,1.0,0,0,0,0,1,3
dimarudol,WestLangley,20151,1.0,0.83,5,0,0,0,1,7
dimarudol,mrdoob,20151,1.0,1.0,4,0,0,0,1,6
dimarudol,tforgione,20151,1.0,1.0,2,0,0,0,1,4
dmarcos,WestLangley,20151,0.5,1.0,1,0,0,0,1,3
dmarcos,leitzler,20151,0.5,1.0,1,0,0,0,1,3
dmarcos,makc,20151,0.5,1.0,2,0,0,0,1,4
dmarcos,mrdoob,20151,0.5,1.0,2,1,0,0,1,5
dolanmiu,mrdoob,20151,1.0,1.0,8,0,0,0,1,7
dubejf,RemusMar,20151,1.0,1.0,1,0,0,0,1,3
dubejf,WestLangley,20151,0.5,1.0,1,0,0,0,2,7
dubejf,ZifRoot,20151,0.0,1.0,0,0,0,0,1,2
dubejf,gero3,20151,1.0,1.0,1,0,0,0,1,3
dubejf,greggman,20151,1.0,0.0,0,0,0,0,1,2
dubejf,makc,20151,0.5,1.0,3,0,0,0,2,7
dubejf,mrdoob,20151,0.75,0.83375,11,0,1,1,8,25
dubejf,tormozok,20151,1.0,0.83,5,0,0,0,1,7
edboxin,WestLangley,20151,1.0,1.0,0,0,0,0,1,2
elephantatwork,mrdoob,20151,1.0,1.0,1,0,0,0,1,2
eriadel,mrdoob,20151,1.0,0.5,0,1,0,0,1,3
erichlof,krusk,20151,1.0,1.0,4,0,4,0,1,4
f4zop,kenrussell,20151,1.0,0.75,9,0,0,0,1,7
f4zop,mrdoob,20151,1.0,1.0,6,0,0,0,1,5
f4zop,tschw,20151,1.0,1.0,3,0,0,0,1,4
felixpalmer,kintel,20151,1.0,1.0,6,0,0,0,1,6
felixpalmer,mrdoob,20151,1.0,1.0,2,0,0,0,1,4
fernandojsg,GGAlanSmithee,20151,0.6699999999999999,1.0,0,1,0,0,1,4
fernandojsg,mrdoob,20151,0.6699999999999999,1.0,4,0,0,0,1,5
fernandojsg,nn4e,20151,0.6699999999999999,1.0,2,0,0,0,1,4
fraguada,mrdoob,20151,1.0,1.0,3,0,0,0,1,4
fraguada,wpk-,20151,1.0,1.0,3,0,0,0,1,4
gero3,GGAlanSmithee,20151,1.0,1.0,5,0,5,0,1,9
gero3,RemusMar,20151,0.75,1.0,3,0,0,0,1,5
gero3,WestLangley,20151,0.9159999999999999,0.8,46,5,10,1,5,40
gero3,kintel,20151,1.0,1.0,16,0,10,0,1,12
gero3,mrdoob,20151,0.94,0.9285714285714286,82,0,22,2,7,55
gero3,threejsworker,20151,0.83,1.0,5,0,0,0,1,7
ghost,mrdoob,20151,1.0,1.0,2,0,0,0,1,3
gravi2,thejmazz,20151,1.0,0.0,0,1,0,0,1,2
greggman,WestLangley,20151,0.0,1.0,0,1,0,0,1,3
greggman,mrdoob,20151,0.0,1.0,0,0,0,0,1,2
gregtatum,pieteradejong,20151,1.0,1.0,12,0,3,0,1,10
hadinehme,WestLangley,20151,1.0,1.0,1,0,0,0,1,2
hekto,mrdoob,20151,1.0,0.0,0,0,0,0,1,2
hemantchhabra,WestLangley,20151,1.0,1.0,0,0,0,0,1,3
hxnan,WestLangley,20151,1.0,1.0,4,0,0,0,1,6
hxnan,mrdoob,20151,1.0,1.0,16,0,0,0,1,9
hxnan,tiansijie,20151,1.0,1.0,4,0,0,0,1,6
hxnan,tschw,20151,1.0,1.0,9,0,1,0,1,8
ikerr,WestLangley,20151,1.0,0.5,0,1,0,0,1,3
ikerr,mrdoob,20151,1.0,1.0,0,0,0,0,1,4
jhelf,WestLangley,20151,1.0,1.0,0,0,0,0,1,2
jhelf,leitzler,20151,1.0,1.0,0,0,0,0,1,2
jhelf,mrdoob,20151,1.0,1.0,0,0,0,0,1,3
joseBarreto,mrdoob,20151,1.0,1.0,2,0,0,0,1,3
joseBarreto,raphaelcunha,20151,1.0,1.0,2,0,0,0,1,3
josephrocca,mrdoob,20151,0.0,1.0,0,0,0,0,1,2
jostschmithals,RemusMar,20151,0.0,0.5,2,0,0,2,1,5
jostschmithals,makc,20151,0.0,1.0,0,0,0,0,1,3
jostschmithals,mrdoob,20151,0.0,0.7,3,1,0,3,1,11
jostschmithals,simonThiele,20151,0.0,0.0,1,0,0,1,1,2
jostschmithals,tiagopadua,20151,0.0,1.0,0,0,0,0,1,2
jostschmithals,titansoftime,20151,0.0,0.6699999999999999,1,1,0,1,1,4
jostschmithals,zz85,20151,0.0,1.0,0,0,0,0,1,2
kenrussell,MasterJames,20151,1.0,1.0,1,0,1,0,1,3
kenrussell,StarPlugins,20151,1.0,0.6,0,2,0,0,1,6
kenrussell,WestLangley,20151,1.0,1.0,0,0,0,0,1,3
kenrussell,mrdoob,20151,0.875,1.0,7,0,1,0,2,10
kenrussell,tschw,20151,0.75,1.0,3,0,0,0,1,5
kintel,WestLangley,20151,1.0,0.75,6,2,4,0,1,8
kintel,mrdoob,20151,1.0,1.0,12,0,9,0,2,14
kishalmi,mrdoob,20151,1.0,1.0,0,0,0,0,1,4
kkananen,mrdoob,20151,1.0,1.0,6,0,0,0,1,6
kylegmaxwell,Usnul,20151,1.0,1.0,0,0,0,0,1,2
kylegmaxwell,mrdoob,20151,1.0,0.5,0,1,0,0,1,3
kylegmaxwell,rimmartin,20151,1.0,0.4,1,3,1,0,1,6
leitzler,WestLangley,20151,0.8333333333333334,1.0,4,0,0,0,3,8
leitzler,makc,20151,0.8333333333333334,1.0,9,1,0,0,3,14
leitzler,mrdoob,20151,0.875,1.0,12,1,0,0,4,19
leitzler,simonThiele,20151,0.5,1.0,4,2,0,0,1,8
