period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-07-01,2,1,1.0,0.0,1.0,1,1,1.0,1.0,0,0.0,2,1.0,0.0,0.0,0.0,0.5,0.0
2011-07-01,6,7,2.333,1.374,2.4286,1,2,2.0,0.4667,0.4,0.0277,6,0.6792,0.1333,0.0764,0.4777777777777777,1.17,0.32
2012-01-01,7,5,1.429,0.728,1.4,2,3,2.0,0.2381,0,0.4592,7,0.3249,0.0762,0.0158,0.0,0.71,0.25462962962962965
2012-07-01,5,4,1.6,0.49,1.75,2,1,1.0,0.4,1.0,0.4898,5,0.4,0.0,0.0,0.6,0.8,0.125
2013-01-01,8,10,2.5,1.225,6.5,2,2,1.5,0.3571,0.7143,0.1647,8,0.4279,0.0357,0.0089,0.675,1.25,0.2857142857142857
2013-07-01,10,5,1.0,0.0,1.6,5,1,1.0,0.1111,0,0.6875,10,0.1111,0.0,0.0,0.0,0.5,0.0
2014-01-01,9,6,1.333,0.667,1.1667,3,3,1.6666666666666667,0.1667,0,0.5204,9,0.2173,0.0317,0.0038,0.0,0.67,0.22135416666666666
2014-07-01,16,16,2.0,1.541,1.6875,3,4,2.0,0.1333,0.2571,0.4259,16,0.2681,0.0506,0.0103,0.2976190476190476,1.0,0.29851851851851857
2015-01-01,22,20,1.818,1.23,1.9,6,5,1.6666666666666667,0.0866,0.4545,0.6357,22,0.1324,0.0238,0.0028,0.21666666666666667,0.91,0.20166288737717306
2015-07-01,30,37,2.467,2.705,2.5405,5,3,1.6,0.0851,0.2927,0.4872,30,0.2309,0.0175,0.0042,0.3887301587301587,1.23,0.3460166468489892
2016-01-01,46,60,2.609,2.069,2.0,7,6,1.8571428571428572,0.058,0.3846,0.6352,46,0.1696,0.0201,0.0026,0.3983091787439614,1.3,0.21805761316872407
2016-07-01,49,46,1.878,1.934,3.3478,13,4,1.2307692307692308,0.0391,0.25,0.7721,49,0.0999,0.0059,0.0006,0.36334753681692455,0.94,0.24978298611111113
2017-01-01,70,98,2.8,4.221,1.9898,7,5,1.5714285714285714,0.0406,0.1688,0.4986,70,0.2629,0.0172,0.0031,0.31171526574887914,1.4,0.31125813904641914
2017-07-01,66,106,3.212,4.248,2.1887,3,5,2.3333333333333335,0.0494,0.2241,0.4626,66,0.3267,0.0245,0.0045,0.21686575456628931,1.61,0.24142800788954655
2018-01-01,70,120,3.429,4.967,2.85,4,5,2.0,0.0497,0.2494,0.3566,70,0.3234,0.0204,0.0032,0.29675531481148465,1.71,0.25134075474340145
2018-07-01,46,64,2.783,3.419,2.25,4,4,1.75,0.0618,0.188,0.5776,46,0.3035,0.0268,0.0059,0.369878672052585,1.39,0.2839506172839505
2019-01-01,8,8,2.0,1.0,3.0,3,1,1.0,0.2857,1.0,0.1563,8,0.2857,0.0,0.0,0.5,1.0,0.16326530612244897
