period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-07-01,6,12,4.0,1.0,10.5,1,2,2.0,0.8,0.8462,0.0,6,0.8542,0.05,0.005,0.9,2.0,0.12
2011-01-01,8,12,3.0,1.581,7.0,2,2,1.5,0.4286,0.8824,0.1156,8,0.4722,0.0238,0.004,0.575,1.5,0.24489795918367346
2011-07-01,29,46,3.172,4.363,7.7174,1,3,3.0,0.1133,0.1835,0.1519,29,0.4938,0.0397,0.0237,0.6060305511579875,1.59,0.39859693877551006
2012-01-01,56,119,4.25,6.666,6.7479,1,4,4.0,0.0773,0.1987,0.2886,56,0.466,0.0221,0.0088,0.5440422437473933,2.12,0.40391184573002753
2012-07-01,18,34,3.778,3.457,5.1765,2,2,1.5,0.2222,0.5644,0.2962,18,0.4731,0.0355,0.0212,0.6021164021164022,1.89,0.39792387543252594
2013-01-01,35,84,4.8,4.584,6.5238,2,4,2.5,0.1412,0.4192,0.3472,35,0.4064,0.0288,0.0065,0.7737782852068567,2.4,0.33953287197231824
2013-07-01,46,150,6.522,6.956,5.6533,1,4,4.0,0.1449,0.4946,0.334,46,0.5187,0.022,0.0135,0.7820969974999668,3.26,0.42205761316872425
2014-01-01,49,106,4.327,6.485,5.8774,2,4,2.5,0.0901,0.1996,0.1969,49,0.4586,0.0205,0.0085,0.6982364196649911,2.16,0.42144097222222227
2014-07-01,81,162,4.0,8.421,6.1049,2,4,2.5,0.05,0.0992,0.2766,81,0.4646,0.0129,0.0075,0.7196140532694478,2.0,0.4501041666666663
2015-01-01,95,225,4.737,7.427,5.28,3,4,2.0,0.0504,0.215,0.4136,95,0.396,0.0135,0.005,0.6785709821420569,2.37,0.39103289572959044
2015-07-01,114,293,5.14,9.441,7.9898,5,4,1.8,0.0455,0.1806,0.1907,114,0.3961,0.009,0.0034,0.6328571009267521,2.57,0.4284334455843578
2016-01-01,193,550,5.699,11.678,5.4764,4,4,1.75,0.0297,0.1601,0.3908,193,0.4159,0.0064,0.0027,0.7158777367899167,2.85,0.42766655815972276
2016-07-01,226,584,5.168,11.865,5.3219,10,4,1.3,0.023,0.1254,0.4673,226,0.3705,0.0046,0.0022,0.6503148487129264,2.58,0.44443456790123487
2017-01-01,436,1256,5.761,19.079,7.867,5,5,1.8,0.0132,0.0722,0.2399,436,0.4257,0.0029,0.0011,0.7084575089568484,2.88,0.4296648610560604
2017-07-01,414,1152,5.565,18.357,9.2865,5,6,2.0,0.0135,0.0697,0.1641,414,0.4067,0.0032,0.0008,0.6779218572196712,2.78,0.3587629248769291
2018-01-01,432,1164,5.389,18.965,11.067,8,5,1.5,0.0125,0.0616,0.1721,432,0.4036,0.0029,0.0008,0.629273220007862,2.69,0.3681748770373375
2018-07-01,307,776,5.055,15.901,9.6379,5,4,1.6,0.0165,0.0724,0.1486,307,0.4073,0.0042,0.0012,0.616732156479956,2.53,0.3572788955814728
2019-01-01,43,88,4.093,5.043,6.4659,3,3,1.6666666666666667,0.0975,0.3114,0.2318,43,0.3864,0.0238,0.0053,0.4972293525912749,2.05,0.315098261526833
