name,year_week,issue_num,label
mrdoob,201045,24,2
kapilreddy,201045,24,1
pyrotechnick,201047,24,02
mrdoob,201047,24,21
kapilreddy,20118,24,22
mrdoob,20118,24,22
kapilreddy,20119,24,2222
mrdoob,20119,24,22
shravanimmy,201831,24,1
Mugen87,201831,24,2
mrdoob,201048,36,122220
pyrotechnick,201048,36,222222212122222
gero3,201048,36,2222
alteredq,201048,36,00
fabricasapiens,201048,36,122
fabricasapiens,201121,212,2
WaZz2,201121,212,221
omarojo,201524,212,2
lisajamhoury,201716,212,1
mrdoob,201123,251,2
rdad,201123,251,1
felixturner,201315,251,2
martindsq,201349,251,2
mrdoob,201349,251,2
felixturner,201524,251,2
agnivade,20169,251,22
mrdoob,20169,251,2
Jairolaya12x,201619,251,1
TylerJGabb,20186,251,2
anilshanbhag,201124,277,2
mrdoob,201124,277,222
jsermeno,201124,277,222
alteredq,201124,277,20
rdad,201125,277,22122
jsermeno,201125,277,22
mrdoob,201125,277,2
danbri,201148,277,2201
alteredq,201148,277,220
alteredq,201149,277,02
danbri,201149,277,12
oosmoxiecode,20127,277,0
alteredq,20127,277,2
bagg,201126,312,2
mrdoob,201126,312,2
inear,201131,312,21
mrdoob,201131,312,2
halay08,201721,312,2
alteredq,201127,341,2
remoe,201127,341,2
mrdoob,201128,341,02
remoe,201128,341,202
mrdoob,201132,341,0
remoe,201137,341,20
mrdoob,201137,341,22
alteredq,201137,341,0
yuriy-kornieiev,201216,341,21
mrdoob,201216,341,0
remoe,201216,341,2
crobi,20137,341,00
bhouston,20137,341,0
andrevenancio,201314,341,2
crobi,201314,341,2
taoeffect,201331,341,02
crobi,201331,341,22
formigone,20143,341,220
bhouston,20143,341,2
alteredq,201129,375,0
zz85,201130,375,11212
alteredq,201130,375,10
zz85,201131,375,211
alteredq,201131,375,20
zz85,201134,375,1
mrdoob,201135,375,2
zz85,201135,375,1
zz85,201136,375,1
mrdoob,201131,405,2
savalin,201131,405,1
merbin2012,20179,405,2
mrdoob,20179,405,2
WestLangley,20179,405,2
mrdoob,201134,452,21
poudro,201134,452,11
KrisKringle,201146,452,012
poudro,201146,452,221
Mugen87,201812,452,1
mrdoob,201135,485,2
gengshenghong,201135,485,1
jrodriguesimg,201848,485,2
alteredq,201139,582,22
ghost,201139,582,101
YouYue123,201819,582,2
draivin,201140,620,2
Anima-t3d,201140,620,11
mrdoob,201140,620,2
Anima-t3d,201141,620,0
mrdoob,201141,620,2
itsazzad,20173,620,22
mrdoob,201141,642,2022022220102
Jakobud,201141,642,1220
gero3,201141,642,2
zz85,201141,642,0212
alteredq,201141,642,22222022
mrdoob,201142,659,22
ralfnap,201144,659,0
romsson,201149,659,2
towerrounder,201149,659,2
mrdoob,201149,659,2
trusktr,201223,659,2
gbmhunter,201526,659,2
RKonx,201718,659,2
mrdoob,201719,659,2
mrdoob,201143,684,222
disolovyov,201143,684,2
alteredq,201143,684,2
yousefamar,201316,684,2
yousefamar,201714,684,2
Mugen87,201714,684,2
mrdoob,201143,692,222
ralfnap,201143,692,1
ralfnap,201144,692,10101
mrdoob,201144,692,2212
alteredq,201143,706,222
Pitel,201143,706,202
Pitel,201144,706,2
alteredq,201144,706,2
billsecond,201737,706,1
mrdoob,201144,720,22
danielribeiro,201144,720,021
alteredq,201144,720,0
duhaime,201749,720,2
trusktr,201818,720,2
mrdoob,201144,730,20
namiwang,201144,730,1
ghost,201547,730,22
mrdoob,201547,730,2
dyh333,201710,730,2
MC41Games,201846,730,2
mrdoob,201145,743,11
zz85,201145,743,221
ymmd,201145,743,11
scotmos,201524,743,2
WestLangley,201524,743,2
darve,201848,743,1
alteredq,201145,744,20
vance,201145,744,21
drsagitn,201152,744,11
vance,201152,744,20
nardove,20126,744,2
mrdoob,201146,759,2
danielribeiro,201146,759,0
mrdoob,201342,759,2
danielribeiro,201342,759,22
jotinha,201342,759,2
kevanstannard,20174,759,0
mrdoob,20174,759,1
jasongrout,20125,781,2
gixo,20126,781,1
WestLangley,20127,781,2
gixo,20127,781,1
nriss,201421,781,1
WestLangley,201421,781,2
duhaime,20182,781,2
maurrubio,201150,834,21121
alteredq,201150,834,222
dylnmc,201751,834,2
drsagitn,201151,901,2
mrdoob,201152,901,022
drsagitn,201152,901,11
alteredq,201152,901,1
drsagitn,20121,901,1111
mrdoob,20121,901,222
mrdoob,20122,901,22
drsagitn,20122,901,1
drsagitn,20123,901,2
mrdoob,20123,901,2
drsagitn,20125,901,0
mrdoob,20126,901,2
drsagitn,20127,901,1
mrdoob,201252,901,2
Knagis,201724,901,2
tonyabra,201812,901,2
mrdoob,201152,974,220
flyingdeath,201152,974,02211
mrdoob,201252,974,02
flyingdeath,201252,974,22
mrdoob,20121,974,1
flyingdeath,20121,974,122
wcoebergh,20183,974,1
WestLangley,201152,989,2
mrdoob,201152,989,2
nebeleh,201439,989,22
mrdoob,201439,989,2
gero3,201440,989,2
vgheorghiu,201838,989,2
donmccurdy,201838,989,2
mrdoob,201152,991,2
daef,201548,991,2
gunderson,20164,991,2
WestLangley,20164,991,2
gangsthub,20181,991,2
luisArandas,20193,991,0
Mugen87,20193,991,2
alteredq,20121,1022,2
greengiant83,201650,1022,2
greengiant83,201752,1022,2
mrdoob,20121,1041,22
corsaronero,20121,1041,1
bhupendra1011,201833,1041,11
Mugen87,201833,1041,2
kor86,20121,1046,2
mrdoob,20121,1046,2
chandlerprall,20122,1046,2
alteredq,20122,1046,2
ekunuke,201244,1046,0
WestLangley,201244,1046,2
scganterh,20175,1046,2
mrdoob,20175,1046,2
WestLangley,20175,1046,2
unphased,201849,1046,02
Mugen87,201849,1046,2
mrdoob,201849,1046,2
cleverfrog,20193,1046,2
chandlerprall,20122,1056,22
LiquidSnakeX,20122,1056,11
VarghaSabee,201821,1056,2
Mugen87,201821,1056,0
chandlerprall,20122,1069,21
lonelydatum,20122,1069,11
mrdoob,20122,1069,02
lonelydatum,20125,1069,1
alteredq,20126,1069,2
lonelydatum,20126,1069,1
mrdoob,20122,1079,0222
landonsilla,20122,1079,220
alteredq,20122,1079,2
landonsilla,20123,1079,2
mrdoob,20123,1079,1
landonsilla,20126,1079,11
alteredq,20126,1079,2
foobarbecue,201414,1079,2
foobarbecue,201416,1079,21
mrdoob,201416,1079,2
makc,201431,1079,02
yuechenglei,20176,1079,2
yagiz,20123,1119,21
alteredq,20123,1119,2
shanmugakumar-s,201715,1119,2
jeromeetienne,20124,1170,2010121
chandlerprall,20124,1170,22
alteredq,20124,1170,202
jeromeetienne,20125,1170,1
Arnache,201733,1170,0
chandlerprall,20124,1191,2
zz85,20124,1191,2
trusktr,201741,1191,2
mrdoob,20124,1202,0
jayfield1979,20124,1202,1
hfeist,201834,1202,2
donmccurdy,201834,1202,2
mrdoob,20125,1218,221
powerslave,20125,1218,001
WestLangley,20125,1219,2
Sergej-Popov,201216,1219,211220
mrdoob,201216,1219,2222
WestLangley,201216,1219,22
linzhp,201219,1219,01
WestLangley,201219,1219,2
prieston,201526,1219,2
cawoodm,201816,1219,2
Mugen87,201816,1219,2
WestLangley,20125,1239,222201
Tobiasartz,20125,1239,12221
awe-schaffhausen,201312,1239,1
MatthewRayfield,201623,1239,1
Emanuele-Spatola,20173,1239,1
WestLangley,20174,1239,02
Emanuele-Spatola,20174,1239,2
svcondor,20178,1239,2
julianfrank,201812,1239,2
mrdoob,20127,1337,1
nozpheratu,201321,1337,2
hadinehme,201532,1337,2
WestLangley,201532,1337,2
azmartone,201751,1337,2
luisjs,201817,1337,2
mrdoob,20128,1363,2
zhhuan,20184,1363,0
Mugen87,20184,1363,2
libe,20128,1372,22211
Landlord-xx,20128,1372,1121
WestLangley,20128,1372,1222
libe,201216,1372,21
WestLangley,201216,1372,2
mrdoob,201216,1372,2
libe,201217,1372,1
brianclanton,201224,1372,2
jrehwaldt,201742,1372,2
mrdoob,20129,1396,10
gyuque,20129,1396,12
alteredq,20129,1396,21
zz85,201211,1396,12
alteredq,201211,1396,0
mrdoob,201211,1396,2
gyuque,201212,1396,1
zz85,201212,1396,1
mrdoob,20129,1399,22
alteredq,20129,1399,22
Malgalad,20129,1399,220
grahamwallis,201713,1399,1
kovleouf,20129,1407,2
zsitro,20129,1407,2
that-ben,201720,1407,2
chandlerprall,20129,1410,22
chrisella,20129,1410,11
mrdoob,20129,1412,21
ghost,20129,1412,0
Pengeszikra,201210,1412,2
WestLangley,201210,1412,2
Pengeszikra,201211,1412,1
WestLangley,20186,1412,2
mrdoob,20129,1429,22
enriquemorenotent,20129,1429,0
mrdoob,201210,1454,0
Landlord-xx,201210,1454,2
donbright,201315,1454,1
letmaik,201322,1454,0
patrickfuller,201323,1454,022
letmaik,201323,1454,22
letmaik,201324,1454,21
patrickfuller,201324,1454,2
Pro,201420,1454,2
patrickfuller,201420,1454,2
ravikirana32,201451,1454,0
alexburner,201620,1454,2
cheton,201710,1454,2
alteredq,201211,1505,22
renegademaster88,201211,1505,1
renegademaster88,201241,1505,02
mrdoob,201241,1505,2
trusktr,201828,1505,0
WestLangley,201828,1505,2
WestLangley,201211,1516,2
huanghuan,201211,1516,121
alteredq,201211,1516,02
air,201421,1516,2
dacre-denny,201810,1516,21
donmccurdy,201810,1516,2
mrdoob,201211,1524,2
alteredq,201211,1524,2
huanghuan,201211,1524,1
zz85,201218,1524,201
gero3,201218,1524,2
mrdoob,201218,1524,220
idflood,201219,1524,2
nhalloran,201242,1524,22
mrdoob,201242,1524,1
Wandalen,201420,1524,1
mrdoob,201420,1524,0
felixturner,201524,1524,2
zz85,201524,1524,1
jesseazueta,20175,1524,0
mrdoob,20175,1524,2
zz85,201211,1535,222
chandlerprall,201211,1535,1
zz85,201214,1535,2
zz85,201215,1535,20
mrdoob,201215,1535,21
lanfeustxiii,201216,1535,1
zz85,201216,1535,0
ghost,201218,1535,2
zz85,201218,1535,2
meawoppl,201225,1535,2
sensor111,201613,1535,2
whatnext,201735,1535,1
libe,201212,1568,12
mrdoob,201212,1568,2
aliy321,20182,1568,2
WestLangley,201214,1649,2
davidedc,201214,1649,1
chandlerprall,201215,1721,0
alteredq,201215,1721,2
valette,201216,1721,02222022
schmitzke,201216,1721,112
mrdoob,201216,1721,0222122222
scald,201216,1721,21
valette,201217,1721,2
LoicCadour,201636,1721,1
feber,201716,1721,2
libe,201217,1791,2
mrdoob,201217,1791,22
alteredq,201217,1791,0
skrat,201242,1791,2
etx,201443,1791,1
mrdoob,201444,1791,22
etx,201444,1791,21
Jiaying-YU,201513,1791,2
JosephClay,201526,1791,2
syoels,20164,1791,0
ghost,20169,1791,01
WestLangley,20169,1791,20
mrdoob,20169,1791,2222
martha-anne,20169,1791,111
alberto2000,20169,1791,2
mrdoob,201620,1791,2
alberto2000,201620,1791,1
b-z,201837,1791,1
gero3,201217,1807,2
nathaliaspatricio,201217,1807,2
alteredq,201217,1807,2
nathaliaspatricio,201220,1807,22
mrdoob,201220,1807,22
nathaliaspatricio,201221,1807,22
gero3,201221,1807,2
mrdoob,201221,1807,2
mrdoob,201217,1821,2
amurienne,201217,1821,1
raghavaro,201816,1821,2
mrdoob,201816,1821,2
zz85,201217,1824,22
come,201217,1824,11
zz85,201218,1824,2
jonobr1,201442,1824,2
KingsleyTong,201752,1824,2
Mugen87,201752,1824,2
mrdoob,201217,1830,222
shaharz,201217,1830,1
gyemeleth,201314,1830,2
AcidLeroy,201418,1830,2
WestLangley,201218,1842,2
ironbane,201218,1842,1
mrdoob,201218,1842,2
ironbane,201223,1842,1
aaaidan,20136,1842,11
DustinJSilk,201721,1842,2
alteredq,201218,1864,222
mrdoob,201218,1864,2221
scottgarner,201218,1864,0001
maartenbreddels,201832,1864,202
mrdoob,201832,1864,1
Mugen87,201832,1864,201
alteredq,201219,1888,0
jeromeetienne,201219,1888,2
trusktr,201751,1888,1
Fyrestar,201836,1888,20
WestLangley,201836,1888,2
mrdoob,201219,1898,2222
kovleouf,201219,1898,0222
alteredq,201219,1898,0222222
gero3,201219,1898,222
kovleouf,201220,1898,2222
mrdoob,201220,1898,22
cipri-tom,201645,1898,1
m-schuetz,201648,1898,2
cipri-tom,201648,1898,1
mshopf,20171,1898,1
mrdoob,201219,1904,10
tomconroy,201219,1904,12001
alteredq,201219,1904,2
mrdoob,201220,1904,1
churmstech,201747,1904,2
mrdoob,201747,1904,2
mrdoob,201220,1908,21
elfrank,201220,1908,1
hiteshsahu,201831,1908,2
alteredq,201220,1945,2
arkasia,201221,1945,21
alteredq,201221,1945,21
mrdoob,201221,1945,1
andrewvarga,20181,1945,2
mrdoob,20182,1945,2
mrdoob,201221,1963,222
darkorbit,201221,1963,11
carthworks,201738,1963,2
codeart1st,201226,2106,20
mrdoob,201226,2106,2
empaempa,201227,2106,12100
codeart1st,201227,2106,001012
empaempa,201228,2106,01011
codeart1st,201228,2106,122221111
mrdoob,201228,2106,11
mrdoob,201228,2182,11
Iter-Ator,201228,2182,0
jon-millett-sm,201228,2182,2
renegademaster88,201234,2182,2
pernyblom,201240,2182,0
pernyblom,201241,2182,2
motin,201243,2182,2
paulbrzeski,201248,2182,20
mrdoob,201248,2182,2
renegademaster88,201248,2182,0
mrdoob,201250,2182,2
maxogden,20133,2182,22
mrdoob,20133,2182,2
xseano,201717,2182,2
mrdoob,201230,2231,22
youdoido,201230,2231,11
donmccurdy,20184,2231,2
mrdoob,201230,2232,22
youdoido,201230,2232,1
axaq,20184,2232,2
mrdoob,20184,2232,2
mrdoob,201230,2247,2
nopjia,201230,2247,2
cmbruns-hhmi,201610,2247,2
isolin,201644,2247,1
jacksonloper,201840,2247,01
mrdoob,201840,2247,2
makc,201425,2593,1
mrdoob,201425,2593,0
makc,201426,2593,2222
mrdoob,201426,2593,22
spite,201426,2593,200
makc,201515,2593,22
WestLangley,201528,2593,2
makc,201528,2593,1
MrBlenny,20172,2593,0
tomlecoz,20174,2593,2
makc,20174,2593,222
spite,20174,2593,2
mrdoob,201247,2668,222222
ostap1010,201247,2668,112
alteredq,201247,2668,222
mrdoob,201249,2743,22
bhouston,201249,2743,21
AndrewRayCode,201627,2743,2
bartmcleod,20177,2743,21
AndrewRayCode,20177,2743,2
mrdoob,201250,2789,20
varomix,201250,2789,11
alteredq,201250,2789,1
EskelCz,201620,2789,2
psicomante,201626,2789,2
mrdoob,201626,2789,2
EskelCz,201626,2789,12
Raincle,20179,2789,20
looeee,20179,2789,00
mrdoob,20179,2789,21
feiss,201711,2789,0
fernandojsg,201711,2789,1
WestLangley,201711,2789,0
wrr,201711,2789,2
mrdoob,201711,2789,222
FeaturedSpace,201711,2789,22
greggman,201815,2789,1
harold,20132,2916,211
mrdoob,20132,2916,22
dubejf,201530,2916,22222
mrdoob,201530,2916,2
WestLangley,201718,2916,2
harold,201718,2916,1
trusktr,20181,2916,022222
WestLangley,20181,2916,2
mrdoob,20181,2916,222
trusktr,201818,2916,02
mrdoob,201818,2916,2
jdolan,20133,2947,2
gero3,20134,2947,2
bhouston,20134,2947,2
bhouston,20135,2947,2
mrdoob,20134,2954,20
bhouston,20134,2954,0012
crobi,20134,2954,011
gero3,20134,2954,0
crobi,20136,2954,2
